team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS PELICANS,240,47,81,14,27,25,29,10,34,29,13,7,14,18
CLEVELAND CAVALIERS,240,36,88,12,33,14,18,10,24,22,12,3,17,23
CHARLOTTE HORNETS,240,39,82,11,29,21,26,12,35,22,7,4,17,18
DENVER NUGGETS,240,47,102,14,39,15,20,17,29,30,10,6,7,19
UTAH JAZZ,240,39,82,7,21,25,32,7,35,24,12,6,12,23
DETROIT PISTONS,240,39,82,11,25,16,20,5,39,18,7,2,18,23
TORONTO RAPTORS,240,42,82,14,31,25,31,4,34,28,9,6,11,22
MILWAUKEE BUCKS,240,40,81,14,37,22,27,4,34,29,9,2,14,20
DALLAS MAVERICKS,240,38,88,9,31,15,23,9,40,27,4,3,15,23
PHILADELPHIA 76ERS,240,39,83,6,26,22,33,8,41,31,7,5,10,20
HOUSTON ROCKETS,240,39,84,13,38,10,12,10,30,13,6,5,12,22
PORTLAND TRAIL BLAZERS,240,43,94,9,28,15,20,17,30,27,7,2,9,11
GOLDEN STATE WARRIORS,240,47,93,21,47,12,14,12,35,29,5,8,13,16
SACRAMENTO KINGS,240,46,97,20,36,11,14,14,29,34,12,0,8,18
MEMPHIS GRIZZLIES,240,31,82,11,28,15,19,8,34,21,12,3,20,29
SAN ANTONIO SPURS,240,36,73,7,22,29,35,3,40,26,10,3,15,19
