,Name,Position,Game,Team,Projected Draftkings Points,Projected Draftkings Value,Draftkings Salary,Value above Draftkings Value,FPPG,Hot,Cold,Injury Indicator,Injury Details
40,Duncan Robinson,SG/SF,MIA@IND,MIA,32.62,$6117,$4300,$1817,22.4,0.7678299176219829,0.0, , 
46,Donte DiVincenzo,PG/SG,ORL@MIL,MIL,27.94,$5238,$4000,$1238,21.95,0.0,0.0, , 
2,LeBron James,PG/SF,POR@LAL,LAL,66.85,$12535,$10700,$1835,54.62,0.0,0.0,GTD,Groin
39,Goran Dragic,PG,MIA@IND,MIA,28.02,$5253,$4400,$853,29.37,0.0,2.3924028366508026, , 
3,Giannis Antetokounmpo,PF,ORL@MIL,MIL,58.2,$10913,$10500,$413,59.32,0.0,0.0, , 
49,Jae Crowder,PF,MIA@IND,MIA,30.16,$5655,$3900,$1755,25.22,0.0,0.0, , 
13,Bam Adebayo,C,MIA@IND,MIA,44.13,$8274,$7400,$874,40.76,0.0,0.0, , 
44,P.J. Tucker,C,OKC@HOU,HOU,26.54,$4975,$4100,$875,21.11,0.0,0.0, , 
