,Name,Position,Salary,Game,Team,Projected Draftkings Points,Projected Draftkings Value,FPPG,Injury Indicator,Injury Details,Hot,Cold
32,JaVale McGee,C,3200,DEN@GS 12/23/2017 08:30PM ET,GS,23.36,3894,8.93,GTD,Undisclosed,0.0,0.0
0,Anthony Davis,PF/C,10400,NO@MIA 12/23/2017 08:00PM ET,NO,47.12,7853,48.82,,,0.0,0.0
14,Rajon Rondo,PG,5700,NO@MIA 12/23/2017 08:00PM ET,NO,26.7,4450,26.09,,,0.0,0.0
6,Donovan Mitchell,PG/SG,6800,OKC@UTA 12/23/2017 08:00PM ET,UTA,37.86,6310,30.17,,,0.9871741040844296,0.0
22,Josh Hart,PG/SG,3800,POR@LAL 12/23/2017 09:30PM ET,LAL,26.34,4389,9.98,,,0.0,1.6076481779516458
3,Paul George,SF,7100,OKC@UTA 12/23/2017 08:00PM ET,OKC,32.05,5341,37.98,,,0.0,0.2668440981773698
11,Kawhi Leonard,SF/PF,6100,SA@SAC 12/23/2017 10:00PM ET,SA,51.47,8578,22.69,,,0.0,0.0
7,Brandon Ingram,SG/SF,6700,POR@LAL 12/23/2017 09:30PM ET,LAL,43.31,7217,30.79,,,0.0,0.0
