team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,42,87,18,24,15,17,8,40,25,1,6,11,24
CHARLOTTE HORNETS,240,39,93,15,42,22,26,11,33,19,8,9,5,19
BOSTON CELTICS,240,40,82,9,26,14,14,8,34,29,10,10,13,14
CLEVELAND CAVALIERS,240,40,96,9,33,7,8,15,32,21,6,0,12,17
LOS ANGELES LAKERS,240,35,75,4,21,20,26,3,31,25,5,3,19,14
INDIANA PACERS,240,56,98,19,34,5,8,10,30,37,11,7,10,20
MINNESOTA TIMBERWOLVES,240,39,87,9,29,19,20,16,39,26,4,4,15,23
MEMPHIS GRIZZLIES,240,36,86,15,34,21,29,12,27,18,11,6,8,18
DETROIT PISTONS,240,37,79,12,34,19,24,6,35,22,4,7,9,21
NEW YORK KNICKS,240,36,90,9,33,11,15,13,31,17,5,4,11,23
ORLANDO MAGIC,240,42,90,11,37,27,34,8,32,27,14,4,18,29
OKLAHOMA CITY THUNDER,240,46,92,13,30,27,37,8,41,25,11,2,17,25
TORONTO RAPTORS,240,41,89,11,31,26,32,15,27,27,12,0,10,27
PHILADELPHIA 76ERS,240,31,70,7,24,38,41,5,29,20,8,3,18,22
MIAMI HEAT,240,45,83,7,22,21,25,8,38,18,11,7,12,15
PORTLAND TRAIL BLAZERS,240,42,93,15,39,9,12,7,26,30,6,2,11,21
