slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,2093,11,14,3,6,3,4,1,13,12,1,0,3,2,32.4
hardeja01,James Harden,HOUSTON ROCKETS,HOME,DETROIT PISTONS,LOSS,2308,14,33,4,13,7,8,2,4,7,1,0,4,4,24.0
rubiori01,Ricky Rubio,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,2241,10,20,2,5,3,4,0,3,13,1,1,2,2,23.5
middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1360,8,12,3,4,5,6,1,1,6,1,0,1,1,23.2
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,DALLAS MAVERICKS,WIN,2250,7,12,0,0,4,7,2,9,10,2,2,1,4,23.1
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,2073,10,26,3,5,7,10,1,9,5,3,3,2,4,23.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1439,12,20,2,5,3,7,1,3,4,1,1,1,1,22.9
lavinza01,Zach LaVine,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,WIN,2166,11,21,4,7,5,6,3,1,2,2,0,3,1,22.7
dinwisp01,Spencer Dinwiddie,BROOKLYN NETS,AWAY,TORONTO RAPTORS,LOSS,2024,8,18,2,6,6,7,0,2,8,1,1,1,0,21.1
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,AWAY,CHICAGO BULLS,LOSS,1972,9,24,0,1,12,14,4,3,0,2,3,2,2,21.0
brookdi01,Dillon Brooks,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,1581,10,17,2,7,5,6,1,1,3,3,0,2,5,20.8
brownbr01,Bruce Brown,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,WIN,1838,6,9,0,1,4,6,0,10,6,4,1,2,4,19.6
paulch01,Chris Paul,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,2026,5,8,0,2,5,6,0,4,10,4,0,3,2,19.4
