Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
54877-9488,SF,LeBron,LeBron James,James,48.31666667,30,10500,MIA@LAL,LAL,MIA,GTD,Ankle,
54877-9524,PG,Stephen,Stephen Curry,Curry,46.28000081,30,10000,GS@CHA,GS,CHA,,,
54877-20848,PG,Damian,Damian Lillard,Lillard,47.56666848,27,9900,WAS@POR,POR,WAS,,,
54877-15755,PF,Anthony,Anthony Davis,Davis,44.54782503,23,9800,MIA@LAL,LAL,MIA,O,Calf,
54877-15595,SG,Bradley,Bradley Beal,Beal,48.32500203,24,9700,WAS@POR,WAS,POR,,,
54877-40783,SG,Zach,Zach LaVine,LaVine,43.86785889,28,9500,SAC@CHI,CHI,SAC,,,
54877-9642,PG,Russell,Russell Westbrook,Westbrook,43.17368357,19,9200,WAS@POR,WAS,POR,,,
54877-14528,SF,Jimmy,Jimmy Butler,Butler,44.53529268,17,9200,MIA@LAL,MIA,LAL,,,
54877-80817,PF,Bam,Bam Adebayo,Adebayo,41.9962972,27,8800,MIA@LAL,MIA,LAL,,,
54877-19067,SG,CJ,CJ McCollum,McCollum,42.74615479,13,8700,WAS@POR,POR,WAS,O,Foot,
54877-80810,PG,De'Aaron,De'Aaron Fox,Fox,39.12962963,27,8100,SAC@CHI,SAC,CHI,,,
54877-145485,PG,LaMelo,LaMelo Ball,Ball,34.21785627,28,7800,GS@CHA,CHA,GS,,,
54877-9623,PG,Chris,Chris Paul,Paul,37.93333152,27,7800,PHO@MEM,PHO,MEM,,,
54877-58460,SG,Devin,Devin Booker,Booker,35.17916616,24,7700,PHO@MEM,PHO,MEM,,,
54877-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.6,20,7700,PHO@MEM,MEM,PHO,,,
54877-15860,PF,Draymond,Draymond Green,Green,27.72800049,25,7600,GS@CHA,GS,CHA,,,
54877-110344,PG,Ja,Ja Morant,Morant,35.25882497,17,7400,PHO@MEM,MEM,PHO,,,
54877-12366,SF,Gordon,Gordon Hayward,Hayward,37.09230863,26,7300,GS@CHA,CHA,GS,GTD,Back,
54877-23716,SF,Kyle,Kyle Anderson,Anderson,30.86800049,25,7200,PHO@MEM,MEM,PHO,O,Rest,
54877-42677,SG,Terry,Terry Rozier,Rozier,33.48846201,26,7000,GS@CHA,CHA,GS,,,
54877-58153,SF,Kelly,Kelly Oubre,Oubre,28.38666585,30,6600,GS@CHA,GS,CHA,,,
54877-84673,C,Deandre,Deandre Ayton,Ayton,33.25714329,28,6600,PHO@MEM,PHO,MEM,,,
54877-9666,PF,Thaddeus,Thaddeus Young,Young,28.35833232,24,6500,SAC@CHI,CHI,SAC,,,
54877-20491,PF,Robert,Robert Covington,Covington,24.28846154,26,6400,WAS@POR,POR,WAS,,,
54877-23447,C,Richaun,Richaun Holmes,Holmes,30.16399902,25,6400,SAC@CHI,SAC,CHI,GTD,Knee,
54877-49116,SG,Andrew,Andrew Wiggins,Wiggins,30.56333415,30,6400,GS@CHA,GS,CHA,,,
54877-110312,SG,Tyler,Tyler Herro,Herro,30.88095238,21,6300,MIA@LAL,MIA,LAL,,,
54877-15946,SF,Harrison,Harrison Barnes,Barnes,29.78148058,27,6200,SAC@CHI,SAC,CHI,GTD,Foot,
54877-14516,C,Enes,Enes Kanter,Kanter,29.05357143,28,6200,WAS@POR,POR,WAS,,,
54877-67312,C,Thomas,Thomas Bryant,Bryant,26.37000122,10,6200,WAS@POR,WAS,POR,O,Knee,
54877-55057,C,Jusuf,Jusuf Nurkic,Nurkic,26.74166616,12,6000,WAS@POR,POR,WAS,O,Wrist,
54877-23665,SG,Buddy,Buddy Hield,Hield,27.57142857,28,6000,SAC@CHI,SAC,CHI,,,
54877-58377,PF,Kyle,Kyle Kuzma,Kuzma,21.63666585,30,5900,MIA@LAL,LAL,MIA,GTD,Back,
54877-110349,SF,Rui,Rui Hachimura,Hachimura,23.92631611,19,5900,WAS@POR,WAS,POR,,,
54877-110353,PF,Brandon,Brandon Clarke,Clarke,27.40952265,21,5800,PHO@MEM,MEM,PHO,,,
54877-12363,C,Hassan,Hassan Whiteside,Whiteside,19.65714228,21,5800,SAC@CHI,SAC,CHI,,,
54877-84676,C,Wendell,Wendell Carter,Carter,27.32941212,17,5800,SAC@CHI,CHI,SAC,,,
54877-23776,C,Montrezl,Montrezl Harrell,Harrell,25.14666748,30,5800,MIA@LAL,LAL,MIA,,,
54877-40201,PG,Dennis,Dennis Schroder,Schroder,26.25862069,29,5700,MIA@LAL,LAL,MIA,O,Covid-19,
54877-110352,PF,P.J.,P.J. Washington,Washington,28.16250102,24,5600,GS@CHA,CHA,GS,,,
54877-110326,PG,Coby,Coby White,White,28.04642814,28,5600,SAC@CHI,CHI,SAC,,,
54877-80812,PF,Lauri,Lauri Markkanen,Markkanen,29,14,5500,SAC@CHI,CHI,SAC,O,Shoulder,
54877-84695,SG,Gary,Gary Trent,Trent,21.96153846,26,5500,WAS@POR,POR,WAS,,,
54877-145337,SG,Tyrese,Tyrese Haliburton,Haliburton,27.95769325,26,5400,SAC@CHI,SAC,CHI,,,
54877-84679,PF,Marvin,Marvin Bagley,Bagley,24.64615338,26,5400,SAC@CHI,SAC,CHI,,,
54877-84678,PF,Miles,Miles Bridges,Bridges,22.4785723,28,5400,GS@CHA,CHA,GS,,,
54877-84670,SF,Mikal,Mikal Bridges,Bridges,27.28571429,28,5300,PHO@MEM,PHO,MEM,,,
54877-60233,SG,Dillon,Dillon Brooks,Brooks,26.44166565,24,5200,PHO@MEM,MEM,PHO,O,Thigh,
54877-84706,SG,Devonte',Devonte' Graham,Graham,27.44,25,5200,GS@CHA,CHA,GS,O,Kneecap,
54877-15691,C,Cody,Cody Zeller,Zeller,26.23333333,15,5100,GS@CHA,CHA,GS,,,
54877-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,15.99285671,14,5100,SAC@CHI,SAC,CHI,,,
54877-101329,PG,Kendrick,Kendrick Nunn,Nunn,22.80476161,21,5100,MIA@LAL,MIA,LAL,,,
54877-22541,C,Kelly,Kelly Olynyk,Olynyk,23.2714277,28,4800,MIA@LAL,MIA,LAL,,,
54877-15800,PF,Jae,Jae Crowder,Crowder,22.72399902,25,4800,PHO@MEM,PHO,MEM,,,
