slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,2509,18,34,9,14,14,16,0,6,5,1,1,0,0,48.6
georgpa01,Paul George,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,2370,14,22,4,9,5,7,0,7,6,0,0,2,2,29.9
whiteha01,Hassan Whiteside,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,2247,12,19,0,0,6,9,5,7,2,2,3,3,2,27.6
butleji01,Jimmy Butler,CHICAGO BULLS,AWAY,BROOKLYN NETS,LOSS,2282,12,22,5,5,4,4,1,6,4,0,0,3,0,24.7
batumni01,Nicolas Batum,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,2446,11,23,4,8,5,7,1,7,3,0,0,1,1,22.0
thomais02,Isaiah Thomas,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,2065,10,18,5,11,7,8,0,2,6,1,0,6,2,22.0
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,2080,10,19,5,8,3,4,0,5,5,1,0,3,1,20.9
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,2178,8,10,0,0,1,4,5,12,2,1,0,0,2,20.7
turnemy01,Myles Turner,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1829,10,13,1,1,2,3,2,8,1,0,2,2,2,20.6
rosste01,Terrence Ross,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,2188,10,17,6,11,3,3,0,4,2,2,0,4,3,20.5
holliro01,Rondae Hollis-Jefferson,BROOKLYN NETS,HOME,CHICAGO BULLS,WIN,1775,5,8,0,1,6,7,2,10,3,3,1,1,2,20.4
paulch01,Chris Paul,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1830,9,16,1,3,0,0,0,8,8,3,1,2,2,20.3
dinwisp01,Spencer Dinwiddie,BROOKLYN NETS,HOME,CHICAGO BULLS,WIN,1588,6,9,1,3,6,6,1,2,4,2,0,1,0,20.2
fournev01,Evan Fournier,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,2199,6,10,4,6,7,8,0,2,2,0,0,0,2,19.2
walkeke02,Kemba Walker,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,2144,7,19,2,10,7,7,0,1,8,1,0,0,1,19.0
cookqu01,Quinn Cook,NEW ORLEANS PELICANS,AWAY,GOLDEN STATE WARRIORS,LOSS,1676,10,13,2,3,0,1,0,1,3,0,0,0,1,18.5
zelleco01,Cody Zeller,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,1795,4,5,0,0,4,4,2,7,2,3,0,0,2,17.2
lambje01,Jeremy Lamb,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,LOSS,1479,6,8,1,2,4,4,0,5,1,0,2,0,1,17.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,2417,7,15,0,3,6,11,0,10,6,3,2,4,3,16.7
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1846,5,6,0,0,3,3,2,9,1,0,4,1,3,16.2
horfoal01,Al Horford,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,WIN,2063,7,15,2,5,0,0,1,3,7,1,1,0,1,16.1
