team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,30,87,3,21,33,37,7,31,20,9,7,17,27
DENVER NUGGETS,240,44,85,12,34,23,35,12,44,30,11,6,22,28
SAN ANTONIO SPURS,240,42,94,6,24,28,31,14,36,18,3,4,7,20
NEW YORK KNICKS,240,50,98,16,37,14,19,12,37,25,3,7,6,27
ORLANDO MAGIC,240,42,91,14,36,15,20,12,40,29,6,8,12,16
TORONTO RAPTORS,240,38,91,11,28,11,14,6,36,30,6,2,13,20
