Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56509-55062,C,Nikola,Nikola Jokic,Jokic,55.16326530612245,49,10800,ORL@DEN,DEN,ORL,,,,,,C
56509-49111,C,Joel,Joel Embiid,Embiid,52.75312423706055,32,10700,MEM@PHI,PHI,MEM,O,Knee,,,,C
56509-110310,PF,Zion,Zion Williamson,Williamson,41.708889431423614,45,9700,NO@HOU,NO,HOU,GTD,Thumb,,,,PF
56509-55059,C,Clint,Clint Capela,Capela,40.8813959166061,43,9000,GS@ATL,ATL,GS,,,,,,C
56509-9524,PG,Stephen,Stephen Curry,Curry,46.085713704427086,42,9000,GS@ATL,GS,ATL,,,,,,PG
56509-84671,PG,Trae,Trae Young,Young,43.59565270465353,46,8700,GS@ATL,ATL,GS,,,,,,PG
56509-12332,PG,John,John Wall,Wall,36.47187423706055,32,8400,NO@HOU,HOU,NO,O,Knee,,,,PG
56509-66048,SF,Brandon,Brandon Ingram,Ingram,38.43912937330163,46,8000,NO@HOU,NO,HOU,GTD,Toe,,,,SF
56509-42202,PF,Christian,Christian Wood,Wood,40.0239990234375,25,8000,NO@HOU,HOU,NO,,,,,,PF
56509-14518,PF,Tobias,Tobias Harris,Harris,38.29999889026988,44,7900,MEM@PHI,PHI,MEM,,,,,,PF
56509-66108,PG,Jamal,Jamal Murray,Murray,35.79347826086956,46,7800,ORL@DEN,DEN,ORL,,,,,,PG
56509-66236,PF,John,John Collins,Collins,33.09574468085106,47,7700,GS@ATL,ATL,GS,O,Ankle,,,,PF
56509-14503,C,Jonas,Jonas Valanciunas,Valanciunas,35.77561094702744,41,7600,MEM@PHI,MEM,PHI,,,,,,C
56509-49116,SG,Andrew,Andrew Wiggins,Wiggins,30.96938775510204,49,7600,GS@ATL,GS,ATL,,,,,,SG
56509-66115,PG,Ben,Ben Simmons,Simmons,38.829268292682926,41,7500,MEM@PHI,PHI,MEM,,,,,,PG
56509-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,22.433334350585938,24,7200,GS@ATL,ATL,GS,,,,,,SF
56509-84682,SF,Michael,Michael Porter,Porter,30.786842747738486,38,7200,ORL@DEN,DEN,ORL,,,,,,SF
56509-15860,PF,Draymond,Draymond Green,Green,30.578047589557926,41,7200,GS@ATL,GS,ATL,GTD,Finger,,,,PF
56509-110344,PG,Ja,Ja Morant,Morant,34.81315853721217,38,6800,MEM@PHI,MEM,PHI,,,,,,PG
56509-16405,SG,Terrence,Terrence Ross,Ross,26.53333458533654,39,6800,ORL@DEN,ORL,DEN,,,,,,SG
56509-41594,PF,Aaron,Aaron Gordon,Gordon,29.96785627092634,28,6800,ORL@DEN,DEN,ORL,,,,,,PF
56509-80806,PG,Lonzo,Lonzo Ball,Ball,31.107894094366777,38,6600,NO@HOU,NO,HOU,GTD,Hip,,,,PG
56509-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,20.0875,40,6500,NO@HOU,NO,HOU,,,,,,SG
56509-84676,C,Wendell,Wendell Carter,Carter,26.586110432942707,36,6500,ORL@DEN,ORL,DEN,,,,,,C
56509-145576,PF,Jae'Sean,Jae'Sean Tate,Tate,23.8874994913737,48,6400,NO@HOU,HOU,NO,,,,,,PF
56509-110336,PF,Chuma,Chuma Okeke,Okeke,17.281817811908144,33,6300,ORL@DEN,ORL,DEN,,,,,,PF
56509-110345,SF,Kevin,Kevin Porter,Porter,29.87272782759233,11,6000,NO@HOU,HOU,NO,,,,,,SF
56509-58153,SF,Kelly,Kelly Oubre,Oubre,28.18723508144947,47,6000,GS@ATL,GS,ATL,,,,,,SF
56509-23716,SF,Kyle,Kyle Anderson,Anderson,28.643182927911933,44,5900,MEM@PHI,MEM,PHI,,,,,,SF
56509-12355,PG,Eric,Eric Bledsoe,Bledsoe,23.01702231549202,47,5800,NO@HOU,NO,HOU,,,,,,PG
56509-9660,C,Dwight,Dwight Howard,Howard,20.310204330755738,49,5800,MEM@PHI,PHI,MEM,,,,,,C
56509-22541,C,Kelly,Kelly Olynyk,Olynyk,24.52127659574468,47,5600,NO@HOU,HOU,NO,,,,,,C
56509-9758,SF,Danny,Danny Green,Green,22.136733697385203,49,5500,MEM@PHI,PHI,MEM,,,,,,SF
56509-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,22.134615384615383,26,5500,ORL@DEN,ORL,DEN,GTD,Illness,,,,PG
56509-17333,SG,Will,Will Barton,Barton,24.437776692708333,45,5500,ORL@DEN,DEN,ORL,,,,,,SG
56509-110338,SF,De'Andre,De'Andre Hunter,Hunter,28.120001220703124,20,5400,GS@ATL,ATL,GS,O,Knee,,,,SF
56509-110353,PF,Brandon,Brandon Clarke,Clarke,26.11499938964844,40,5400,MEM@PHI,MEM,PHI,,,,,,PF
56509-60233,SG,Dillon,Dillon Brooks,Brooks,26.11627906976744,43,5400,MEM@PHI,MEM,PHI,,,,,,SG
56509-9729,PF,Paul,Paul Millsap,Millsap,22.076316431949014,38,5200,ORL@DEN,DEN,ORL,,,,,,PF
