team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,39,88,11,33,6,13,11,31,28,7,3,17,22
CHARLOTTE HORNETS,240,39,87,11,38,25,29,12,34,21,11,4,13,16
CHICAGO BULLS,240,44,93,10,28,7,11,16,29,27,3,3,12,21
DENVER NUGGETS,240,50,96,20,40,15,20,13,32,34,6,2,7,16
PHILADELPHIA 76ERS,240,46,87,18,34,10,11,9,42,38,8,6,16,10
INDIANA PACERS,240,39,97,9,29,9,12,12,28,23,9,3,12,14
LOS ANGELES LAKERS,265,50,99,19,40,19,21,14,49,37,11,5,23,24
OKLAHOMA CITY THUNDER,265,41,104,22,54,24,36,15,29,31,10,4,15,22
PHOENIX SUNS,240,36,84,9,30,28,36,15,31,18,9,8,16,21
TORONTO RAPTORS,240,43,86,7,28,18,25,9,30,27,8,8,14,27
NEW YORK KNICKS,240,39,87,12,29,10,12,6,36,15,6,3,14,16
WASHINGTON WIZARDS,240,40,92,7,27,14,20,15,36,23,9,2,13,10
