slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,2228,15,28,1,3,12,12,0,5,5,0,0,3,2,30.6
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,2490,15,25,2,8,8,10,0,4,2,1,0,1,3,29.1
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,UTAH JAZZ,LOSS,2067,10,16,2,4,11,15,4,8,3,4,1,6,4,28.6
covinro01,Robert Covington,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,2342,9,14,5,9,2,2,2,9,3,4,0,2,3,25.8
walljo01,John Wall,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,2454,8,21,0,3,13,14,2,6,14,0,2,6,2,24.7
johnsty01,Tyler Johnson,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,1564,9,11,3,4,2,2,1,4,5,1,0,0,2,24.5
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,LOSS,2309,9,17,0,2,11,11,2,7,5,1,0,3,5,23.7
haywago01,Gordon Hayward,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,WIN,2051,11,17,1,4,6,7,1,2,4,0,0,1,3,23.0
curryse01,Seth Curry,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2206,13,17,3,6,2,2,0,1,1,1,0,4,1,21.9
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,2363,12,18,0,0,2,3,4,14,3,1,0,7,1,20.5
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,WIN,2116,4,18,1,5,8,9,2,16,17,3,0,6,1,20.3
russeda01,D'Angelo Russell,LOS ANGELES LAKERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2134,12,26,3,12,2,3,1,3,6,4,0,4,2,20.2
harriga01,Gary Harris,DENVER NUGGETS,HOME,BROOKLYN NETS,WIN,1649,9,15,4,6,3,3,0,2,1,1,0,0,1,20.0
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,WIN,1875,7,13,0,0,1,2,3,7,4,3,2,0,0,19.7
gasolpa01,Pau Gasol,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,WIN,1603,5,7,3,3,4,4,5,7,2,0,1,2,3,18.6
butleji01,Jimmy Butler,CHICAGO BULLS,HOME,PHOENIX SUNS,WIN,2594,8,21,1,4,5,6,2,1,9,4,0,3,2,18.3
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,2291,11,21,1,3,4,5,2,5,3,1,1,4,3,17.8
wadedw01,Dwyane Wade,CHICAGO BULLS,HOME,PHOENIX SUNS,WIN,1950,8,17,0,1,7,8,2,2,3,2,2,2,5,17.4
holmeri01,Richaun Holmes,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1560,6,9,0,1,0,0,3,7,1,2,5,0,3,17.3
roberan03,Andre Roberson,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,WIN,1763,8,9,3,3,0,2,2,5,1,1,0,2,1,17.3
hillge01,George Hill,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,WIN,2041,4,6,3,4,8,8,0,1,1,4,0,3,4,16.8
riverau01,Austin Rivers,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,LOSS,1612,8,14,2,6,5,6,0,0,3,0,0,0,4,16.5
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,2078,6,13,0,1,1,2,1,4,14,3,0,3,3,16.4
valende01,Denzel Valentine,CHICAGO BULLS,HOME,PHOENIX SUNS,WIN,2067,5,9,5,8,0,0,0,5,5,3,0,2,1,16.3
favorde01,Derrick Favors,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,WIN,1560,9,14,0,0,1,1,2,5,2,0,2,2,1,16.1
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,WIN,1998,5,7,0,0,5,7,4,12,2,0,3,4,3,16.0
milescj01,C.J. Miles,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,WIN,1312,6,10,5,9,0,0,0,4,1,2,2,1,2,15.9
saricda01,Dario Šarić,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1972,10,19,0,4,0,0,1,10,4,1,0,2,1,15.8
chrisma01,Marquese Chriss,PHOENIX SUNS,AWAY,CHICAGO BULLS,LOSS,1995,7,10,2,3,1,3,1,6,2,2,2,3,2,15.5
turnemy01,Myles Turner,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,WIN,2039,6,7,0,0,0,0,0,6,2,3,2,1,2,15.3
millspa01,Paul Millsap,ATLANTA HAWKS,HOME,MIAMI HEAT,LOSS,1670,6,9,0,0,9,14,0,4,1,1,0,2,2,15.2
gallida01,Danilo Gallinari,DENVER NUGGETS,HOME,BROOKLYN NETS,WIN,1497,8,13,3,6,1,2,1,7,0,0,0,1,1,15.1
warretj01,T.J. Warren,PHOENIX SUNS,AWAY,CHICAGO BULLS,LOSS,2279,8,14,0,2,1,2,3,5,2,2,0,1,3,14.8
