,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,Opponent Defensive Rank vs Position
0,LeBron James,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
1,Luka Dončić,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11
2,Kemba Walker,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
3,Andre Drummond,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27
4,Patty Mills,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29
5,Marcus Morris,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
6,Anthony Davis,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
7,Giannis Antetokounmpo,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
8,Russell Westbrook,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19
9,Taurean Waller-Prince,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
10,D'Angelo Russell,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
11,Derrick Rose,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7
12,Malcolm Brogdon,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27
13,Garrett Temple,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17
14,James Harden,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
15,Otto Porter,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
16,Jeremy Lamb,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30
17,Donovan Mitchell,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27
18,LaMarcus Aldridge,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6
19,Rudy Gobert,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2
20,Domantas Sabonis,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28
21,De'Aaron Fox,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
22,Joe Harris,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
23,Eric Bledsoe,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
24,Jordan Clarkson,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
25,Jayson Tatum,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
26,Caris LeVert,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17
27,Kevin Love,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
28,Wendell Carter,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
29,Mike Conley,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
30,Lauri Markkanen,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30
31,Donte DiVincenzo,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
32,Rudy Gay,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22
33,DeMar DeRozan,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29
34,Kyrie Irving,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
35,Damion Lee,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
36,Collin Sexton,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
37,Gordon Hayward,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
38,Jordan Poole,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
39,Bojan Bogdanović,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
40,Harrison Barnes,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
41,Zach LaVine,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
42,Nikola Vučević,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7
43,Evan Fournier,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
44,Khris Middleton,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
45,Thaddeus Young,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30
46,Danuel House,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
47,Luke Kennard,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
48,Nemanja Bjelica,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
49,Kevin Knox,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
50,Jakob Poeltl,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6
51,Danny Green,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
52,George Hill,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
53,Jonathan Isaac,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11
54,P.J. Tucker,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
55,Christian Wood,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
56,RJ Barrett,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
57,Goga Bitadze,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28
58,Frank Ntilikina,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
59,Cedi Osman,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
60,Sterling Brown,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
61,Langston Galloway,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
62,Ersan İlyasova,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
63,Alec Burks,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
64,Bryn Forbes,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
65,Buddy Hield,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
66,Robin Lopez,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
67,Delon Wright,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
68,Dwight Powell,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4
69,Grant Williams,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
70,Jarrett Allen,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
71,Draymond Green,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
72,Dwight Howard,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
73,Marco Belinelli,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
74,Bogdan Bogdanović,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
75,Avery Bradley,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
76,Tristan Thompson,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
77,Justin Holiday,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30
78,Ben McLemore,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
79,DeAndre Jordan,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
80,Daniel Theis,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
81,T.J. McConnell,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27
82,Dewayne Dedmon,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,24
83,Richaun Holmes,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,24
84,Clint Capela,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29
85,Brad Wanamaker,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
86,Wayne Ellington,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
87,Bobby Portis,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
88,Aaron Gordon,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
89,Royce O'Neale,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
90,Julius Randle,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
91,Dorian Finney-Smith,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
92,Tim Hardaway,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
93,Tyson Chandler,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29
94,Kristaps Porziņģis,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
95,Glenn Robinson,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
96,Kyle Kuzma,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
97,Mitchell Robinson,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
98,Austin Rivers,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
99,Marcus Smart,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7
100,Tony Snell,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,16
101,Marquese Chriss,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
102,D.J. Augustin,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
103,Amile Jefferson,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,
104,Josh Magette,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,
105,Ryan Arcidiacono,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
106,Markieff Morris,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
107,Eric Paschall,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
108,Willie Cauley-Stein,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,16
109,Maxi Kleber,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4
110,Alex Caruso,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
111,Trey Lyles,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22
112,Derrick White,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
113,Markelle Fultz,ORLANDO MAGIC,2019-11-01,HOME,MILWAUKEE BUCKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
114,Jeff Green,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
115,Joe Ingles,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
116,Tomáš Satoranský,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
117,Thanasis Antetokounmpo,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
118,Boban Marjanović,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4
119,Larry Nance,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
