team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,39,88,12,32,23,25,11,32,19,10,8,15,18
ATLANTA HAWKS,240,40,92,12,41,13,14,13,36,28,8,6,20,20
MIAMI HEAT,240,45,79,13,32,14,23,7,39,27,5,6,17,23
CHICAGO BULLS,240,35,89,12,27,21,26,12,31,19,9,1,13,25
PHOENIX SUNS,240,39,87,11,33,26,33,7,19,21,7,7,7,26
CHARLOTTE HORNETS,240,48,88,16,34,23,27,14,39,31,5,8,16,26
CLEVELAND CAVALIERS,240,35,72,10,29,22,26,5,23,20,5,1,12,15
DENVER NUGGETS,240,50,89,15,37,9,11,12,31,33,7,2,11,25
SACRAMENTO KINGS,240,40,89,10,25,13,18,11,28,30,5,5,11,20
DETROIT PISTONS,240,36,82,10,29,19,25,13,33,21,6,2,14,23
LOS ANGELES LAKERS,265,50,96,10,37,24,30,13,43,27,6,4,15,27
HOUSTON ROCKETS,265,42,100,25,68,29,36,12,27,23,9,4,12,27
DALLAS MAVERICKS,240,37,88,9,37,16,20,14,30,21,5,4,13,18
INDIANA PACERS,240,42,85,8,24,19,24,11,34,23,6,4,11,22
MILWAUKEE BUCKS,240,47,85,12,30,12,15,4,42,22,7,7,13,14
ORLANDO MAGIC,240,44,93,14,32,6,9,5,27,31,5,3,8,15
OKLAHOMA CITY THUNDER,240,41,93,12,31,23,26,11,34,20,10,6,10,24
PHILADELPHIA 76ERS,240,38,81,11,32,28,39,12,35,28,6,7,17,20
MEMPHIS GRIZZLIES,240,34,80,10,29,12,15,10,32,21,7,3,24,13
TORONTO RAPTORS,240,44,90,17,36,14,16,8,29,31,19,8,10,17
