,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_7_9,fantasy_points_8_8,fantasy_points_8_85,fantasy_points_8_9,predicted_points,actual_points
45,Robert Covington,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,29.648127847263336,2.3710323841379193,2.509332320503235,1.3110834697547098,6.374195023547957,1.475892834500959,0.7788738490847993,1.1213591642543328,1.362822619360352,27.58675,0,27.256657745394975,27.09802581218635,27.500625235647846,27.864660331082796,27.781894900206286,26.0
46,Christian Wood,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,25.291588616152996,3.244766471337055,0.6474139881703223,2.6439122417269667,6.016024891703395,1.2916877481635662,1.0538082232838453,0.6697770710140847,1.262587803247963,26.637749999999997,0,25.148694157917404,24.021777642126366,24.11425461573257,24.272528346321884,24.14061672084729,17.8
47,Tim Hardaway,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,28.364796428313987,2.4401242670395753,2.4300200839165553,1.8695751887541858,3.746339396816957,1.7984167012220205,0.20903459329758833,0.754735016083155,1.0393216982802451,25.20625,0,23.882004194663736,22.59573547271747,23.02065575663196,23.313877189550524,23.085103432458364,19.0
48,Tony Bradley,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,20.41365194259662,1.8687648833371284,0.0,0.1971343964559562,5.762337646477658,0.4180174678313371,0.5889030645558098,0.5461611876881487,0.6406394791106453,14.85175,0,13.862601659571794,14.384934431914516,14.198583755581907,14.051832194208295,14.241048818271638,14.799999999999999
49,Raul Neto,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,18.99000430987703,1.3092271249144114,0.7994756900124909,0.42801841056396034,1.6180350073559797,1.8813612223181921,0.23760465732744868,0.5841779129473705,0.5531387613234677,9.092,0,12.196664347018825,12.597608039729124,12.213414817962118,11.880370364045163,12.12079252223571,18.9
50,Coby White,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,24.238294914427218,2.4300524462071458,1.6399985233552836,1.7675687837249772,2.9066576437834755,2.6220518305361065,0.18114359245524403,0.7562864419404391,1.40335949471845,16.523,0,20.399812353494248,20.144096883105682,20.243550884515273,20.346130839737825,20.377666773018046,14.9
51,Langston Galloway,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,26.079978520002673,1.6728655822662368,1.6292225357650716,0.6962936639360819,2.8392464005825815,1.660635072670555,0.1719475000165107,1.015794057924583,1.024699460294215,19.1885,0,17.47417686002718,17.863256952402367,17.45485505264125,17.072219481954093,17.366265938997763,20.9
52,Dante Exum,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,20.732619993017966,0.9471954516505967,0.7362817034002487,0.4700270678871492,2.6165688922650894,1.1709337589723852,0.36429499044794866,0.5337873923266987,0.8160740979537751,10.213750000000001,0,11.961874609917835,11.075717680251032,11.377569813580365,11.749603136969284,11.347719440935942,14.1
53,Kristaps Porziņģis,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,29.538079967399334,3.7723151673372772,1.9040870241272028,2.543373462754415,6.203794920408885,1.3180994404211717,1.1214346383879321,0.9456487212037765,1.2895355302283609,31.2445,0,30.341046429401985,30.133611797022333,30.175935211599217,30.124852937374634,30.133682483479763,21.9
54,Ryan Arcidiacono,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,18.94550544489225,0.7149809220270283,0.8675593356075065,0.1283657504877894,1.6801654692835482,1.3781183854146035,0.1550542746540122,0.6368786833129745,0.5621986151981923,7.29425,0,10.024363565839444,10.094353393862022,10.06776236311265,10.074396998531952,10.057982001329297,9.0
55,Dorian Finney-Smith,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,25.288467319207108,1.3729500625840068,1.5397630270239875,1.1276204976203958,5.431589944807014,1.088361884442195,0.739206854643792,0.745554004555856,0.7981046497526678,23.94625,0,20.473984419791464,20.569668241611915,20.556667073764878,20.450257524176948,20.29943839213836,20.0
