,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_7_9,fantasy_points_8_8,fantasy_points_8_85,fantasy_points_8_9,predicted_points,actual_points
0,Zach LaVine,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,36.250667197035746,6.62935097117418,2.727627837530684,4.631828811970272,5.87956355606226,3.6597193573758275,0.6778738849441681,1.2492847594148695,2.586376927365997,40.74550000000001,0,41.75449626434185,41.357544366323715,41.80872580637986,42.22933373476625,41.81356857596025,67.0
1,Kyrie Irving,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,32.84361600424768,5.788643357160982,1.7303272120015558,2.9834567649490875,4.954309729655831,5.4534744528237855,0.3882102334088171,1.5441712347521124,2.410022625110803,40.694500000000005,0,37.36904730300997,37.22325324188512,37.250577508753224,37.34425276172129,37.26423024947038,61.7
2,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,33.06537985713455,6.81388346090076,2.131683795813042,4.598016778684691,7.3500970378580135,3.7509223020968436,0.9057871924415068,0.5854477337677415,2.5911030952026017,43.5005,0,40.40756851342881,41.30617300409429,40.95358136175633,40.51219515440356,40.94993666992535,64.6
3,Ben Simmons,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,33.14541373661599,7.6406594004137816,0.0,4.206267247694778,9.662767144077055,7.660940697290926,0.5058709460189532,1.569060052821008,3.1239541696149313,50.6875,0,45.49851570935055,45.908303947046534,45.429710714442955,44.948921177112354,45.67515649425615,59.0
4,Rudy Gobert,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,30.927371301229538,6.887471631387076,0.0,3.6473727709865056,13.891438530901592,2.1581474811444608,2.0020405201391376,0.8983090645519032,1.9969808965196527,51.061,0,43.33650104569247,42.64754169603853,42.90823719311108,42.967464175917385,44.03333135011273,56.4
5,Chris Paul,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,32.10456829222007,4.584265178878191,1.702805160511685,3.7601965802528494,4.860638538089249,5.464191376755498,0.2520003392690344,1.2854298932453587,2.252709257527858,37.01225000000001,0,34.09721442633446,34.14845183887632,34.205799025125984,34.22986521850301,34.425777170399954,47.8
6,Tomáš Satoranský,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,24.286241347894453,2.502663470018735,1.1304643043954947,1.8104834909465621,3.096883858079863,4.2847193621335595,0.1393025723998167,0.8989053875006223,1.7787804434947139,19.17225,0,22.021933803466602,21.66210865511769,21.693698093283125,21.79414015055717,21.686386453273297,43.2
7,Derrick Rose,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,33.45844771220422,7.24545675951226,1.1291939799937023,3.7320270436163874,4.514022180276612,6.641875844543537,0.19927278452287878,1.0779103481308643,3.0003918751303225,38.049,0,37.75091650456564,37.89232414545173,38.01105829081705,38.08824186323634,37.82132040860016,45.8
8,Jarrett Allen,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,23.586889325962833,4.1786083296209195,0.18609902441769566,1.6871587736273699,8.49513173436268,1.5208501693793792,1.1774293261539799,0.6877149626937191,1.2099182774672095,27.512500000000003,0,27.408957946386288,27.601718918890263,27.570600828937494,27.486997245740064,27.46362043050247,52.5
9,Anthony Davis,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,31.351516564244026,5.711498362489509,1.0139487166410992,5.428977673128972,8.38762374745356,3.1063710227600883,1.6415126147997463,1.244673573370255,2.19379934092038,44.60199999999999,0,41.601077860022905,40.52676760268304,41.10592014434577,41.850058105478475,41.083284802705315,46.4
10,Cedi Osman,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,27.24125291879943,1.7812961724239855,1.9752410909080513,1.1979102346126105,3.4456404467430097,2.1519074130988844,0.24750872434650084,0.6830291824396659,1.381304498489371,21.95675,0,19.76095331616554,19.354681298127574,19.53642729573763,19.72822807383342,19.459164729793805,34.2
11,Tobias Harris,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,33.472921446726154,4.397106239465359,2.707045739528153,2.5069087963817247,6.702453623418389,2.9645702868539594,0.5246330651374547,1.0596653433316878,1.749540422003783,35.0085,0,35.00694847772888,34.798992929793286,34.96083123292339,35.10910859874031,34.91541307568355,40.1
12,Seth Curry,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,25.12174384097131,1.7606461931838986,2.029030729379026,1.058399600284094,1.9551527429188909,1.5151713770978184,0.14116262272457325,0.6766018667221187,0.6757106666657096,19.44375,0,17.2399400000606,16.86988968030404,17.087111456461713,17.20663749111649,17.063307333612734,32.8
13,LeBron James,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,37.48090655373323,6.911378481141417,1.9380681225746863,4.520183984462783,6.732710027577612,9.043611491511362,0.17706468112349683,1.5795470872907336,3.6368989805178185,50.3155,0,48.08029646205415,47.39606063925112,47.54182231818717,47.68822806631387,47.43475090955473,44.4
14,Shabazz Napier,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,24.23208951717395,1.9332306045663863,1.0945658940147525,1.9687770162881364,3.7185198344783323,5.391840726453593,0.09671463814275905,0.9192231561406357,1.9786560873951624,24.022499999999997,0,23.016197920016374,22.96116209287385,22.782997010069792,22.65091662299134,22.738078093974575,44.5
15,Dennis Schröder,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,31.13160805242595,4.772228100732214,2.1628585163964904,2.7621983157130696,3.678452387500524,5.240624496659376,0.010948360414174019,0.862647221854997,2.0118402312529424,34.003249999999994,0,31.48885751019509,31.597034482204855,31.56509466861047,31.435913089555655,31.679256191911232,34.8
16,Darius Bazley,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,20.551143414839586,2.737581045783152,0.33440006487135676,0.9764769036133347,4.197247251191627,1.0235569668058595,0.8354140931572873,0.6475166461925943,0.5525978410372632,15.70525,0,17.897953851047745,18.1952500183625,17.940695160407337,17.597625556299235,17.923065718444835,29.7
17,Andre Drummond,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,33.494274177764204,6.667328742402283,0.0,2.7670872183264144,13.197237123663488,3.4477485556561014,1.3325922919611473,1.5612289673878381,2.680418138824203,47.24775,0,42.2116599341213,42.816688557504094,42.60579623635915,42.52147590829143,43.11109772423407,53.2
18,Sviatoslav Mykhailiuk,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,26.69319739110083,1.4006324231706486,2.230626198274603,1.6731056584582986,2.420359728350462,1.502423718010153,0.33104336207858287,0.6729846171435065,1.025717264428846,21.634,0,19.309372020434623,18.038711887998204,18.07718155555324,18.10554711808348,18.310683023896612,31.5
19,Luka Dončić,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,38.611377002322115,7.094488829289075,2.6965608305217286,5.899897366663724,8.527678196702913,8.31410682980987,0.33868183147234676,1.213760978408878,3.799086981991393,51.2505,0,51.26676062404109,51.7453627887097,51.68578163370231,51.415714619312205,51.74117304521764,44.7
20,Kris Dunn,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,26.1734174031892,2.733995915236761,0.9218019595125584,1.7789628195198706,4.522540767528268,3.4716961299801854,0.3923689856942203,1.3178302110730584,1.5385641939071835,25.86975,0,24.01911842790313,24.67518961804148,24.27265882137759,23.98292970062547,24.238987040929917,31.0
21,Bruce Brown,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,25.07662253191574,2.3197904784239256,0.6124554289502948,1.3964094403088767,3.544309664293607,3.477099798306039,0.49765042248920954,1.052613286099719,1.5760396347607808,22.286,0,20.948266176422166,19.504408923074273,20.299736818951494,21.14622737527818,20.416929469625003,29.5
22,Larry Nance,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,25.933359773167695,2.75404567644091,0.45717277966001557,0.3176340498004535,6.392576446145366,1.849131955335956,0.36868952785166265,0.8296600985596894,1.2834867083922792,25.94225,0,19.555208989750504,20.33954784447051,19.90630693713355,19.410732517995115,19.95359558088247,32.2
23,Al Horford,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,30.736543571057844,3.6571373178315874,1.8857898283211096,1.7011128779689542,6.770667678159523,4.272317719013342,0.7175357883364906,1.0405296844344845,1.8680411755301736,33.506,0,32.748907871365375,32.1901043636782,32.622775690285614,32.94447357365569,32.61219003368965,25.7
24,Donovan Mitchell,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,33.37829027517104,4.523919542692012,2.7984009527196867,3.541437955018234,3.5639985516789316,3.6718771382767414,0.2619098920512548,0.9846889067426665,2.1078543102866307,34.80625,0,32.20913605281339,32.3233485933913,32.33196983050601,32.28218745703355,32.40103595408628,43.1
25,Bojan Bogdanović,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,30.286942468614583,3.5005215207305085,2.665691539268172,3.1949297251235915,3.39069594957407,2.518912042034744,0.2447458831063698,0.627982354463235,1.6577519599671582,27.76475,0,27.193459865198847,26.87898718126528,27.042870199679925,27.154959285899693,27.00068333967178,26.7
26,Delon Wright,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,22.65617851086598,2.2723096796512756,0.4859520989844166,0.6899960308839299,4.401977947623333,2.512062632204268,0.4630291747187818,0.7905559989212305,0.9825335738911887,17.83275,0,18.180432431544062,18.419563555433477,18.570307009909385,18.697729559845172,18.521161119622978,26.6
27,Kevin Love,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,35.15343242913539,4.262926856898913,2.5472749290166483,3.434666997799643,7.613479203134149,2.980534005579271,0.4411551286638651,0.9546659027914703,2.405933613701925,35.82300000000001,0,35.18769505820307,34.26271759930175,34.88187366170125,35.43782944608119,34.99085103144138,35.2
28,Joe Harris,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,24.521716559217488,2.5464676609577808,1.6295405831706016,1.6509829366134627,4.1886603934504265,2.0135688375479788,0.33997407239865396,0.8330556648047991,1.3479166465083827,17.44125,0,21.514589717243943,21.679427216866294,21.743391489145253,21.873636192675683,21.850458301605286,25.2
