team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,43,94,9,32,31,41,15,25,22,16,3,12,18
ATLANTA HAWKS,240,56,90,18,37,12,16,10,34,36,8,4,18,28
GOLDEN STATE WARRIORS,240,57,95,21,39,7,10,12,38,38,6,4,10,20
DENVER NUGGETS,240,42,92,14,34,13,16,9,27,30,4,3,8,12
PHOENIX SUNS,240,40,95,8,27,9,18,10,33,26,8,6,19,30
INDIANA PACERS,240,46,89,12,25,27,36,9,43,31,11,7,14,17
CHICAGO BULLS,240,37,92,9,31,17,24,13,33,21,11,6,13,26
LOS ANGELES LAKERS,240,38,82,8,26,23,34,13,38,21,7,4,17,18
MIAMI HEAT,240,36,86,8,34,6,8,4,39,27,2,6,17,14
MILWAUKEE BUCKS,240,48,96,17,39,11,18,7,46,35,8,6,7,12
MINNESOTA TIMBERWOLVES,240,35,90,8,23,29,35,9,25,18,10,2,11,19
PHILADELPHIA 76ERS,240,55,92,21,43,18,21,8,46,40,6,11,15,29
