team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,37,83,12,33,29,34,11,42,25,8,7,14,19
BOSTON CELTICS,240,41,99,15,40,14,15,15,34,23,6,4,14,22
PHILADELPHIA 76ERS,240,38,91,14,36,20,27,11,30,29,7,2,12,24
DENVER NUGGETS,240,48,94,8,24,22,29,11,40,27,4,4,10,21
INDIANA PACERS,240,32,74,9,27,30,36,7,33,20,7,5,17,26
MEMPHIS GRIZZLIES,240,39,80,9,28,19,28,8,28,29,8,5,12,24
SAN ANTONIO SPURS,240,47,91,11,24,21,25,9,42,30,5,3,9,19
NEW ORLEANS PELICANS,240,45,96,7,27,17,24,10,31,26,6,6,8,18
ATLANTA HAWKS,240,42,92,12,33,15,20,9,27,24,9,7,10,27
PORTLAND TRAIL BLAZERS,240,41,82,11,30,27,30,11,36,26,8,7,18,23
