"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","Nicolas Batum",6000,"CHA@HOU 12/13/2017 09:30PM ET",24.167,"CHA","HOU",23.51,28.1,25.75
"SG/SF","Jaylen Brown",5900,"DEN@BOS 12/13/2017 07:30PM ET",26.537,"BOS","DEN",26.66,26.6,39.75
"SF/PF","Thaddeus Young",5900,"OKC@IND 12/13/2017 07:00PM ET",28.204,"IND","OKC",28.13,28.6,46
"PG/SG","Austin Rivers",5900,"LAC@ORL 12/13/2017 07:00PM ET",26.17,"LAC","ORL",32.86,30.4,15.5
"PG","Darren Collison",5800,"OKC@IND 12/13/2017 07:00PM ET",28.385,"IND","OKC",25.94,26.2,24.75
"SF/PF","Danilo Gallinari",5800,"LAC@ORL 12/13/2017 07:00PM ET",24.591,"LAC","ORL",0,0,0
"PF/C","Serge Ibaka",5700,"TOR@PHO 12/13/2017 09:00PM ET",24.826,"TOR","PHO",28.14,27.1,43.75
"SF/PF","James Johnson",5600,"POR@MIA 12/13/2017 07:30PM ET",26.59,"MIA","POR",28.59,29.7,34.5
"PF/C","Derrick Favors",5500,"UTA@CHI 12/13/2017 08:00PM ET",26.481,"UTA","CHI",24.91,23.6,18
"SG/SF","Rodney Hood",5500,"UTA@CHI 12/13/2017 08:00PM ET",25.986,"UTA","CHI",23.73,20.4,24.5
"SG/SF","Marcus Smart",5400,"DEN@BOS 12/13/2017 07:30PM ET",24.324,"BOS","DEN",24.78,26.3,26.25
"SG/SF","Jeremy Lamb",5400,"CHA@HOU 12/13/2017 09:30PM ET",27.77,"CHA","HOU",16.29,22.5,9.75
"PF/C","Kelly Olynyk",5400,"POR@MIA 12/13/2017 07:30PM ET",20.692,"MIA","POR",27.85,27.3,20
"PF/C","Domantas Sabonis",5300,"OKC@IND 12/13/2017 07:00PM ET",26.67,"IND","OKC",21.15,20.6,15.5
"SG/SF","Dion Waiters",5300,"POR@MIA 12/13/2017 07:30PM ET",24.896,"MIA","POR",30.85,29.7,24.5
"PG/SG","Jamal Murray",5200,"DEN@BOS 12/13/2017 07:30PM ET",22.644,"DEN","BOS",27.35,24.4,53.5
"PF","Lauri Markkanen",5200,"UTA@CHI 12/13/2017 08:00PM ET",29.9,"CHI","UTA",24.65,0,0
"PF/C","Nikola Mirotic",5200,"UTA@CHI 12/13/2017 08:00PM ET",24.833,"CHI","UTA",19.49,27.6,44.75
"SF/PF","Jabari Parker",5200,"MIL@NO 12/13/2017 08:00PM ET",0,"MIL","NO",0,0,0
"PG/SG","Alec Burks",5100,"UTA@CHI 12/13/2017 08:00PM ET",18.75,"UTA","CHI",20.54,21.5,20.75
"PF/C","Kenneth Faried",5000,"DEN@BOS 12/13/2017 07:30PM ET",15.761,"DEN","BOS",23.94,19.4,22.5
"PG","Ricky Rubio",5000,"UTA@CHI 12/13/2017 08:00PM ET",26.404,"UTA","CHI",25.08,24.8,25
"SG/SF","Joe Ingles",5000,"UTA@CHI 12/13/2017 08:00PM ET",24.741,"UTA","CHI",26.86,24.4,23.5
"C","Marcin Gortat",5000,"MEM@WAS 12/13/2017 07:00PM ET",25.471,"WAS","MEM",20.48,19.4,30.5
"SG/SF","Justin Holiday",4900,"UTA@CHI 12/13/2017 08:00PM ET",27.17,"CHI","UTA",25.54,23.4,21.5
"SF/PF","Marvin Williams",4900,"CHA@HOU 12/13/2017 09:30PM ET",20,"CHA","HOU",25.18,21.5,10.25
"SG/SF","Trevor Ariza",4900,"CHA@HOU 12/13/2017 09:30PM ET",24.424,"HOU","CHA",26,24.9,24
"SG","Eric Gordon",4900,"CHA@HOU 12/13/2017 09:30PM ET",27.707,"HOU","CHA",25.79,25.2,20.5
"PF/C","Greg Monroe",4800,"TOR@PHO 12/13/2017 09:00PM ET",22.219,"PHO","TOR",29.59,29.3,37.25
"SF/PF","Markieff Morris",4800,"MEM@WAS 12/13/2017 07:00PM ET",19.395,"WAS","MEM",0,0,0
