"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Eric Griffin",3000,"UTA@CHI 12/13/2017 08:00PM ET",0,"UTA","CHI",0,0,0
"PF/C","Cristiano Felicio",3000,"UTA@CHI 12/13/2017 08:00PM ET",9.107,"CHI","UTA",0,0,0
"SG/SF","Quincy Pondexter",3000,"UTA@CHI 12/13/2017 08:00PM ET",5.781,"CHI","UTA",0,0,0
"PG/SG","Cameron Payne",3000,"UTA@CHI 12/13/2017 08:00PM ET",0,"CHI","UTA",0,0,0
"PG","Ryan Arcidiacono",3000,"UTA@CHI 12/13/2017 08:00PM ET",1.5,"CHI","UTA",0,0,0
"PG","Kay Felder",3000,"UTA@CHI 12/13/2017 08:00PM ET",7.5,"CHI","UTA",0,0,0
"C","Dakari Johnson",3000,"OKC@IND 12/13/2017 07:00PM ET",5.313,"OKC","IND",0,0,0
"SF/PF","Josh Huestis",3000,"OKC@IND 12/13/2017 07:00PM ET",6.4,"OKC","IND",8.23,7.2,8.75
"SF","Daniel Hamilton",3000,"OKC@IND 12/13/2017 07:00PM ET",0,"OKC","IND",0,0,0
"PG/SG","PJ Dozier",3000,"OKC@IND 12/13/2017 07:00PM ET",0,"OKC","IND",0,0,0
"SG/SF","Terrance Ferguson",3000,"OKC@IND 12/13/2017 07:00PM ET",2.25,"OKC","IND",5.89,0,5.5
"PF/C","Nick Collison",3000,"OKC@IND 12/13/2017 07:00PM ET",3.583,"OKC","IND",0,0,0
"SG/SF","Kyle Singler",3000,"OKC@IND 12/13/2017 07:00PM ET",4.25,"OKC","IND",0,0,0
"PG","Edmond Sumner",3000,"OKC@IND 12/13/2017 07:00PM ET",0,"IND","OKC",0,0,0
"SF/PF","TJ Leaf",3000,"OKC@IND 12/13/2017 07:00PM ET",6.543,"IND","OKC",2.64,0,4.75
"SF","Alex Poythress",3000,"OKC@IND 12/13/2017 07:00PM ET",1.917,"IND","OKC",0,0,0
"PF/C","Ike Anigbogu",3000,"OKC@IND 12/13/2017 07:00PM ET",2,"IND","OKC",0,0,0
"PG/SG","Joe Young",3000,"OKC@IND 12/13/2017 07:00PM ET",4.417,"IND","OKC",0,0,0
"SG/SF","Damien Wilkins",3000,"OKC@IND 12/13/2017 07:00PM ET",2.893,"IND","OKC",0,0,0
"PF","Alfonzo McKinnie",3000,"TOR@PHO 12/13/2017 09:00PM ET",2.594,"TOR","PHO",0,0,0
"SF","Bruno Caboclo",3000,"TOR@PHO 12/13/2017 09:00PM ET",2.375,"TOR","PHO",0,0,0
"PF","Malcolm Miller",3000,"TOR@PHO 12/13/2017 09:00PM ET",0,"TOR","PHO",0,0,0
"PG","Lorenzo Brown",3000,"TOR@PHO 12/13/2017 09:00PM ET",4.375,"TOR","PHO",0,0,0
"PF","Alec Peters",3000,"TOR@PHO 12/13/2017 09:00PM ET",3.75,"PHO","TOR",0,0,0
"SG/SF","Danuel House",3000,"TOR@PHO 12/13/2017 09:00PM ET",2.75,"PHO","TOR",0,0,4.75
"SG/SF","Davon Reed",3000,"TOR@PHO 12/13/2017 09:00PM ET",0,"PHO","TOR",0,0,0
"PG/SG","Brandon Knight",3000,"TOR@PHO 12/13/2017 09:00PM ET",0,"PHO","TOR",0,0,0
"SF/PF","Jamil Wilson",3000,"LAC@ORL 12/13/2017 07:00PM ET",7.5,"LAC","ORL",10.62,8.2,14.75
"PF/C","Khem Birch",3000,"LAC@ORL 12/13/2017 07:00PM ET",2.667,"ORL","LAC",0,0,0
"PF","Adreian Payne",3000,"LAC@ORL 12/13/2017 07:00PM ET",0,"ORL","LAC",5.74,0,0
"SG/SF","Jamel Artis",3000,"LAC@ORL 12/13/2017 07:00PM ET",0,"ORL","LAC",0,0,0
"PG/SG","Patrick Beverley",3000,"LAC@ORL 12/13/2017 07:00PM ET",25.977,"LAC","ORL",0,0,0
"PG","Jawun Evans",3000,"LAC@ORL 12/13/2017 07:00PM ET",9.306,"LAC","ORL",6.2,9.1,18.25
"PF/C","Brice Johnson",3000,"LAC@ORL 12/13/2017 07:00PM ET",5.542,"LAC","ORL",0,0,0
"SG","CJ Williams",3000,"LAC@ORL 12/13/2017 07:00PM ET",6.438,"LAC","ORL",3.71,0,11.25
"C","Willie Reed",3000,"LAC@ORL 12/13/2017 07:00PM ET",10.345,"LAC","ORL",0,0,0
"PF/C","Brandan Wright",3000,"MEM@WAS 12/13/2017 07:00PM ET",13.234,"MEM","WAS",0,0,0
"PF/C","Jason Smith",3000,"MEM@WAS 12/13/2017 07:00PM ET",5.778,"WAS","MEM",13.27,16.3,11
"PG/SG","Wayne Selden",3000,"MEM@WAS 12/13/2017 07:00PM ET",8.25,"MEM","WAS",0,0,0
"SG","Kobi Simmons",3000,"MEM@WAS 12/13/2017 07:00PM ET",2,"MEM","WAS",0,0,0
"PF","Vince Hunter",3000,"MEM@WAS 12/13/2017 07:00PM ET",3,"MEM","WAS",1.72,0,0
"PF/C","Ivan Rabb",3000,"MEM@WAS 12/13/2017 07:00PM ET",0.75,"MEM","WAS",0,0,0
"SG","Devin Robinson",3000,"MEM@WAS 12/13/2017 07:00PM ET",0,"WAS","MEM",0,0,0
"PF/C","Chris McCullough",3000,"MEM@WAS 12/13/2017 07:00PM ET",7.167,"WAS","MEM",2.51,0,0
"PF","Mike Young",3000,"MEM@WAS 12/13/2017 07:00PM ET",0,"WAS","MEM",0,0,0
"SG","Sheldon Mac",3000,"MEM@WAS 12/13/2017 07:00PM ET",0,"WAS","MEM",0,0,0
"PG","Marcus Paige",3000,"CHA@HOU 12/13/2017 09:30PM ET",2.5,"CHA","HOU",0,0,0
"PF/C","Mangok Mathiang",3000,"CHA@HOU 12/13/2017 09:30PM ET",2.5,"CHA","HOU",0,0,0
"PG/SG","Julyan Stone",3000,"CHA@HOU 12/13/2017 09:30PM ET",9.625,"CHA","HOU",0,0,0
"SG/SF","Treveon Graham",3000,"CHA@HOU 12/13/2017 09:30PM ET",11.484,"CHA","HOU",9.29,7.1,8.75
"PF/C","Johnny O'Bryant III",3000,"CHA@HOU 12/13/2017 09:30PM ET",9.104,"CHA","HOU",0,0,0
"PF/C","Zhou Qi",3000,"CHA@HOU 12/13/2017 09:30PM ET",4.114,"HOU","CHA",0,0,0
"SG","Troy Williams",3000,"CHA@HOU 12/13/2017 09:30PM ET",3.25,"HOU","CHA",0,0,0
"PG","Demetrius Jackson",3000,"CHA@HOU 12/13/2017 09:30PM ET",2.854,"HOU","CHA",0,0,0
"PF/C","Chinanu Onuaku",3000,"CHA@HOU 12/13/2017 09:30PM ET",0,"HOU","CHA",0,0,0
"PG","Briante Weber",3000,"CHA@HOU 12/13/2017 09:30PM ET",1.688,"HOU","CHA",0,0,0
"PG/SG","Wade Baldwin IV",3000,"POR@MIA 12/13/2017 07:30PM ET",0,"POR","MIA",0,0,0
"SG/SF","CJ Wilcox",3000,"POR@MIA 12/13/2017 07:30PM ET",0,"POR","MIA",0,0,0
"SF/PF","Jake Layman",3000,"POR@MIA 12/13/2017 07:30PM ET",4,"POR","MIA",7.67,8.2,0
"SG/SF","Rodney McGruder",3000,"POR@MIA 12/13/2017 07:30PM ET",0,"MIA","POR",0,0,0
"SG","Matt Williams",3000,"POR@MIA 12/13/2017 07:30PM ET",0,"MIA","POR",0,0,0
"SF/PF","Okaro White",3000,"POR@MIA 12/13/2017 07:30PM ET",8.45,"MIA","POR",0,0,0
"PG/SG","Derrick Walton",3000,"POR@MIA 12/13/2017 07:30PM ET",1.417,"MIA","POR",0,0,0
"PF/C","Jordan Mickey",3000,"POR@MIA 12/13/2017 07:30PM ET",7.375,"MIA","POR",5.26,0,0
"C","AJ Hammons",3000,"POR@MIA 12/13/2017 07:30PM ET",0,"MIA","POR",0,0,0
"PF/C","Udonis Haslem",3000,"POR@MIA 12/13/2017 07:30PM ET",2.083,"MIA","POR",0,0,0
"PF","Joel Bolomboy",3000,"MIL@NO 12/13/2017 08:00PM ET",3,"MIL","NO",0,0,6.5
"PF/C","DJ Wilson",3000,"MIL@NO 12/13/2017 08:00PM ET",1.694,"MIL","NO",0,0,0
"PG/SG","Jason Terry",3000,"MIL@NO 12/13/2017 08:00PM ET",5.972,"MIL","NO",0,0,0
"SG","Sterling Brown",3000,"MIL@NO 12/13/2017 08:00PM ET",4.45,"MIL","NO",0,0,0
"PG/SF","Rashad Vaughn",3000,"MIL@NO 12/13/2017 08:00PM ET",6.542,"MIL","NO",10.96,10.5,6.5
"SG","Gary Payton II",3000,"MIL@NO 12/13/2017 08:00PM ET",4.389,"MIL","NO",0,14.2,18.5
"PG","Frank Jackson",3000,"MIL@NO 12/13/2017 08:00PM ET",0,"NO","MIL",0,0,0
"SG","Charles Cooke",3000,"MIL@NO 12/13/2017 08:00PM ET",2.75,"NO","MIL",0,0,0
"SF/PF","Solomon Hill",3000,"MIL@NO 12/13/2017 08:00PM ET",0,"NO","MIL",0,0,0
"SF","Jalen Jones",3000,"MIL@NO 12/13/2017 08:00PM ET",2.313,"NO","MIL",0,0,0
"C","Omer Asik",3000,"MIL@NO 12/13/2017 08:00PM ET",5.607,"NO","MIL",0,0,0
"PF","Cheick Diallo",3000,"MIL@NO 12/13/2017 08:00PM ET",5.55,"NO","MIL",0,0,0
"C","Alexis Ajinca",3000,"MIL@NO 12/13/2017 08:00PM ET",0,"NO","MIL",0,0,0
