,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,Opponent Defensive Rank vs Position,predicted_points,actual_points
20,Devonte' Graham,CHARLOTTE HORNETS,2020-02-12,AWAY,MINNESOTA TIMBERWOLVES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23,22.136000000000003,40.8
21,Bradley Beal,WASHINGTON WIZARDS,2020-02-12,AWAY,NEW YORK KNICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7,22.136000000000003,41.9
22,John Collins,ATLANTA HAWKS,2020-02-12,AWAY,CLEVELAND CAVALIERS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27,22.136000000000003,35.3
23,Anfernee Simons,PORTLAND TRAIL BLAZERS,2020-02-12,AWAY,MEMPHIS GRIZZLIES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22,22.136000000000003,30.9
24,Seth Curry,DALLAS MAVERICKS,2020-02-12,HOME,SACRAMENTO KINGS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27,22.366999999999994,30.6
25,Tim Hardaway,DALLAS MAVERICKS,2020-02-12,HOME,SACRAMENTO KINGS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27,22.366999999999994,34.6
26,Tony Snell,DETROIT PISTONS,2020-02-12,AWAY,ORLANDO MAGIC,31.13,0.82,1.22,0.28,0.73,2.94,0.09,0.78,1.1,16.54,16.51,15.2,1.0808641975308644,1.3100000000000023,0.0,0.0,0,12,12.376,30.1
27,Nikola Vučević,ORLANDO MAGIC,2020-02-12,HOME,DETROIT PISTONS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25,22.366999999999994,52.7
28,Jordan Clarkson,UTAH JAZZ,2020-02-12,HOME,MIAMI HEAT,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19,22.366999999999994,31.299999999999997
29,Rudy Gobert,UTAH JAZZ,2020-02-12,HOME,MIAMI HEAT,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,22.366999999999994,45.5
30,Malik Monk,CHARLOTTE HORNETS,2020-02-12,AWAY,MINNESOTA TIMBERWOLVES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28,22.136000000000003,40.3
31,Malik Beasley,MINNESOTA TIMBERWOLVES,2020-02-12,HOME,CHARLOTTE HORNETS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,24,22.366999999999994,37.7
32,Bismack Biyombo,CHARLOTTE HORNETS,2020-02-12,AWAY,MINNESOTA TIMBERWOLVES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10,22.136000000000003,31.0
33,Joe Harris,BROOKLYN NETS,2020-02-12,HOME,TORONTO RAPTORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28,22.366999999999994,34.2
34,Marquese Chriss,GOLDEN STATE WARRIORS,2020-02-12,AWAY,PHOENIX SUNS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,16,22.136000000000003,42.9
35,Donte DiVincenzo,MILWAUKEE BUCKS,2020-02-12,AWAY,INDIANA PACERS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12,22.136000000000003,35.1
36,Malcolm Brogdon,INDIANA PACERS,2020-02-12,HOME,MILWAUKEE BUCKS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20,22.366999999999994,38.5
37,Spencer Dinwiddie,BROOKLYN NETS,2020-02-12,HOME,TORONTO RAPTORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,22.366999999999994,37.7
38,Ja Morant,MEMPHIS GRIZZLIES,2020-02-12,HOME,PORTLAND TRAIL BLAZERS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,22.366999999999994,40.5
39,Kevin Porter,CLEVELAND CAVALIERS,2020-02-12,HOME,ATLANTA HAWKS,29.7,3.17,1.34,1.73,3.04,2.71,0.31,0.61,1.85,21.85,20.43,23.03,0.8918019142738244,-2.6000000000000014,0.0,0.0,0,25,20.712999999999994,30.3
40,Isaac Bonga,WASHINGTON WIZARDS,2020-02-12,AWAY,NEW YORK KNICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10,22.136000000000003,34.5
41,Buddy Hield,SACRAMENTO KINGS,2020-02-12,AWAY,DALLAS MAVERICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,22.136000000000003,37.7
42,Bam Adebayo,MIAMI HEAT,2020-02-12,AWAY,UTAH JAZZ,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14,22.136000000000003,46.7
43,Caris LeVert,BROOKLYN NETS,2020-02-12,HOME,TORONTO RAPTORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,22.366999999999994,44.4
44,Damian Lillard,PORTLAND TRAIL BLAZERS,2020-02-12,AWAY,MEMPHIS GRIZZLIES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22,22.136000000000003,40.0
45,Jarrett Allen,BROOKLYN NETS,2020-02-12,HOME,TORONTO RAPTORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,22.366999999999994,33.1
46,Bojan Bogdanović,UTAH JAZZ,2020-02-12,HOME,MIAMI HEAT,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6,22.366999999999994,33.4
47,Jonas Valančiūnas,MEMPHIS GRIZZLIES,2020-02-12,HOME,PORTLAND TRAIL BLAZERS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22,22.366999999999994,44.599999999999994
48,Collin Sexton,CLEVELAND CAVALIERS,2020-02-12,HOME,ATLANTA HAWKS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29,22.366999999999994,33.4
49,Hassan Whiteside,PORTLAND TRAIL BLAZERS,2020-02-12,AWAY,MEMPHIS GRIZZLIES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19,22.136000000000003,32.2
50,Jimmy Butler,MIAMI HEAT,2020-02-12,AWAY,UTAH JAZZ,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7,22.136000000000003,32.1
51,Evan Fournier,ORLANDO MAGIC,2020-02-12,HOME,DETROIT PISTONS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3,22.366999999999994,29.9
52,Julius Randle,NEW YORK KNICKS,2020-02-12,HOME,WASHINGTON WIZARDS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,22.366999999999994,37.1
53,Markieff Morris,DETROIT PISTONS,2020-02-12,AWAY,ORLANDO MAGIC,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15,22.136000000000003,27.1
54,Thon Maker,DETROIT PISTONS,2020-02-12,AWAY,ORLANDO MAGIC,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8,22.136000000000003,24.9
55,Dāvis Bertāns,WASHINGTON WIZARDS,2020-02-12,AWAY,NEW YORK KNICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25,22.136000000000003,28.4
56,CJ McCollum,PORTLAND TRAIL BLAZERS,2020-02-12,AWAY,MEMPHIS GRIZZLIES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22,22.136000000000003,36.1
57,Myles Turner,INDIANA PACERS,2020-02-12,HOME,MILWAUKEE BUCKS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7,22.366999999999994,35.3
58,Sterling Brown,MILWAUKEE BUCKS,2020-02-12,AWAY,INDIANA PACERS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,22.136000000000003,24.1
59,Jalen McDaniels,CHARLOTTE HORNETS,2020-02-12,AWAY,MINNESOTA TIMBERWOLVES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17,22.136000000000003,24.7
60,Miles Bridges,CHARLOTTE HORNETS,2020-02-12,AWAY,MINNESOTA TIMBERWOLVES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17,22.136000000000003,31.6
61,Troy Brown,WASHINGTON WIZARDS,2020-02-12,AWAY,NEW YORK KNICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7,22.136000000000003,28.6
62,Monte Morris,DENVER NUGGETS,2020-02-12,HOME,LOS ANGELES LAKERS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11,22.366999999999994,26.4
