,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
0,Luka Doncic,SF,SA@DAL,DAL,58.85,11771,11000,$771,61.85,11598,52.12,54.67,55.03,30.0, , ,0.0,0.0
1,Bradley Beal,SG,WAS@MEM,WAS,34.61,6921,10500,-$3579,34.78,6522,48.29,44.57,44.33,12.0, , ,0.0,0.0
2,Russell Westbrook,PG,WAS@MEM,WAS,39.03,7806,9800,-$1994,40.11,7521,46.3,43.77,53.8,20.0, , ,0.3130234864530636,0.0
3,DeMar DeRozan,SG,SA@DAL,SA,34.23,6846,8600,-$1754,34.44,6457,38.38,37.48,38.4,1.0, , ,0.0,0.0
4,Dejounte Murray,PG,SA@DAL,SA,25.76,5152,8500,-$3348,25.56,4793,35.75,36.09,36.9,22.0, , ,0.0,0.0
5,Kristaps Porzingis,PF,SA@DAL,DAL,37.88,7577,8300,-$723,39.18,7347,36.8,39.57,37.53,6.0, , ,0.0,0.0
6,Ja Morant,PG,WAS@MEM,MEM,37.31,7463,8000,-$537,38.42,7203,35.99,35.45,44.77,28.0, , ,0.5774487032771903,0.0
7,Jonas Valanciunas,C,WAS@MEM,MEM,28.39,5679,7000,-$1321,30.16,5655,33.36,36.46,32.5,29.0, , ,0.0,0.0
8,Jakob Poeltl,C,SA@DAL,SA,21.58,4317,6500,-$2183,20.85,3909,23.43,30.3,27.17,9.0, , ,0.0,0.0
9,Kyle Anderson,SF,WAS@MEM,MEM,20.92,4184,6500,-$2316,20.25,3798,30.14,30.51,24.17,18.0, , ,0.0,0.0
10,Brandon Clarke,PF,WAS@MEM,MEM,21.64,4328,6200,-$1872,20.66,3874,26.46,26.15,31.1,18.0, , ,0.0,0.0
11,Thomas Bryant,C,WAS@MEM,WAS,7.05,1410,6200,-$4790,6.88,1290,26.37,26.37,29.97,11.0,O,Knee,0.0,0.0
12,De'Anthony Melton,SG,WAS@MEM,MEM,18.51,3703,6000,-$2297,18.83,3530,22.57,22.0,32.03,28.0, , ,1.562481037697706,0.0
13,Keldon Johnson,SF,SA@DAL,SA,23.17,4634,5800,-$1166,23.51,4408,27.66,25.55,25.17,1.0, , ,0.0,0.0
14,Derrick White,PG,SA@DAL,SA,27.02,5404,5600,-$196,28.38,5321,24.79,25.89,24.67,14.0,GTD,Covid-19,0.0,0.0
15,Dillon Brooks,SG,WAS@MEM,MEM,25.51,5102,5600,-$498,24.94,4676,27.25,29.72,35.8,13.0, , ,0.0,0.0
16,Jaren Jackson,PF,WAS@MEM,MEM,24.84,4969,5500,-$531,25.42,4767,29.98,26.06,27.4,29.0,GTD,Knee,0.0,0.0
17,LaMarcus Aldridge,PF,SA@DAL,SA,16.1,3220,5500,-$2280,15.91,2983,24.42,25.74,15.97,9.0,GTD,Illness,0.0,2.2129309641395927
18,Jalen Brunson,PG,SA@DAL,DAL,22.22,4444,5400,-$956,21.94,4114,22.28,25.32,28.73,30.0, , ,0.0,0.0
19,Lonnie Walker,SG,SA@DAL,SA,20.42,4084,5400,-$1316,21.09,3955,19.12,16.36,25.3,14.0, , ,1.5034182864971632,0.0
20,Josh Richardson,SF,SA@DAL,DAL,24.87,4974,5400,-$426,24.85,4659,22.56,26.01,33.37,4.0, , ,0.3508083187945312,0.0
21,Davis Bertans,PF,WAS@MEM,WAS,14.36,2873,5200,-$2327,14.62,2741,18.69,16.13,12.33,27.0, , ,0.0,0.0
22,Rudy Gay,SF,SA@DAL,SA,14.85,2969,5200,-$2231,15.15,2841,22.06,21.33,19.43,24.0,GTD,Covid-19,0.0,0.0
23,Rui Hachimura,SF,WAS@MEM,WAS,21.95,4391,5000,-$609,22.04,4133,22.92,22.01,20.83,27.0, , ,0.0,0.0
24,Maxi Kleber,PF,SA@DAL,DAL,16.34,3268,5000,-$1732,16.54,3102,19.02,20.27,24.43,15.0, , ,0.0,0.0
25,Tyus Jones,PG,WAS@MEM,MEM,16.6,3320,5000,-$1680,16.54,3102,21.38,20.03,22.2,28.0, , ,0.0,0.0
26,Tim Hardaway,SG,SA@DAL,DAL,22.84,4569,5000,-$431,23.39,4386,24.24,21.01,24.13,4.0, , ,0.0,0.0
27,Justise Winslow,SF,WAS@MEM,MEM,20.56,4112,4800,-$688,20.62,3867,19.78,19.39,19.6,20.0, , ,0.0,0.0
28,Trey Lyles,PF,SA@DAL,SA,15.17,3033,4700,-$1667,15.42,2890,12.31,17.89,27.63,24.0, , ,1.6966982641319257,0.0
29,Dorian Finney-Smith,SF,SA@DAL,DAL,13.63,2726,4600,-$1874,13.56,2543,19.98,19.83,15.8,6.0, , ,0.0,0.0
30,Alex Len,C,WAS@MEM,WAS,17.62,3524,4500,-$976,17.0,3187,14.1,20.52,18.2,11.0, , ,0.0,0.0
31,Grayson Allen,SG,WAS@MEM,MEM,14.15,2831,4500,-$1669,13.82,2591,18.43,21.09,20.7,13.0,GTD,Concussion,0.0,0.0
32,Raul Neto,PG,WAS@MEM,WAS,15.71,3142,4400,-$1258,15.38,2884,16.63,17.13,16.2,20.0, , ,0.0,0.0
33,Xavier Tillman,PF,WAS@MEM,MEM,11.4,2280,4300,-$2020,11.19,2097,18.72,18.3,20.23, , , ,0.0,0.0
34,Robin Lopez,C,WAS@MEM,WAS,13.65,2731,4200,-$1469,13.44,2520,16.41,17.69,15.7,11.0, , ,0.0,0.0
35,Trey Burke,PG,SA@DAL,DAL,12.38,2477,4200,-$1723,12.5,2343,12.89,8.47,12.87,17.0, , ,0.0,0.0
36,James Johnson,PF,SA@DAL,DAL,8.05,1611,4200,-$2589,7.9,1481,16.23,9.45,5.23,6.0, , ,0.0,0.0
37,Deni Avdija,SF,WAS@MEM,WAS,14.94,2989,4000,-$1011,14.66,2749,15.28,18.32,20.73, , , ,0.0,0.0
38,Gorgui Dieng,C,WAS@MEM,MEM,10.31,2061,4000,-$1939,10.63,1993,18.41,15.83,26.3,29.0, , ,2.0387407337264487,0.0
39,Patty Mills,SG,SA@DAL,SA,18.55,3711,4000,-$289,19.53,3662,20.38,18.04,19.57,22.0, , ,0.0,0.0
40,Ish Smith,PG,WAS@MEM,WAS,10.38,2075,4000,-$1925,10.21,1914,18.48,18.89,20.93,20.0,O,Quadriceps,0.0,0.0
41,Moritz Wagner,PF,WAS@MEM,WAS,16.47,3294,4000,-$706,16.33,3062,14.87,13.6,16.57,11.0, , ,0.0,0.0
42,Willie Cauley-Stein,C,SA@DAL,DAL,3.71,742,3800,-$3058,3.67,688,14.81,11.36,7.27,15.0, , ,0.0,0.0
43,Keita Bates-Diop,SF,SA@DAL,SA,7.3,1460,3800,-$2340,7.34,1376,6.72,8.61,14.63,1.0, , ,0.029677188415769513,0.0
44,Garrison Mathews,SF,WAS@MEM,WAS,6.86,1372,3600,-$2228,6.53,1224,12.19,7.61,8.7,12.0, , ,0.0,0.0
45,Jerome Robinson,PG,WAS@MEM,WAS,5.2,1041,3600,-$2559,5.12,959,11.35,12.6,4.6,12.0, , ,0.0,2.616665639300358
46,Boban Marjanovic,C,SA@DAL,DAL,3.49,697,3600,-$2903,3.56,668,9.43,11.26,18.23,15.0, , ,0.8358465621035669,0.0
47,Quinndary Weatherspoon,SG,SA@DAL,SA,2.32,464,3500,-$3036,2.38,446,1.58,3.47,2.3,14.0, , ,0.0,0.0
48,Anthony Gill,PF,WAS@MEM,WAS,1.73,346,3500,-$3154,1.64,307,4.23,4.66,3.63, , , ,0.0,0.0
49,John Konchar,SG,WAS@MEM,MEM,6.71,1342,3500,-$2158,6.43,1206,13.48,12.06,19.5,13.0, , ,1.080007772618215,0.0
50,Tre Jones,PG,SA@DAL,SA,0.89,177,3500,-$3323,0.89,167,2.44,2.41,2.33, , , ,0.0,0.0
51,Wes Iwundu,SG,SA@DAL,DAL,1.35,271,3500,-$3229,1.35,253,5.95,5.72,-0.33,9.0, , ,0.0,0.0
52,Tyrell Terry,PG,SA@DAL,DAL,0.91,181,3500,-$3319,0.9,169,3.65,3.87,3.13, , , ,0.0,0.0
53,Devin Vassell,SG,SA@DAL,SA,4.02,805,3500,-$2695,4.01,751,14.87,14.33,14.7, ,GTD,Covid-19,0.0,0.0
54,Josh Green,SG,SA@DAL,DAL,2.22,443,3500,-$3057,2.25,421,6.34,7.64,1.3, , , ,0.0,0.0
55,Luka Samanic,PF,SA@DAL,SA,5.08,1016,3500,-$2484,5.26,986,9.57,9.05,21.77,24.0, , ,2.9591276579610977,0.0
56,Desmond Bane,SG,WAS@MEM,MEM,18.07,3613,3500,$113,17.99,3374,16.57,19.11,16.4, , , ,0.0,0.0
57,Tyler Bey,SF,SA@DAL,DAL,1.61,322,3500,-$3178,1.6,300,3.15,3.15,0.73, , , ,0.0,0.0
58,Troy Brown,SF,WAS@MEM,WAS,2.7,539,3500,-$2961,2.69,503,8.86,7.63,9.9,12.0, , ,0.0,0.0
59,Dwight Powell,C,SA@DAL,DAL,4.39,878,3500,-$2622,4.44,833,11.63,8.97,7.57,15.0, , ,0.0,0.0
60,Cassius Winston,PG,WAS@MEM,WAS,1.21,243,3500,-$3257,1.17,219,4.8,4.8,6.43, , , ,0.0,0.0
61,Nate Hinton,SG,SA@DAL,DAL,2.47,495,3500,-$3005,2.63,493,2.0,2.0,0.0, ,GTD,Ankle,0.0,0.0
62,Sean McDermott,SF,WAS@MEM,MEM,11.2,2241,3500,-$1259,11.38,2134,7.05,7.05,9.0, , , ,0.0,0.0
63,Killian Tillie,PF,WAS@MEM,MEM,4.78,957,3500,-$2543,4.65,871,3.7,3.7,3.7, , , ,0.0,0.0
64,Drew Eubanks,C,SA@DAL,SA,8.74,1748,3500,-$1752,8.64,1620,11.18,11.55,8.47,24.0, , ,0.0,0.0
65,Isaac Bonga,PF,WAS@MEM,WAS,2.4,480,3500,-$3020,2.33,437,6.51,3.5,2.03,19.0, , ,0.0,0.0
