slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
murraja01,Jamal Murray,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2681,15,26,6,13,4,4,0,4,5,1,0,5,1,28.1
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,2587,10,24,4,12,6,6,1,13,5,3,2,3,4,25.1
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2382,5,13,0,4,6,6,3,19,13,2,3,5,4,23.3
dragigo01,Goran Dragić,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,2332,11,19,3,6,4,4,0,7,4,0,1,1,5,22.7
crowdja01,Jae Crowder,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,2347,7,11,5,9,3,5,1,4,1,1,2,2,1,18.9
wanambr01,Brad Wanamaker,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,1498,3,5,0,1,5,5,0,3,6,5,0,0,2,18.0
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,2553,5,12,0,0,8,11,1,5,9,1,2,3,1,17.9
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,2580,7,14,2,3,4,6,3,2,5,2,0,2,3,17.2
beverpa01,Patrick Beverley,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1811,4,7,1,2,2,2,2,3,6,3,1,0,3,16.7
smartma01,Marcus Smart,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,2592,9,18,6,13,2,3,0,3,1,0,0,3,2,14.4
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1543,7,10,0,0,6,9,1,2,0,0,0,1,3,13.7
herroty01,Tyler Herro,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,2424,5,10,2,5,0,0,0,11,9,0,0,2,3,13.4
brownja02,Jaylen Brown,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,2626,6,14,3,4,2,2,4,1,2,1,0,1,3,12.9
harriga01,Gary Harris,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2214,6,11,2,6,0,0,2,4,1,1,1,1,3,11.5
greenja01,JaMychal Green,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1436,4,7,1,3,2,2,2,4,0,1,0,0,1,10.9
walkeke02,Kemba Walker,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,2578,6,19,1,9,6,7,0,3,6,0,1,3,4,8.9
grantje01,Jerami Grant,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,1858,5,10,2,6,2,2,2,3,1,0,0,3,4,7.4
