,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
0,James Harden,SG,HOU@DEN,HOU,44.0,$8799,$11500,-$2701,73.3, , ,0.0,0.0
7,Donovan Mitchell,SG,UTA@OKC,UTA,33.22,$6645,$7900,-$1255,37.5, , ,0.0,0.0
41,Josh Jackson,SF,DET@ATL,DET,33.65,$6730,$4300,$2430,25.15, , ,0.0,0.0
92,Kenrich Williams,SF,UTA@OKC,OKC,20.08,$4016,$3500,$516,16.6, , ,0.03562458998245008,0.0
3,Trae Young,PG,DET@ATL,ATL,38.75,$7750,$9800,-$2050,50.9, , ,0.0,0.0
48,Rajon Rondo,PG,DET@ATL,ATL,31.23,$6246,$4200,$2046,18.9, , ,0.0,0.0
1,Anthony Davis,PF,POR@LAL,LAL,42.19,$8438,$10200,-$1762,37.25,GTD,Calf,0.0,0.0
34,Paul Millsap,PF,HOU@DEN,DEN,33.93,$6787,$4500,$2287,18.55, , ,0.08179446227196044,0.0
63,Marc Gasol,C,POR@LAL,LAL,28.73,$5746,$3800,$1946,18.3, , ,0.0,0.0
