,Name,Position,Game,Team,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position,Injury Indicator,Injury Details
0,LeBron James,SF,LAC@LAL,LAL,37.79,6.69,1.19,1.6,5.88,11.4,0.48,1.65,2.44,7.0,,
1,Anthony Davis,PF,LAC@LAL,LAL,34.53,11.01,2.12,9.25,10.29,1.5,1.17,2.21,3.54,14.0,,
2,Kawhi Leonard,SF,LAC@LAL,LAC,32.26,7.66,1.46,3.74,7.27,5.35,0.96,1.74,2.53,7.0,,
3,Jrue Holiday,SG,UTA@NO,NO,29.32,4.53,1.71,1.55,2.68,7.13,0.28,1.02,1.83,15.0,,
4,Rudy Gobert,C,UTA@NO,UTA,33.15,7.65,0.02,2.42,11.04,1.09,2.95,0.56,1.49,14.0,,
5,Lonzo Ball,PG,UTA@NO,NO,33.03,5.63,1.18,0.81,4.23,6.8,0.75,1.28,0.76,15.0,,
6,Paul George,SG,LAC@LAL,LAC,26.05,3.77,1.53,2.27,4.47,4.12,0.1,1.35,1.35,7.0,,
7,Brandon Ingram,SF,UTA@NO,NO,32.22,5.54,2.23,2.04,4.35,4.79,0.38,0.76,2.97,13.0,,
8,Donovan Mitchell,SG,UTA@NO,UTA,30.23,4.23,2.03,4.19,4.41,4.67,0.0,0.93,3.79,19.0,,
9,Zion Williamson,PF,UTA@NO,NO,22.08,5.45,2.69,4.03,5.95,1.06,1.17,0.0,4.92,13.0,O,Personal
10,Montrezl Harrell,C,LAC@LAL,LAC,23.14,6.28,0.88,2.77,7.71,1.14,2.27,0.37,1.63,5.0,GTD,Personal
11,Mike Conley,PG,UTA@NO,UTA,27.52,1.68,1.26,1.84,3.34,4.55,0.11,0.83,1.77,26.0,,
12,Joe Ingles,SF,UTA@NO,UTA,30.14,1.85,1.06,0.74,3.7,6.46,0.49,0.59,1.29,25.0,,
13,Derrick Favors,C,UTA@NO,NO,23.68,5.42,0.0,0.1,8.75,0.0,3.19,0.0,0.23,25.0,O,Undisclosed
14,Royce O'Neale,PF,UTA@NO,UTA,28.69,2.68,0.83,1.28,5.44,2.43,0.64,0.86,1.11,21.0,,
15,Lou Williams,SG,LAC@LAL,LAC,26.42,4.17,1.94,2.71,4.02,5.32,0.15,0.97,2.31,5.0,GTD,Personal
16,Kyle Kuzma,PF,LAC@LAL,LAL,24.28,2.44,1.52,1.48,4.57,2.8,0.67,0.44,1.37,14.0,,
17,Patrick Beverley,PG,LAC@LAL,LAC,24.87,1.91,1.13,0.08,3.96,4.33,0.49,0.78,0.54,5.0,GTD,Personal
18,Ivica Zubac,C,LAC@LAL,LAC,21.21,4.18,0.49,1.24,6.97,1.42,2.26,0.15,0.78,5.0,O,Undisclosed
19,JaVale McGee,C,LAC@LAL,LAL,24.48,3.67,0.49,0.01,7.54,0.85,2.35,0.09,0.22,19.0,,
20,Josh Hart,SG,UTA@NO,NO,27.65,3.19,0.81,0.0,6.35,1.97,1.22,0.74,0.58,9.0,,
21,Jordan Clarkson,SG,UTA@NO,UTA,21.66,1.22,1.03,2.3,2.45,1.06,0.52,0.14,1.79,19.0,,
22,Marcus Morris,PF,LAC@LAL,LAC,23.39,3.61,1.51,2.03,4.31,1.7,0.32,0.93,1.41,8.0,,
23,Danny Green,SG,LAC@LAL,LAL,24.92,0.97,1.65,0.68,3.09,2.55,0.0,0.76,0.64,7.0,,
24,Nicolo Melli,PF,UTA@NO,NO,21.76,2.0,1.33,0.95,3.15,0.44,0.52,0.4,0.88,25.0,,
25,JJ Redick,SG,UTA@NO,NO,25.18,1.8,2.18,0.92,3.06,2.69,0.06,0.54,1.75,15.0,GTD,Hamstring
26,Bojan Bogdanovic,SF,UTA@NO,UTA,28.29,2.36,1.94,3.67,4.34,2.81,0.0,0.77,2.86,25.0,O,Wrist
27,Jaxson Hayes,C,UTA@NO,NO,20.63,1.16,2.07,0.37,4.11,0.26,0.98,0.0,1.5,25.0,,
28,Dwight Howard,C,LAC@LAL,LAL,24.44,3.92,0.92,1.84,7.25,1.9,1.65,0.28,1.47,19.0,,
29,Avery Bradley,SG,LAC@LAL,LAL,23.12,0.79,1.57,0.75,3.05,2.17,0.03,0.74,0.76,7.0,O,Personal
30,Tony Bradley,C,UTA@NO,UTA,17.87,0.05,0.79,1.49,3.55,0.0,1.21,0.0,1.22,14.0,,
31,Kenrich Williams,SF,UTA@NO,NO,17.05,1.13,1.29,0.0,3.37,0.3,1.01,0.0,0.73,13.0,,
32,Reggie Jackson,PG,LAC@LAL,LAC,23.87,2.27,1.05,1.13,2.37,5.28,0.21,0.69,1.47,5.0,,
33,Rajon Rondo,PG,LAC@LAL,LAL,23.73,1.26,1.53,0.63,3.0,4.15,0.34,0.45,1.04,7.0,O,Thumb
34,Kentavious Caldwell-Pope,SG,LAC@LAL,LAL,23.85,0.87,1.8,1.06,2.76,2.01,0.0,0.61,1.31,7.0,,
35,JaMychal Green,PF,LAC@LAL,LAC,23.05,2.89,0.67,0.09,5.76,1.69,1.22,0.63,0.29,8.0,,
36,Markieff Morris,SF,LAC@LAL,LAL,22.28,1.44,1.05,1.67,3.47,1.26,0.67,0.19,1.46,14.0,GTD,Coach's decision
37,Rodney McGruder,SG,LAC@LAL,LAC,17.9,0.67,1.37,0.0,3.74,1.54,0.77,0.0,0.82,5.0,,
38,Amir Coffey,PF,LAC@LAL,LAC,18.39,0.86,1.39,0.0,3.94,1.98,0.86,0.0,0.78,5.0,O,Coach's decision
39,Nigel Williams-Goss,PG,UTA@NO,UTA,19.93,0.45,0.73,0.0,4.3,0.53,1.24,0.0,0.82,26.0,,
40,Mfiondu Kabengele,SF,LAC@LAL,LAC,25.39,0.9,2.08,1.17,3.71,0.86,0.0,1.03,0.81,5.0,,
41,Emmanuel Mudiay,PG,UTA@NO,UTA,22.82,2.05,1.42,1.98,4.68,1.32,0.88,0.11,1.89,26.0,GTD,Illness
42,Nickeil Alexander-Walker,SG,UTA@NO,NO,21.03,0.57,2.15,0.01,3.59,0.67,0.75,0.0,1.34,15.0,,
43,Juwan Morgan,PF,UTA@NO,UTA,20.95,0.0,1.1,0.17,4.17,0.47,1.12,0.0,0.92,21.0,,
44,Alex Caruso,PG,LAC@LAL,LAL,24.67,2.1,1.4,0.6,4.5,3.29,0.67,0.6,0.71,7.0,GTD,Back
45,Patrick Patterson,PF,LAC@LAL,LAC,20.88,0.59,1.79,0.0,3.93,2.08,0.5,0.06,1.13,8.0,,
46,Zylan Cheatham,PF,UTA@NO,NO,20.5,3.77,1.25,0.4,5.28,0.0,1.85,0.0,1.01,9.0,,
47,Frank Jackson,PG,UTA@NO,NO,20.69,0.54,2.19,0.55,3.45,0.1,0.5,0.0,1.64,15.0,,
48,Jared Dudley,SF,LAC@LAL,LAL,21.81,0.43,1.49,0.0,4.83,1.01,0.87,0.16,0.55,10.0,,
49,Ed Davis,PF,UTA@NO,UTA,18.7,0.37,0.78,0.94,4.58,0.0,1.31,0.0,1.15,14.0,,
50,Rayjon Tucker,PG,UTA@NO,UTA,20.16,0.0,1.26,0.32,3.89,0.34,1.0,0.0,1.12,19.0,,
51,E'Twaun Moore,SF,UTA@NO,NO,19.69,1.29,2.0,0.59,3.48,0.0,0.72,0.0,1.35,15.0,,
52,Quinn Cook,PG,LAC@LAL,LAL,20.39,0.0,1.81,0.54,3.78,1.12,0.39,0.08,1.03,7.0,,
53,Jahlil Okafor,C,UTA@NO,NO,15.5,1.54,1.09,0.3,3.37,0.0,1.22,0.0,1.21,25.0,,
54,Jarrell Brantley,SF,UTA@NO,UTA,24.56,0.0,1.3,0.09,5.43,0.0,1.1,0.0,1.03,21.0,,
55,Terance Mann,SG,LAC@LAL,LAC,20.24,0.8,1.61,0.0,4.29,2.02,0.78,0.09,0.69,5.0,O,Hand
56,Georges Niang,PF,UTA@NO,UTA,23.55,0.07,0.97,0.07,4.04,1.68,0.72,0.03,0.89,21.0,,
57,Kostas Antetokounmpo,PF,LAC@LAL,LAL,20.49,0.34,1.5,0.0,4.53,2.46,0.8,0.0,0.91,14.0,,
58,Landry Shamet,PG,LAC@LAL,LAC,23.74,0.97,1.98,0.72,2.54,3.49,0.0,0.97,1.41,5.0,GTD,Illness
59,Miye Oni,SG,UTA@NO,UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,
60,Justin Wright-Foreman,PG,UTA@NO,UTA,22.92,0.0,1.45,0.09,4.78,0.12,0.85,0.0,1.33,26.0,,
61,Johnathan Motley,PF,LAC@LAL,LAC,18.21,0.83,1.36,0.0,4.1,1.89,0.98,0.0,0.9,8.0,,
