team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,36,86,6,25,19,26,11,36,24,9,4,14,26
DETROIT PISTONS,240,37,86,17,39,20,32,16,34,26,5,4,14,19
PHOENIX SUNS,240,38,89,7,26,19,25,15,34,22,9,4,21,21
HOUSTON ROCKETS,240,36,83,11,40,25,33,7,35,18,13,6,13,20
CHICAGO BULLS,240,42,80,11,21,26,33,8,36,24,3,6,16,26
LOS ANGELES CLIPPERS,240,44,99,10,20,30,35,15,28,28,9,5,7,30
MILWAUKEE BUCKS,240,42,88,12,33,17,24,8,44,29,8,9,15,21
MIAMI HEAT,240,38,93,8,22,14,25,10,35,21,7,5,12,18
PORTLAND TRAIL BLAZERS,240,43,96,10,27,26,32,17,37,26,7,8,15,18
NEW ORLEANS PELICANS,240,45,94,8,30,12,25,14,31,31,7,6,11,23
SACRAMENTO KINGS,240,43,94,9,27,19,24,10,30,23,4,2,8,22
PHILADELPHIA 76ERS,240,46,91,7,24,24,27,10,39,28,7,6,10,18
NEW YORK KNICKS,240,35,86,8,20,5,9,9,32,21,6,4,16,13
SAN ANTONIO SPURS,240,47,88,7,21,8,10,6,39,31,8,6,9,13
CHARLOTTE HORNETS,240,46,101,14,31,10,12,15,31,18,11,7,12,17
WASHINGTON WIZARDS,240,41,84,13,34,15,19,8,37,25,8,5,17,14
