Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (16577936),Giannis Antetokounmpo,16577936,PF/C/F/UTIL,11000,MIL@MEM 03/04/2021 08:00PM ET,MIL,57.82
C,Nikola Jokic (16577940),Nikola Jokic,16577940,C/UTIL,10900,DEN@IND 03/04/2021 08:00PM ET,DEN,59.98
PG,Damian Lillard (16577942),Damian Lillard,16577942,PG/G/UTIL,10700,SAC@POR 03/04/2021 10:00PM ET,POR,50.51
PG,Russell Westbrook (16577945),Russell Westbrook,16577945,PG/G/UTIL,10400,LAC@WAS 03/04/2021 07:00PM ET,WAS,50.06
PG,Stephen Curry (16577948),Stephen Curry,16577948,PG/G/UTIL,10100,GS@PHO 03/04/2021 10:00PM ET,GS,49.62
SG,Bradley Beal (16577951),Bradley Beal,16577951,SG/G/UTIL,9900,LAC@WAS 03/04/2021 07:00PM ET,WAS,49.99
PF/C,Domantas Sabonis (16577954),Domantas Sabonis,16577954,PF/C/F/UTIL,9800,DEN@IND 03/04/2021 08:00PM ET,IND,47.10
PF/C,Julius Randle (16577958),Julius Randle,16577958,PF/C/F/UTIL,9600,DET@NY 03/04/2021 07:30PM ET,NY,47.45
SF,Jimmy Butler (16577962),Jimmy Butler,16577962,SF/F/UTIL,9400,MIA@NO 03/04/2021 08:30PM ET,MIA,46.20
PF/C,Zion Williamson (16577965),Zion Williamson,16577965,PF/C/F/UTIL,9300,MIA@NO 03/04/2021 08:30PM ET,NO,42.24
SF/PF,Jayson Tatum (16577969),Jayson Tatum,16577969,SF/PF/F/UTIL,9200,TOR@BOS 03/04/2021 07:00PM ET,BOS,44.09
SF,Kawhi Leonard (16577973),Kawhi Leonard,16577973,SF/F/UTIL,9100,LAC@WAS 03/04/2021 07:00PM ET,LAC,46.61
PG/SG,Shai Gilgeous-Alexander (16577976),Shai Gilgeous-Alexander,16577976,PG/SG/G/UTIL,9000,OKC@SA 03/04/2021 09:00PM ET,OKC,41.22
PG,De'Aaron Fox (16577980),De'Aaron Fox,16577980,PG/G/UTIL,8900,SAC@POR 03/04/2021 10:00PM ET,SAC,40.98
C,Bam Adebayo (16577983),Bam Adebayo,16577983,C/UTIL,8800,MIA@NO 03/04/2021 08:30PM ET,MIA,42.57
PG/SG,Fred VanVleet (16577985),Fred VanVleet,16577985,PG/SG/G/UTIL,8700,TOR@BOS 03/04/2021 07:00PM ET,TOR,41.35
SG,Paul George (16577989),Paul George,16577989,SG/G/UTIL,8600,LAC@WAS 03/04/2021 07:00PM ET,LAC,42.95
PG,Jamal Murray (16577992),Jamal Murray,16577992,PG/G/UTIL,8500,DEN@IND 03/04/2021 08:00PM ET,DEN,37.06
PG,Kyle Lowry (16577995),Kyle Lowry,16577995,PG/G/UTIL,8400,TOR@BOS 03/04/2021 07:00PM ET,TOR,38.42
SG/SF,Khris Middleton (16577998),Khris Middleton,16577998,SG/SF/F/G/UTIL,8400,MIL@MEM 03/04/2021 08:00PM ET,MIL,39.41
SF/PF,Brandon Ingram (16578003),Brandon Ingram,16578003,SF/PF/F/UTIL,8300,MIA@NO 03/04/2021 08:30PM ET,NO,40.59
