Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Damian Lillard (15098940),Damian Lillard,15098940,CPT,18000,MEM@POR 08/15/2020 02:30PM ET,POR,51.24
PF/C,Jusuf Nurkic (15098941),Jusuf Nurkic,15098941,CPT,15000,MEM@POR 08/15/2020 02:30PM ET,POR,42.69
PG,Ja Morant (15098942),Ja Morant,15098942,CPT,14700,MEM@POR 08/15/2020 02:30PM ET,MEM,35.04
PG/SG,CJ McCollum (15098943),CJ McCollum,15098943,CPT,13200,MEM@POR 08/15/2020 02:30PM ET,POR,37.48
C,Jonas Valanciunas (15098944),Jonas Valanciunas,15098944,CPT,12900,MEM@POR 08/15/2020 02:30PM ET,MEM,35.05
PG,Damian Lillard (15098906),Damian Lillard,15098906,UTIL,12000,MEM@POR 08/15/2020 02:30PM ET,POR,51.24
C,Jaren Jackson Jr. (15098945),Jaren Jackson Jr.,15098945,CPT,11700,MEM@POR 08/15/2020 02:30PM ET,MEM,30.28
SF/PF,Carmelo Anthony (15098946),Carmelo Anthony,15098946,CPT,10800,MEM@POR 08/15/2020 02:30PM ET,POR,28.20
PF/C,Jusuf Nurkic (15098907),Jusuf Nurkic,15098907,UTIL,10000,MEM@POR 08/15/2020 02:30PM ET,POR,42.69
SG,Dillon Brooks (15098947),Dillon Brooks,15098947,CPT,9900,MEM@POR 08/15/2020 02:30PM ET,MEM,26.04
PG,Ja Morant (15098908),Ja Morant,15098908,UTIL,9800,MEM@POR 08/15/2020 02:30PM ET,MEM,35.04
SG/SF,Gary Trent Jr. (15098948),Gary Trent Jr.,15098948,CPT,9300,MEM@POR 08/15/2020 02:30PM ET,POR,15.26
PG/SG,CJ McCollum (15098909),CJ McCollum,15098909,UTIL,8800,MEM@POR 08/15/2020 02:30PM ET,POR,37.48
PF/C,Brandon Clarke (15098949),Brandon Clarke,15098949,CPT,8700,MEM@POR 08/15/2020 02:30PM ET,MEM,24.16
C,Jonas Valanciunas (15098910),Jonas Valanciunas,15098910,UTIL,8600,MEM@POR 08/15/2020 02:30PM ET,MEM,35.05
C,Hassan Whiteside (15098950),Hassan Whiteside,15098950,CPT,8100,MEM@POR 08/15/2020 02:30PM ET,POR,41.06
C,Jaren Jackson Jr. (15098911),Jaren Jackson Jr.,15098911,UTIL,7800,MEM@POR 08/15/2020 02:30PM ET,MEM,30.28
SF/PF,Kyle Anderson (15098951),Kyle Anderson,15098951,CPT,7500,MEM@POR 08/15/2020 02:30PM ET,MEM,17.17
SF/PF,Carmelo Anthony (15098912),Carmelo Anthony,15098912,UTIL,7200,MEM@POR 08/15/2020 02:30PM ET,POR,28.20
SG,Grayson Allen (15098952),Grayson Allen,15098952,CPT,7200,MEM@POR 08/15/2020 02:30PM ET,MEM,14.53
PF/C,Zach Collins (15098953),Zach Collins,15098953,CPT,6900,MEM@POR 08/15/2020 02:30PM ET,POR,18.52
SG,Dillon Brooks (15098913),Dillon Brooks,15098913,UTIL,6600,MEM@POR 08/15/2020 02:30PM ET,MEM,26.04
PG/SG,De'Anthony Melton (15098954),De'Anthony Melton,15098954,CPT,6300,MEM@POR 08/15/2020 02:30PM ET,MEM,19.38
SG/SF,Gary Trent Jr. (15098914),Gary Trent Jr.,15098914,UTIL,6200,MEM@POR 08/15/2020 02:30PM ET,POR,15.26
