team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,35,96,4,24,11,12,10,37,14,6,6,11,13
BROOKLYN NETS,240,35,81,19,50,12,16,6,45,24,5,5,15,15
MILWAUKEE BUCKS,240,42,91,17,49,16,23,8,37,26,3,6,8,22
CHICAGO BULLS,240,41,92,9,26,15,22,6,35,31,3,3,7,18
GOLDEN STATE WARRIORS,240,48,95,14,41,11,13,13,36,35,9,8,15,18
CHARLOTTE HORNETS,240,40,91,7,33,23,26,9,29,23,13,6,12,11
PORTLAND TRAIL BLAZERS,240,44,78,18,29,17,22,6,39,26,5,6,13,24
CLEVELAND CAVALIERS,240,37,89,13,34,23,26,13,27,22,4,1,7,20
INDIANA PACERS,240,40,87,10,26,19,21,12,30,23,8,8,11,23
DETROIT PISTONS,240,39,88,18,41,17,26,15,32,28,8,4,12,20
ATLANTA HAWKS,240,39,80,17,38,16,23,10,31,21,6,6,17,24
HOUSTON ROCKETS,240,39,90,15,51,26,30,12,25,24,11,4,12,18
DALLAS MAVERICKS,240,37,76,14,36,24,27,7,38,28,3,9,17,20
LOS ANGELES CLIPPERS,240,45,100,17,45,14,18,9,31,33,11,4,5,22
LOS ANGELES LAKERS,240,40,89,10,27,15,20,10,36,25,8,5,17,28
MEMPHIS GRIZZLIES,240,41,93,9,36,19,23,15,42,20,7,5,14,21
PHOENIX SUNS,240,45,89,13,32,21,25,7,32,30,9,1,14,20
MIAMI HEAT,240,48,97,9,29,16,20,14,30,31,10,4,14,20
SACRAMENTO KINGS,240,37,95,9,26,22,29,14,30,20,13,2,19,27
MINNESOTA TIMBERWOLVES,240,42,83,8,31,20,28,7,42,23,10,6,22,28
PHILADELPHIA 76ERS,240,44,101,10,31,13,19,15,43,23,9,8,19,19
NEW ORLEANS PELICANS,240,44,104,5,28,17,24,14,40,29,15,8,13,19
