team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,240,40,78,19,47,22,30,6,31,28,13,2,14,17
ATLANTA HAWKS,240,39,84,15,40,12,15,8,37,30,6,1,19,23
PHILADELPHIA 76ERS,240,43,86,11,32,21,28,6,38,29,5,4,7,27
CHARLOTTE HORNETS,240,36,83,9,35,33,44,10,36,16,3,2,9,22
INDIANA PACERS,240,45,87,7,21,12,17,11,35,30,8,6,20,20
LOS ANGELES CLIPPERS,240,43,89,10,34,19,27,10,29,28,14,2,13,20
LOS ANGELES LAKERS,240,33,86,16,43,19,23,8,34,20,9,5,19,18
MILWAUKEE BUCKS,240,41,89,15,47,18,27,12,42,25,9,4,17,19
GOLDEN STATE WARRIORS,240,44,91,19,42,10,14,8,38,39,6,7,13,25
MINNESOTA TIMBERWOLVES,240,36,89,9,36,26,32,13,39,25,7,0,13,14
BROOKLYN NETS,240,47,94,12,35,17,23,11,30,28,16,4,18,19
SACRAMENTO KINGS,240,49,95,9,25,14,20,14,32,25,13,1,20,19
