slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
hardeja01,James Harden,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,2267,11,24,7,14,11,14,1,14,10,0,0,4,3,33.1
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,2274,16,29,1,2,8,9,2,11,0,2,0,1,1,32.0
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,LOSS,2162,10,16,2,3,8,10,2,5,2,3,3,1,1,30.0
haywago01,Gordon Hayward,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,2247,10,12,4,5,4,5,0,9,2,1,1,1,1,27.6
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,2215,10,20,3,6,6,7,1,5,5,4,0,4,0,24.3
whiteha01,Hassan Whiteside,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,2220,12,17,0,0,2,3,3,17,2,1,2,4,3,24.3
beaslmi01,Michael Beasley,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,WIN,2061,11,18,1,1,5,6,1,4,4,2,3,4,2,23.4
couside01,DeMarcus Cousins,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,1817,8,14,4,5,4,7,4,9,6,1,1,3,4,23.0
walljo01,John Wall,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,2410,11,21,1,2,3,4,0,6,14,1,1,5,2,22.8
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,2534,7,12,5,6,5,8,1,3,9,2,1,4,3,22.6
thomais02,Isaiah Thomas,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,2192,8,19,3,8,8,9,0,1,7,0,0,1,0,20.7
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,2143,8,21,4,11,4,5,1,7,9,1,1,3,0,19.9
schrode01,Dennis Schröder,ATLANTA HAWKS,AWAY,BROOKLYN NETS,WIN,1776,7,14,2,4,3,3,0,1,10,2,0,1,1,19.9
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,2195,10,21,3,6,5,5,1,7,0,1,2,2,2,19.7
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,2017,10,18,2,5,3,4,0,1,4,2,0,1,2,19.3
walkeke02,Kemba Walker,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,2189,9,21,5,12,2,3,1,5,10,1,1,5,1,19.0
harremo01,Montrezl Harrell,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,1754,5,5,0,0,4,6,1,2,2,2,3,0,1,18.1
parkeja01,Jabari Parker,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,WIN,2042,9,16,2,3,2,2,1,6,3,1,0,0,5,18.0
caldwke01,Kentavious Caldwell-Pope,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,2383,6,12,6,8,3,3,1,4,2,1,0,2,2,16.5
brogdma01,Malcolm Brogdon,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,WIN,1522,5,11,3,5,4,5,2,4,6,0,1,1,3,16.2
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,2256,6,11,1,2,3,3,1,3,5,4,1,3,4,15.9
valanjo01,Jonas Valančiūnas,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,1665,6,18,0,0,6,6,11,12,0,0,2,3,4,15.9
johnsty01,Tyler Johnson,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,1799,6,11,3,8,3,4,1,6,3,0,0,0,3,15.7
kaminfr01,Frank Kaminsky,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1636,8,14,4,9,2,2,0,3,1,0,0,1,1,15.6
greendr01,Draymond Green,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,2133,4,11,0,3,5,6,0,9,5,2,2,1,0,15.1
tollian01,Anthony Tolliver,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,2159,4,11,3,7,6,6,3,1,3,0,0,0,1,15.0
lopezbr01,Brook Lopez,BROOKLYN NETS,HOME,ATLANTA HAWKS,LOSS,1928,8,14,2,6,2,4,0,2,2,1,2,1,3,14.8
morrima02,Markieff Morris,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1299,8,12,3,3,0,0,1,4,2,3,0,3,6,14.7
drumman01,Andre Drummond,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,2106,4,5,0,0,1,6,3,9,1,3,7,2,5,14.5
arizatr01,Trevor Ariza,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,2392,5,10,3,6,3,5,0,5,3,1,0,0,1,14.4
humphkr01,Kris Humphries,ATLANTA HAWKS,AWAY,BROOKLYN NETS,WIN,980,5,8,0,1,3,4,2,6,2,1,1,0,3,14.1
valende01,Denzel Valentine,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1809,7,15,5,11,0,0,0,2,2,2,0,1,1,13.9
howardw01,Dwight Howard,ATLANTA HAWKS,AWAY,BROOKLYN NETS,WIN,1679,6,9,0,0,2,8,7,9,0,0,1,2,1,13.6
willima02,Marvin Williams,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1522,6,10,3,5,1,2,1,7,0,1,0,0,3,13.6
harklma01,Maurice Harkless,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,1922,5,6,1,2,3,4,0,5,1,1,3,2,3,13.5
millspa01,Paul Millsap,ATLANTA HAWKS,AWAY,BROOKLYN NETS,WIN,1726,6,14,0,1,2,4,3,5,4,1,3,1,3,13.1
denglu01,Luol Deng,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1793,5,10,1,2,3,4,4,2,0,1,0,0,0,13.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,1876,7,21,1,6,5,6,3,5,6,0,1,2,3,13.0
hawessp01,Spencer Hawes,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1489,7,10,2,4,0,0,0,5,4,0,0,1,6,12.7
harrito02,Tobias Harris,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,2373,7,16,2,6,2,2,0,3,2,1,2,1,2,12.5
aminual01,Al-Farouq Aminu,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,1753,3,6,1,2,1,2,2,13,4,0,3,2,1,12.4
horfoal01,Al Horford,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,2078,5,11,2,4,2,2,2,7,4,1,0,3,1,12.2
goberru01,Rudy Gobert,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,2186,5,7,0,0,1,1,4,10,1,3,1,5,3,12.1
lopezro01,Robin Lopez,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,2014,5,10,0,0,4,5,5,1,1,1,1,2,2,12.0
bogdabo02,Bojan Bogdanović,BROOKLYN NETS,HOME,ATLANTA HAWKS,LOSS,1555,5,10,3,5,3,3,0,6,4,1,0,4,2,11.8
hoodro01,Rodney Hood,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,2114,7,15,4,10,0,0,1,4,3,2,0,3,4,11.7
thomptr01,Tristan Thompson,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,2081,5,8,0,0,2,5,6,6,1,0,0,1,3,11.7
koufoko01,Kosta Koufos,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,1317,5,7,0,0,2,2,1,7,0,0,1,1,0,11.6
portibo01,Bobby Portis,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1069,5,8,3,4,0,0,2,5,0,1,0,1,2,11.5
breweco01,Corey Brewer,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,1554,7,10,1,2,0,0,0,5,0,1,0,1,3,11.1
iguodan01,Andre Iguodala,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1717,4,6,1,2,0,0,1,4,4,0,0,0,0,11.1
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,2340,5,18,2,8,8,8,2,2,4,1,0,3,3,11.0
leeda02,David Lee,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,LOSS,1536,5,6,0,0,0,0,4,3,1,0,1,2,0,10.9
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,LOSS,1952,7,15,0,1,0,0,0,3,7,1,0,2,1,10.7
anderry01,Ryan Anderson,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,2150,5,12,3,7,0,0,2,0,1,2,0,0,1,10.3
porteot01,Otto Porter,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,2020,5,10,1,4,0,0,0,2,2,2,1,0,1,10.3
monrogr01,Greg Monroe,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,WIN,1685,7,13,0,0,0,0,4,5,4,0,0,3,4,10.2
rondora01,Rajon Rondo,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1636,6,13,0,3,0,0,0,4,6,3,0,2,4,10.1
