team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,45,83,9,27,13,21,7,34,23,5,9,15,19
CHICAGO BULLS,240,42,82,5,17,15,23,8,27,20,9,4,16,18
WASHINGTON WIZARDS,240,40,86,9,27,22,26,13,33,28,8,5,14,19
CHARLOTTE HORNETS,240,40,96,14,41,18,20,18,34,24,7,8,12,18
DENVER NUGGETS,240,33,87,12,33,27,35,14,32,21,9,3,17,22
GOLDEN STATE WARRIORS,240,45,84,18,35,14,21,7,36,32,11,10,17,28
PHILADELPHIA 76ERS,240,35,95,3,26,18,23,22,37,20,9,4,18,17
HOUSTON ROCKETS,240,42,85,13,41,10,15,7,36,22,13,0,17,18
OKLAHOMA CITY THUNDER,240,41,102,11,44,17,26,14,38,20,3,7,11,34
LOS ANGELES CLIPPERS,240,39,86,9,25,31,46,10,43,20,7,4,10,26
UTAH JAZZ,240,35,82,18,48,16,24,10,31,21,8,10,12,20
MEMPHIS GRIZZLIES,240,46,90,9,22,13,15,8,35,31,5,5,10,18
CLEVELAND CAVALIERS,240,39,81,19,43,13,16,6,22,28,6,1,15,25
MIAMI HEAT,240,45,79,12,25,24,33,14,31,31,5,5,12,15
TORONTO RAPTORS,240,53,99,13,37,8,9,7,44,31,10,12,16,14
NEW ORLEANS PELICANS,240,43,105,10,39,8,13,14,37,28,11,0,17,12
DALLAS MAVERICKS,240,42,89,10,34,12,16,10,32,22,6,3,14,15
ORLANDO MAGIC,240,42,87,14,29,13,18,11,37,26,9,5,14,18
