,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
10,Duncan Robinson,SG,MIA@BOS,MIA,34.95,$6991,$8500,-$1509,20.64, , ,0.7678299176219829,0.0
13,Andre Iguodala,SG,MIA@BOS,MIA,19.55,$3911,$6500,-$2589,16.43, , ,0.5494975467696227,0.0
21,Derrick Jones,SF,MIA@BOS,MIA,19.57,$3915,$6000,-$2085,19.16, , ,0.0,0.0
23,KZ Okpala,SF,MIA@BOS,MIA,14.17,$2833,$6000,-$3167,4.5, , ,0.0,0.0
16,Kendrick Nunn,PG,MIA@BOS,MIA,17.98,$3595,$6500,-$2905,24.86, , ,0.0,0.2263291963921517
19,Gabe Vincent,PG,MIA@BOS,MIA,15.4,$3080,$6000,-$2920,5.67,GTD,Knee,0.0,0.0
11,Daniel Theis,PF,MIA@BOS,BOS,21.82,$4364,$8000,-$3636,24.43, , ,0.0,0.0
25,Grant Williams,PF,MIA@BOS,BOS,13.0,$2600,$6000,-$3400,10.15, , ,0.0,0.0
27,Meyers Leonard,C,MIA@BOS,MIA,31.81,$6362,$6000,$362,14.74, , ,0.0,0.0
