slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
thomais02,Isaiah Thomas,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,2099,10,21,4,8,11,13,3,2,4,0,1,3,3,25.5
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2387,14,27,1,5,7,9,1,7,3,2,0,3,2,25.0
linje01,Jeremy Lin,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1873,11,20,5,9,5,6,0,5,3,2,1,2,5,24.3
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,1955,6,11,5,9,1,2,1,3,7,6,2,1,3,24.0
millspa01,Paul Millsap,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1767,8,15,1,3,9,12,4,8,4,2,0,3,2,23.7
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2336,8,16,1,3,7,7,6,10,4,1,1,3,4,23.1
paytoel01,Elfrid Payton,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,1959,8,14,1,2,5,6,1,4,11,1,1,3,2,22.5
crabbal01,Allen Crabbe,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1904,8,12,8,10,1,1,0,5,3,1,0,1,4,21.8
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2117,7,14,0,1,11,13,2,5,6,0,1,3,2,21.2
georgpa01,Paul George,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2083,9,14,2,6,3,4,1,9,1,5,0,4,3,20.3
walljo01,John Wall,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,1895,9,15,4,5,2,6,0,1,8,1,1,2,3,19.9
mirotni01,Nikola Mirotić,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,1523,8,11,6,8,0,0,1,7,2,0,1,2,2,19.6
butleji01,Jimmy Butler,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,2229,5,12,0,1,9,9,0,10,10,2,0,6,0,18.6
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,2173,7,16,4,9,7,7,0,3,1,2,1,2,1,18.5
gordoaa01,Aaron Gordon,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,1959,9,15,0,3,3,4,2,4,2,3,0,1,4,18.1
crowdja01,Jae Crowder,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,2159,9,14,4,7,2,4,1,3,1,1,0,1,4,17.7
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,2028,9,18,0,1,0,0,0,12,5,1,0,0,2,16.3
grantje02,Jerian Grant,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,1839,5,10,1,4,4,4,0,8,5,2,0,1,2,16.1
leverca01,Caris LeVert,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1609,7,12,2,4,4,4,0,4,1,0,0,0,1,15.9
hardati02,Tim Hardaway,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,2399,10,17,2,3,1,3,1,4,5,1,0,3,5,15.7
princta02,Taurean Prince,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,2458,7,13,2,3,4,4,2,5,4,0,0,3,3,15.2
leeco01,Courtney Lee,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1870,5,12,1,4,0,0,3,6,3,5,0,1,0,14.6
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2195,7,21,1,9,7,7,0,9,8,1,0,4,2,14.6
gortama01,Marcin Gortat,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,1792,7,7,0,0,2,3,0,3,1,0,0,0,2,14.3
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2325,8,19,1,3,2,2,0,7,5,1,1,2,0,14.2
anthoca01,Carmelo Anthony,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1867,7,19,2,5,7,9,1,5,4,0,0,1,4,14.1
youngth01,Thaddeus Young,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2126,6,13,0,1,0,0,4,7,3,1,0,0,1,12.9
luwawti01,Timothé Luwawu-Cabarrot,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,2059,6,15,1,7,5,5,1,2,3,2,0,1,4,12.7
teletmi01,Mirza Teletović,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,1599,5,8,5,8,0,0,0,3,0,1,1,1,1,12.6
teaguje01,Jeff Teague,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1726,5,12,0,4,5,6,0,2,7,0,0,1,1,12.3
meeksjo01,Jodie Meeks,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,1836,7,12,4,7,2,2,0,2,0,0,0,2,2,12.2
oubreke01,Kelly Oubre,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,1700,5,8,1,3,2,2,3,2,2,0,2,2,2,12.1
schrode01,Dennis Schröder,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,2005,7,14,3,5,1,1,0,4,5,0,0,2,4,12.1
portibo01,Bobby Portis,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,1246,6,8,0,1,0,0,2,9,0,0,0,1,1,11.5
anderju01,Justin Anderson,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,2002,6,11,2,5,3,4,0,3,0,1,0,1,2,11.4
hezonma01,Mario Hezonja,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,1311,3,4,1,1,4,4,1,3,1,0,3,2,2,11.0
dinwisp01,Spencer Dinwiddie,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1463,4,6,2,2,1,2,1,2,3,2,1,2,3,10.9
holidju01,Justin Holiday,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1977,7,12,2,4,0,0,0,4,1,0,0,1,1,10.9
vonleno01,Noah Vonleh,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1376,2,3,0,0,5,5,3,4,1,0,2,1,3,10.9
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2109,8,19,2,4,0,0,1,1,5,1,0,2,2,10.6
stausni01,Nik Stauskas,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,1479,4,10,2,6,3,4,0,3,4,1,0,1,1,10.5
vujacsa01,Sasha Vujačić,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1250,4,9,2,2,0,1,1,3,3,2,0,0,1,10.2
aminual01,Al-Farouq Aminu,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2381,4,11,3,7,4,7,0,7,0,2,1,2,1,10.1
lauvejo01,Joffrey Lauvergne,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,870,6,10,0,1,2,2,1,1,1,1,0,2,0,10.1
whiteis01,Isaiah Whitehead,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1537,3,7,1,4,3,3,1,2,3,1,2,2,1,9.7
holmeri01,Richaun Holmes,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,1847,4,11,1,4,1,1,3,7,2,2,1,2,2,9.4
turneev01,Evan Turner,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1732,3,6,0,0,4,6,0,7,2,1,1,1,3,9.2
serapke01,Kevin Séraphin,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1354,4,8,0,0,3,3,2,5,1,0,1,2,1,8.9
bazemke01,Kent Bazemore,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1161,4,8,1,2,3,4,0,3,2,3,0,2,6,8.5
turnemy01,Myles Turner,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1526,3,8,0,0,4,5,1,5,1,1,1,0,4,8.2
mccontj01,T.J. McConnell,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,1996,4,12,0,3,1,1,2,4,8,3,0,5,1,8.0
stephla01,Lance Stephenson,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1388,3,6,1,2,2,2,0,1,5,1,0,3,0,7.8
saricda01,Dario Šarić,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,1329,3,8,1,3,2,4,1,9,1,1,1,2,0,7.6
ellismo01,Monta Ellis,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1449,3,6,1,4,1,4,1,0,1,4,1,2,1,7.5
bradlav01,Avery Bradley,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,2110,6,19,1,8,4,5,1,3,1,2,0,1,4,7.4
bakerro01,Ron Baker,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1630,5,9,0,3,2,2,1,1,2,0,0,2,2,7.3
brookaa01,Aaron Brooks,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1154,3,5,2,2,2,2,0,2,1,0,0,2,0,7.0
rosste01,Terrence Ross,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,1486,2,6,1,4,0,0,0,2,4,2,0,0,0,7.0
georgma01,Marcus Georges-Hunt,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,1216,2,4,1,1,3,4,1,6,0,1,0,1,3,6.9
porteot01,Otto Porter,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,1349,2,7,1,3,2,2,5,4,0,0,0,0,2,6.8
oquinky01,Kyle O'Quinn,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1042,2,4,0,0,3,4,2,4,1,0,2,1,4,6.7
holliro01,Rondae Hollis-Jefferson,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1499,3,8,0,0,0,0,1,4,4,1,0,1,0,6.3
terryja01,Jason Terry,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,1345,2,3,0,0,0,0,0,0,4,1,0,0,1,6.1
hernawi01,Willy Hernangómez,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1838,5,15,0,0,3,3,5,3,1,0,0,2,4,6.0
ilyaser01,Ersan İlyasova,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1592,2,8,1,3,2,2,3,4,4,0,1,1,5,6.0
lopezro01,Robin Lopez,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,1899,4,13,0,0,1,2,3,4,2,1,3,3,1,5.5
hamilju01,Justin Hamilton,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1007,4,9,1,3,1,2,1,2,0,1,1,2,2,5.1
howardw01,Dwight Howard,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1284,3,5,0,0,4,8,1,7,1,0,0,3,4,5.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2023,4,10,1,2,1,1,0,3,4,2,0,3,6,4.9
