team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,48,88,19,42,14,18,10,27,30,12,7,13,17
ATLANTA HAWKS,240,46,86,14,33,14,19,10,26,26,10,3,18,18
LOS ANGELES CLIPPERS,240,40,84,12,30,31,40,6,43,28,6,6,17,27
BOSTON CELTICS,240,39,92,9,26,25,31,8,37,21,9,3,12,29
WASHINGTON WIZARDS,240,55,95,12,27,12,14,6,33,38,6,6,13,23
CHICAGO BULLS,240,49,97,6,23,21,28,14,31,28,7,5,11,15
OKLAHOMA CITY THUNDER,240,40,89,13,34,24,30,12,41,20,7,5,19,24
HOUSTON ROCKETS,240,37,86,16,45,22,30,7,32,18,10,7,12,26
CLEVELAND CAVALIERS,240,35,79,16,36,4,9,5,25,23,3,2,12,13
INDIANA PACERS,240,45,84,9,26,6,10,6,37,31,8,5,9,13
NEW ORLEANS PELICANS,240,34,86,6,33,16,27,17,35,25,6,5,15,22
MEMPHIS GRIZZLIES,240,38,88,8,29,15,18,10,35,27,6,2,10,24
ORLANDO MAGIC,240,44,94,10,27,5,6,9,48,28,5,8,12,20
MILWAUKEE BUCKS,240,31,95,6,35,15,18,12,39,18,5,8,10,16
TORONTO RAPTORS,240,33,86,14,35,24,29,10,37,27,8,5,12,15
NEW YORK KNICKS,240,39,94,10,25,11,19,15,42,22,9,4,14,26
SAN ANTONIO SPURS,240,40,89,7,22,18,20,5,31,24,7,3,9,17
UTAH JAZZ,240,47,90,16,41,15,20,9,43,29,7,3,11,17
