,Name,Position,Game,Team,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position,Injury Indicator,Injury Details
0,Luka Doncic,SF,SA@DAL,DAL,37.43,7.3,4.93,7.48,8.42,6.82,0.22,1.66,3.99,30.0, , 
1,Bradley Beal,SG,WAS@MEM,WAS,36.32,5.49,1.1,6.95,4.7,3.11,0.62,1.24,2.51,12.0, , 
2,Russell Westbrook,PG,WAS@MEM,WAS,35.89,4.91,1.83,3.3,7.49,6.28,0.35,1.25,2.79,20.0, , 
3,DeMar DeRozan,SG,SA@DAL,SA,35.54,5.72,0.23,4.74,6.37,5.07,0.14,1.52,2.87,1.0, , 
4,Dejounte Murray,PG,SA@DAL,SA,32.23,3.68,0.29,1.41,6.18,3.75,0.34,1.44,2.26,22.0, , 
5,Kristaps Porzingis,PF,SA@DAL,DAL,34.45,4.19,3.09,2.45,9.54,2.07,0.89,0.9,2.14,6.0, , 
6,Ja Morant,PG,WAS@MEM,MEM,37.06,4.97,2.78,5.22,2.59,5.45,0.24,1.46,2.57,28.0, , 
7,Jonas Valanciunas,C,WAS@MEM,MEM,27.45,4.31,0.0,1.4,11.29,1.87,0.76,0.67,2.27,29.0, , 
8,Jakob Poeltl,C,SA@DAL,SA,21.82,2.35,0.0,0.0,8.7,1.47,1.02,0.88,1.46,9.0, , 
9,Kyle Anderson,SF,WAS@MEM,MEM,25.3,2.99,0.15,2.0,4.58,2.37,0.43,1.07,1.06,18.0, , 
10,Brandon Clarke,PF,WAS@MEM,MEM,28.13,3.15,0.0,1.76,5.18,1.93,0.75,1.24,1.5,18.0, , 
11,Thomas Bryant,C,WAS@MEM,WAS,7.64,1.06,0.0,0.52,2.13,0.55,0.33,0.15,0.41,11.0,O,Knee
12,De'Anthony Melton,SG,WAS@MEM,MEM,15.69,1.8,1.61,1.27,2.74,2.17,0.21,0.8,0.76,28.0, , 
13,Keldon Johnson,SF,SA@DAL,SA,23.03,3.23,0.85,2.72,5.74,1.72,0.29,0.94,1.72,1.0, , 
14,Derrick White,PG,SA@DAL,SA,25.7,2.63,3.63,2.64,1.66,2.68,0.08,1.06,1.2,14.0,GTD,Covid-19
15,Dillon Brooks,SG,WAS@MEM,MEM,33.42,3.73,1.03,3.92,2.48,2.33,0.95,1.2,1.88,13.0, , 
16,Jaren Jackson,PF,WAS@MEM,MEM,27.67,2.77,1.61,2.33,5.45,2.19,0.95,0.37,1.64,29.0,GTD,Knee
17,LaMarcus Aldridge,PF,SA@DAL,SA,16.79,2.64,0.12,1.39,3.75,1.66,0.6,0.6,1.52,9.0,GTD,Illness
18,Jalen Brunson,PG,SA@DAL,DAL,32.35,3.13,0.18,1.84,5.61,2.8,0.16,1.19,1.4,30.0, , 
19,Lonnie Walker,SG,SA@DAL,SA,23.7,1.9,2.21,1.45,3.07,1.69,0.44,0.71,1.13,14.0, , 
20,Josh Richardson,SF,SA@DAL,DAL,34.12,3.23,1.03,3.68,3.73,2.85,0.1,1.34,1.43,4.0, , 
21,Davis Bertans,PF,WAS@MEM,WAS,27.37,0.95,1.74,2.18,1.87,0.42,0.14,0.63,0.12,27.0, , 
22,Rudy Gay,SF,SA@DAL,SA,22.55,2.06,0.82,1.12,3.28,1.18,0.3,0.6,1.26,24.0,GTD,Covid-19
23,Rui Hachimura,SF,WAS@MEM,WAS,26.89,3.06,0.65,2.35,5.54,1.73,0.43,0.84,1.52,27.0, , 
24,Maxi Kleber,PF,SA@DAL,DAL,29.33,1.52,0.77,0.0,5.85,1.42,0.25,0.64,0.83,15.0, , 
25,Tyus Jones,PG,WAS@MEM,MEM,16.0,2.05,0.9,1.18,1.81,2.88,0.05,0.88,0.66,28.0, , 
26,Tim Hardaway,SG,SA@DAL,DAL,30.42,2.65,2.03,2.93,3.39,1.33,0.22,0.97,1.11,4.0, , 
27,Justise Winslow,SF,WAS@MEM,MEM,23.39,3.04,0.25,1.62,5.49,2.42,0.58,0.64,1.77,20.0, , 
28,Trey Lyles,PF,SA@DAL,SA,25.16,1.61,0.88,0.22,5.08,0.84,0.19,0.65,0.79,24.0, , 
29,Dorian Finney-Smith,SF,SA@DAL,DAL,30.78,1.55,0.27,0.33,4.96,1.16,0.12,0.68,0.7,6.0, , 
30,Alex Len,C,WAS@MEM,WAS,21.36,1.93,0.16,1.15,5.36,1.54,0.81,0.63,0.93,11.0, , 
31,Grayson Allen,SG,WAS@MEM,MEM,19.74,1.89,0.4,1.99,2.32,1.4,0.0,1.0,0.7,13.0,GTD,Concussion
32,Raul Neto,PG,WAS@MEM,WAS,20.34,1.8,0.7,1.32,2.74,1.7,0.25,0.97,0.81,20.0, , 
33,Xavier Tillman,PF,WAS@MEM,MEM,13.2,1.44,0.11,0.37,3.84,0.98,0.45,0.37,0.72, , , 
34,Robin Lopez,C,WAS@MEM,WAS,21.25,1.9,0.03,1.25,4.15,1.11,0.68,0.31,1.1,11.0, , 
35,Trey Burke,PG,SA@DAL,DAL,19.58,1.29,0.87,0.75,2.05,1.55,0.07,0.74,0.77,17.0, , 
36,James Johnson,PF,SA@DAL,DAL,15.3,0.94,0.18,0.42,1.85,1.09,0.14,0.54,0.68,6.0, , 
37,Deni Avdija,SF,WAS@MEM,WAS,23.73,1.48,0.32,0.39,5.59,0.99,0.32,0.68,0.56, , , 
38,Gorgui Dieng,C,WAS@MEM,MEM,10.97,1.05,0.77,0.4,3.06,0.61,0.23,0.25,0.53,29.0, , 
39,Patty Mills,SG,SA@DAL,SA,23.22,1.56,2.59,1.66,1.9,1.47,0.03,0.66,0.55,22.0, , 
40,Ish Smith,PG,WAS@MEM,WAS,12.64,1.29,0.03,0.17,2.3,2.35,0.0,0.66,0.73,20.0,O,Quadriceps
41,Moritz Wagner,PF,WAS@MEM,WAS,19.77,1.54,1.23,1.54,2.62,1.35,0.42,0.8,0.67,11.0, , 
42,Willie Cauley-Stein,C,SA@DAL,DAL,5.72,0.46,0.0,0.11,1.39,0.36,0.11,0.14,0.28,15.0, , 
43,Keita Bates-Diop,SF,SA@DAL,SA,16.88,0.78,0.56,0.45,1.21,0.68,0.06,0.47,0.45,1.0, , 
44,Garrison Mathews,SF,WAS@MEM,WAS,16.65,0.81,0.17,1.56,1.07,0.29,0.09,0.42,0.08,12.0, , 
45,Jerome Robinson,PG,WAS@MEM,WAS,8.35,0.63,0.19,0.51,0.94,0.61,0.08,0.28,0.26,12.0, , 
46,Boban Marjanovic,C,SA@DAL,DAL,7.16,0.62,0.0,0.04,1.53,0.16,0.13,0.0,0.26,15.0, , 
47,Quinndary Weatherspoon,SG,SA@DAL,SA,9.12,0.29,0.0,0.15,0.58,0.57,0.05,0.05,0.26,14.0, , 
48,Anthony Gill,PF,WAS@MEM,WAS,5.11,0.12,0.02,0.04,0.58,0.17,0.06,0.11,0.07, , , 
49,John Konchar,SG,WAS@MEM,MEM,11.36,0.82,0.04,0.34,2.16,0.42,0.23,0.34,0.32,13.0, , 
50,Tre Jones,PG,SA@DAL,SA,3.71,0.15,0.0,0.13,0.21,0.11,0.03,0.0,0.05, , , 
51,Wes Iwundu,SG,SA@DAL,DAL,3.83,0.18,0.01,0.04,0.49,0.13,0.03,0.04,0.07,9.0, , 
52,Tyrell Terry,PG,SA@DAL,DAL,5.11,0.17,0.01,0.05,0.11,0.17,0.02,0.05,0.11, , , 
53,Devin Vassell,SG,SA@DAL,SA,8.38,0.5,0.14,0.11,0.87,0.56,0.07,0.28,0.44, ,GTD,Covid-19
54,Josh Green,SG,SA@DAL,DAL,6.53,0.32,0.04,0.07,0.81,0.19,0.03,0.04,0.08, , , 
55,Luka Samanic,PF,SA@DAL,SA,15.15,0.49,0.49,0.08,1.34,0.28,0.16,0.1,0.26,24.0, , 
56,Desmond Bane,SG,WAS@MEM,MEM,21.31,2.23,0.93,2.06,2.85,1.91,0.4,0.71,0.86, , , 
57,Tyler Bey,SF,SA@DAL,DAL,6.04,0.3,0.01,0.16,0.39,0.12,0.04,0.06,0.13, , , 
58,Troy Brown,SF,WAS@MEM,WAS,4.78,0.3,0.06,0.23,0.9,0.19,0.06,0.09,0.13,12.0, , 
59,Dwight Powell,C,SA@DAL,DAL,6.67,0.64,0.03,0.32,1.6,0.34,0.03,0.16,0.3,15.0, , 
60,Cassius Winston,PG,WAS@MEM,WAS,2.94,0.11,0.01,0.09,0.3,0.19,0.03,0.07,0.07, , , 
61,Nate Hinton,SG,SA@DAL,DAL,6.2,0.29,0.28,0.26,0.29,0.23,0.05,0.05,0.2, ,GTD,Ankle
62,Sean McDermott,SF,WAS@MEM,MEM,21.85,1.16,0.76,1.43,2.32,0.8,0.16,0.39,0.46, , , 
63,Killian Tillie,PF,WAS@MEM,MEM,11.16,0.52,0.04,0.16,1.34,0.63,0.22,0.24,0.47, , , 
64,Drew Eubanks,C,SA@DAL,SA,13.37,1.09,0.05,0.37,2.99,0.82,0.4,0.27,0.79,24.0, , 
65,Isaac Bonga,PF,WAS@MEM,WAS,7.09,0.16,0.12,0.14,0.6,0.24,0.09,0.09,0.04,19.0, , 
