slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
powelno01,Norman Powell,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,WIN,2284,13,21,4,8,7,7,0,3,2,3,0,2,5,28.8
lowryky01,Kyle Lowry,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,WIN,2007,6,14,4,12,10,10,0,5,10,2,0,3,4,24.5
harrito02,Tobias Harris,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,2190,11,22,4,6,2,3,4,10,3,0,1,2,1,22.8
westbru01,Russell Westbrook,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1956,11,27,0,2,7,11,7,8,5,1,0,2,2,21.9
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1710,8,15,4,7,5,9,1,5,5,2,1,2,3,21.3
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,2180,9,17,0,4,5,6,0,3,7,1,1,1,2,20.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,LOSS,1634,6,16,3,12,8,8,0,6,7,0,0,1,1,19.5
grahade01,Devonte' Graham,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,LOSS,2047,8,15,3,9,5,5,0,1,7,1,0,3,2,19.1
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1227,6,6,0,0,5,6,1,11,0,0,1,0,1,19.1
chrisma01,Marquese Chriss,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,LOSS,1796,6,14,0,1,5,6,5,7,4,1,2,1,2,18.2
horfoal01,Al Horford,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,2181,7,14,2,6,2,2,3,5,6,0,0,1,1,17.4
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1325,5,9,0,1,9,10,0,10,0,0,2,2,2,15.9
murraja01,Jamal Murray,DENVER NUGGETS,AWAY,CHARLOTTE HORNETS,WIN,2086,6,14,2,6,4,4,1,2,6,1,0,1,1,15.7
miltosh01,Shake Milton,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,1633,8,14,3,5,1,1,0,3,3,1,1,1,4,15.5
anunoog01,OG Anunoby,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,WIN,2258,5,7,3,4,1,2,2,2,0,3,0,0,2,14.9
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,LOSS,2245,9,20,3,9,0,1,5,5,2,0,2,2,3,14.8
