team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,46,94,14,39,8,10,11,40,29,6,5,17,19
BOSTON CELTICS,240,39,93,12,39,15,19,12,25,24,12,5,12,16
DETROIT PISTONS,240,42,94,18,44,17,21,19,28,24,6,4,11,21
CLEVELAND CAVALIERS,240,46,79,11,22,23,27,5,31,22,6,3,8,16
NEW ORLEANS PELICANS,265,49,104,12,39,19,22,14,41,34,7,6,17,28
DALLAS MAVERICKS,265,46,105,9,35,24,29,14,36,27,9,6,15,26
MIAMI HEAT,240,46,97,9,29,15,16,9,35,30,13,4,8,23
OKLAHOMA CITY THUNDER,240,38,87,10,37,21,27,13,36,21,4,8,19,17
CHICAGO BULLS,240,46,89,4,16,20,24,11,38,21,9,4,13,22
PHOENIX SUNS,240,39,84,7,26,16,26,9,29,24,5,5,12,22
INDIANA PACERS,240,35,83,10,24,18,22,12,27,25,12,3,13,21
PORTLAND TRAIL BLAZERS,240,37,79,13,32,19,21,8,30,24,8,9,17,23
GOLDEN STATE WARRIORS,240,41,88,13,39,10,12,7,36,27,7,6,13,20
SAN ANTONIO SPURS,240,41,88,10,26,19,22,10,36,20,7,5,10,12
NEW YORK KNICKS,240,28,85,8,35,28,32,7,29,16,8,4,13,18
TORONTO RAPTORS,240,49,88,17,40,13,22,5,45,36,5,6,14,22
UTAH JAZZ,240,49,91,14,37,4,6,7,34,35,10,8,17,21
WASHINGTON WIZARDS,240,34,81,8,27,19,22,5,29,20,9,2,16,16
