team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,49,91,10,26,15,19,6,26,34,11,0,6,18
CLEVELAND CAVALIERS,240,41,76,13,29,20,23,8,27,24,4,3,16,20
NEW YORK KNICKS,240,35,88,6,24,19,21,9,30,13,11,1,16,12
GOLDEN STATE WARRIORS,240,49,96,14,45,10,12,15,34,36,9,10,15,14
CHARLOTTE HORNETS,240,36,90,12,33,25,29,10,33,20,5,5,11,20
LOS ANGELES CLIPPERS,240,48,93,14,30,18,21,7,38,28,6,11,10,24
DENVER NUGGETS,240,41,87,9,27,12,17,15,35,32,2,2,16,20
MIAMI HEAT,240,38,83,8,31,15,25,9,29,24,9,8,6,18
MINNESOTA TIMBERWOLVES,240,38,90,11,31,32,40,15,27,25,9,4,10,23
OKLAHOMA CITY THUNDER,240,43,85,12,30,19,26,10,33,22,4,5,16,30
WASHINGTON WIZARDS,240,42,84,14,32,17,21,6,28,26,14,3,16,18
PHILADELPHIA 76ERS,240,49,88,17,33,17,25,13,36,39,10,2,19,20
SACRAMENTO KINGS,240,38,80,15,29,20,29,12,31,26,11,5,25,19
PHOENIX SUNS,240,45,88,10,25,15,19,9,28,31,18,7,19,25
ATLANTA HAWKS,240,40,87,10,27,11,16,13,37,22,12,2,26,22
TORONTO RAPTORS,240,37,80,10,32,20,27,6,33,26,18,7,18,20
