Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
54845-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,54.7074065,27,11300,OKC@MIL,MIL,OKC,,,
54845-55062,C,Nikola,Nikola Jokic,Jokic,56.80000087,28,10600,DEN@CLE,DEN,CLE,,,
54845-49111,C,Joel,Joel Embiid,Embiid,51.39565111,23,10300,CHI@PHI,PHI,CHI,,,
54845-9524,PG,Stephen,Stephen Curry,Curry,46.05172414,29,10000,GS@ORL,GS,ORL,,,
54845-14513,SF,Kawhi,Kawhi Leonard,Leonard,46.63043478,23,9800,UTA@LAC,LAC,UTA,GTD,Lower leg,
54845-14514,C,Nikola,Nikola Vucevic,Vucevic,45.76551556,29,9700,GS@ORL,ORL,GS,,,
54845-66115,PG,Ben,Ben Simmons,Simmons,41.31600098,25,9600,CHI@PHI,PHI,CHI,GTD,Illness,
54845-40783,SG,Zach,Zach LaVine,LaVine,43.6962981,27,9500,CHI@PHI,CHI,PHI,,,
54845-80808,PF,Jayson,Jayson Tatum,Tatum,43.79130488,23,9400,ATL@BOS,BOS,ATL,,,
54845-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,45.33333333,9,9300,TOR@MIN,MIN,TOR,,,
54845-84671,PG,Trae,Trae Young,Young,43.82692308,26,9200,ATL@BOS,ATL,BOS,,,
54845-12341,SG,Paul,Paul George,George,41.31499939,20,8800,UTA@LAC,LAC,UTA,GTD,Toe,
54845-60021,SF,Pascal,Pascal Siakam,Siakam,39.73199951,25,8700,TOR@MIN,TOR,MIN,,,
54845-110310,PF,Zion,Zion Williamson,Williamson,40.7074065,27,8700,PHO@NO,NO,PHO,,,
54845-40203,C,Rudy,Rudy Gobert,Gobert,39.98275862,29,8400,UTA@LAC,UTA,LAC,,,
54845-67026,SF,Jaylen,Jaylen Brown,Brown,40.35769419,26,8400,ATL@BOS,BOS,ATL,GTD,Knee,
54845-84680,SG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,40.28636308,22,8300,OKC@MIL,OKC,MIL,,,
54845-66048,SF,Brandon,Brandon Ingram,Ingram,39.48214286,28,8200,PHO@NO,NO,PHO,,,
54845-66113,SG,Donovan,Donovan Mitchell,Mitchell,37.89999955,27,8200,UTA@LAC,UTA,LAC,,,
54845-14518,PF,Tobias,Tobias Harris,Harris,37.6807697,26,8200,CHI@PHI,PHI,CHI,,,
54845-9663,PG,Jrue,Jrue Holiday,Holiday,36.2173913,23,8200,OKC@MIL,MIL,OKC,GTD,Covid-19,
54845-24247,SG,Fred,Fred VanVleet,VanVleet,40.46785627,28,8000,TOR@MIN,TOR,MIN,,,
54845-55059,C,Clint,Clint Capela,Capela,39.88,25,8000,ATL@BOS,ATL,BOS,,,
54845-9623,PG,Chris,Chris Paul,Paul,37.26538555,26,7800,PHO@NO,PHO,NO,,,
54845-58460,SG,Devin,Devin Booker,Booker,35.41304348,23,7700,PHO@NO,PHO,NO,,,
54845-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.65789474,19,7700,DET@MEM,MEM,DET,,,
54845-23831,PF,Jerami,Jerami Grant,Grant,38.72142683,28,7600,DET@MEM,DET,MEM,,,
54845-9535,PG,Kyle,Kyle Lowry,Lowry,34.94,25,7600,TOR@MIN,TOR,MIN,O,Ankle,
54845-15860,PF,Draymond,Draymond Green,Green,27.77083333,24,7600,GS@ORL,GS,ORL,GTD,Ankle,
54845-66108,PG,Jamal,Jamal Murray,Murray,33.28461632,26,7500,DEN@CLE,DEN,CLE,,,
54845-80821,C,Jarrett,Jarrett Allen,Allen,30.31785801,28,7400,DEN@CLE,CLE,DEN,,,
54845-16261,SF,Khris,Khris Middleton,Middleton,37.03928484,28,7300,OKC@MIL,MIL,OKC,,,
