team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,47,87,20,37,15,17,9,42,27,5,8,9,24
CLEVELAND CAVALIERS,240,27,79,13,34,26,32,9,24,15,7,1,12,19
MEMPHIS GRIZZLIES,240,39,78,14,34,19,24,4,46,30,4,6,15,30
DALLAS MAVERICKS,240,26,85,7,40,22,33,13,30,17,9,5,10,23
NEW ORLEANS PELICANS,240,45,92,12,30,18,26,12,35,28,10,4,21,25
DENVER NUGGETS,240,39,92,9,32,25,29,10,34,25,13,7,16,22
ORLANDO MAGIC,240,46,91,10,28,15,19,11,30,28,7,5,9,20
INDIANA PACERS,240,42,77,7,27,21,24,3,33,31,5,6,11,17
BROOKLYN NETS,240,31,88,9,42,17,22,7,29,20,6,6,11,14
MIAMI HEAT,240,44,90,14,34,15,22,11,46,36,5,9,11,19
GOLDEN STATE WARRIORS,240,41,81,14,33,24,34,4,35,23,14,7,13,22
PHILADELPHIA 76ERS,240,39,87,14,31,25,29,11,35,26,6,3,21,25
LOS ANGELES LAKERS,240,43,89,8,25,15,23,10,30,27,3,3,11,24
PHOENIX SUNS,240,39,76,6,26,34,40,9,32,21,7,8,10,22
OKLAHOMA CITY THUNDER,240,40,88,7,29,15,24,11,34,17,7,2,13,19
SAN ANTONIO SPURS,240,45,91,8,19,18,25,11,38,15,8,6,11,19
MILWAUKEE BUCKS,240,37,96,15,39,22,30,17,36,20,6,10,15,22
UTAH JAZZ,240,44,96,12,29,15,26,16,37,22,13,7,13,23
