slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
lavinza01,Zach LaVine,CHICAGO BULLS,HOME,SACRAMENTO KINGS,WIN,2152,15,20,3,6,5,5,0,4,3,3,0,3,3,32.1
roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,2334,12,19,8,11,4,4,0,3,4,1,0,2,4,28.6
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,2336,10,30,7,17,8,8,1,5,12,1,0,3,1,26.2
nunnke01,Kendrick Nunn,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,WIN,2390,10,14,5,6,2,2,1,4,3,2,1,1,4,25.3
baglema01,Marvin Bagley,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,LOSS,2116,10,19,1,2,5,5,5,6,2,2,0,0,1,25.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2112,16,27,2,8,3,4,3,4,3,2,0,5,5,24.5
westbru01,Russell Westbrook,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2243,11,17,0,1,5,7,2,9,13,0,0,7,4,23.3
oubreke01,Kelly Oubre,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,2208,9,19,4,9,3,5,2,4,1,2,1,0,1,20.1
bridgmi01,Mikal Bridges,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,WIN,1662,6,7,4,5,3,3,1,5,1,1,1,1,1,19.7
kanteen01,Enes Kanter,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,2029,8,12,0,0,3,5,6,7,1,1,0,0,4,19.4
payneca01,Cameron Payne,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,WIN,1531,7,10,5,7,0,0,0,2,7,1,0,2,1,18.9
bookede01,Devin Booker,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,WIN,1569,7,13,5,7,4,4,1,4,5,0,0,3,1,18.7
harremo01,Montrezl Harrell,LOS ANGELES LAKERS,HOME,MIAMI HEAT,LOSS,1411,7,12,0,1,4,4,1,9,1,2,0,1,1,17.1
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,WIN,2184,8,16,0,1,0,0,3,7,6,2,1,2,1,16.7
youngth01,Thaddeus Young,CHICAGO BULLS,HOME,SACRAMENTO KINGS,WIN,1317,8,12,0,0,2,3,0,3,4,0,2,0,2,16.7
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,WIN,2045,8,20,0,0,8,10,4,4,5,2,0,5,2,16.1
paulch01,Chris Paul,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,WIN,1349,6,9,4,5,0,0,0,2,6,0,0,1,2,15.1
leeda03,Damion Lee,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,1358,5,8,3,6,1,1,1,3,2,2,0,0,1,15.0
whiteco01,Coby White,CHICAGO BULLS,HOME,SACRAMENTO KINGS,WIN,2104,6,14,5,8,2,2,1,2,2,1,1,0,3,14.8
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,2000,8,15,2,6,1,2,1,4,4,1,0,2,1,14.6
hieldbu01,Buddy Hield,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,LOSS,2129,10,21,3,11,0,0,0,4,3,1,0,1,3,14.4
saricda01,Dario Šarić,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,WIN,1148,7,9,3,5,2,2,0,1,1,0,0,1,4,13.9
halibty01,Tyrese Haliburton,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,LOSS,1955,6,16,2,5,2,2,0,1,5,2,1,0,0,13.7
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,LOSS,2379,7,17,1,4,5,9,1,2,9,2,0,4,4,13.3
dienggo01,Gorgui Dieng,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,LOSS,1378,3,7,1,3,8,8,1,3,2,1,1,2,2,13.2
lopezro01,Robin Lopez,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1666,3,8,0,0,4,6,6,5,2,2,1,1,1,13.2
