,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
8,Duncan Robinson,SG,MIA@LAL,MIA,40.95,$8189,$9000,-$811,20.64, , ,0.7678299176219829,0.0
20,Talen Horton-Tucker,SG,MIA@LAL,LAL,10.02,$2004,$6000,-$3996,12.07, , ,0.0,0.0
23,Derrick Jones,SF,MIA@LAL,MIA,16.61,$3321,$6000,-$2679,19.16, , ,0.0,0.0
25,Dion Waiters,SF,MIA@LAL,LAL,17.1,$3420,$6000,-$2580,18.38,GTD,Groin,0.0,0.0
18,Kendrick Nunn,PG,MIA@LAL,MIA,18.15,$3631,$6500,-$2869,24.86, , ,0.0,0.2263291963921517
21,Gabe Vincent,PG,MIA@LAL,MIA,8.71,$1741,$6000,-$4259,5.67,GTD,Knee,0.0,0.0
11,Kyle Kuzma,PF,MIA@LAL,LAL,28.78,$5756,$8000,-$2244,21.32, , ,0.0,0.0
28,Kostas Antetokounmpo,PF,MIA@LAL,LAL,10.51,$2101,$6000,-$3899,2.52, , ,0.0,0.0
30,Meyers Leonard,C,MIA@LAL,MIA,26.15,$5230,$6000,-$770,14.74, , ,0.0,0.0
