team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,39,91,9,28,21,33,12,27,26,6,0,11,18
BOSTON CELTICS,240,50,88,14,32,21,24,9,39,32,7,7,13,25
ATLANTA HAWKS,240,36,99,6,35,22,25,18,34,17,8,6,19,24
BROOKLYN NETS,240,43,95,10,30,20,26,18,36,21,10,9,18,28
PHOENIX SUNS,240,36,84,7,25,15,21,7,30,22,10,8,15,34
DALLAS MAVERICKS,240,30,70,12,34,32,45,8,34,21,7,5,19,17
MILWAUKEE BUCKS,240,44,91,8,27,20,24,10,39,26,11,5,13,25
HOUSTON ROCKETS,240,32,85,18,48,27,32,14,32,19,4,7,18,18
DETROIT PISTONS,240,39,86,14,44,8,14,7,26,23,8,2,9,20
LOS ANGELES LAKERS,240,46,82,8,23,13,18,9,38,30,5,6,14,17
SAN ANTONIO SPURS,240,30,83,11,27,15,23,8,45,14,4,2,13,19
MEMPHIS GRIZZLIES,240,37,90,8,33,14,20,9,43,22,6,8,9,22
CLEVELAND CAVALIERS,240,42,88,14,30,26,30,9,22,27,7,3,13,30
NEW ORLEANS PELICANS,240,46,84,12,29,36,39,11,33,33,7,7,16,21
CHICAGO BULLS,240,43,93,9,22,17,19,10,27,22,5,3,12,18
PORTLAND TRAIL BLAZERS,240,47,83,11,26,19,21,6,37,28,6,7,16,21
ORLANDO MAGIC,240,33,83,13,33,14,20,7,34,17,6,4,11,20
UTAH JAZZ,240,41,84,12,33,12,14,4,40,24,5,3,13,20
PHILADELPHIA 76ERS,240,37,86,8,27,24,31,17,29,23,12,3,24,20
WASHINGTON WIZARDS,240,47,87,13,27,16,21,11,28,26,16,2,18,21
