slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,2128,14,24,2,8,8,8,0,4,3,0,1,3,2,27.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,1879,10,18,3,5,4,4,4,8,5,1,2,2,3,26.3
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,WIN,2201,9,19,1,3,4,8,1,16,16,2,0,4,3,25.2
arizatr01,Trevor Ariza,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,LOSS,2365,9,16,3,8,6,6,1,2,3,2,1,1,0,24.5
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2196,9,19,3,8,1,1,0,9,13,4,1,5,2,23.0
satorto01,Tomáš Satoranský,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,LOSS,2338,8,13,3,5,1,2,2,1,10,3,0,2,1,23.0
georgpa01,Paul George,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,WIN,2261,8,18,6,10,1,4,3,8,7,1,1,2,2,20.7
rondora01,Rajon Rondo,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2233,6,11,3,5,0,0,1,5,13,1,2,2,4,19.8
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1771,7,16,1,3,9,9,0,3,3,2,2,2,2,19.2
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,WIN,2143,9,12,0,0,2,2,6,6,2,1,0,4,2,18.8
paytoel01,Elfrid Payton,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1765,5,12,1,4,4,4,1,3,12,1,2,2,1,18.6
gibsota01,Taj Gibson,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,1670,4,7,0,0,6,6,6,4,1,1,1,1,2,16.7
curryse01,Seth Curry,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1794,7,13,3,7,0,0,1,5,3,2,1,1,1,16.3
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,2234,9,18,1,4,2,2,0,2,5,2,3,4,1,15.8
laymaja01,Jake Layman,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,2006,9,15,2,6,0,0,2,6,3,1,2,3,5,15.8
okafoja01,Jahlil Okafor,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1516,9,12,0,0,0,1,4,4,0,0,0,1,0,15.8
oubreke01,Kelly Oubre,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2078,6,18,1,6,5,5,3,3,7,2,3,2,5,15.8
bryanth01,Thomas Bryant,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,LOSS,1282,6,7,2,2,0,1,2,3,4,0,0,1,1,14.8
milleda01,Darius Miller,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2286,8,17,5,11,0,0,0,7,2,0,1,1,2,14.7
iguodan01,Andre Iguodala,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1507,3,3,1,1,4,6,1,1,5,1,0,0,1,14.4
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,2224,9,23,1,4,4,5,3,5,3,2,0,2,4,14.2
bayleje01,Jerryd Bayless,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,1798,6,15,3,8,1,1,0,2,8,1,0,1,0,14.1
ingrabr01,Brandon Ingram,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2169,8,14,0,2,4,6,0,6,1,2,0,2,3,13.9
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1522,8,15,4,8,0,0,0,3,2,1,0,1,3,13.8
couside01,DeMarcus Cousins,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1461,8,12,1,1,0,0,0,6,3,0,1,2,2,13.6
looneke01,Kevon Looney,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1012,3,4,0,0,2,2,3,7,1,1,0,0,1,11.9
bendedr01,Dragan Bender,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1654,6,12,3,6,2,3,1,2,0,3,0,2,3,11.7
diallch01,Cheick Diallo,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1364,7,12,0,1,2,4,1,3,0,1,1,1,1,11.5
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1428,4,13,0,0,8,8,4,5,1,0,1,2,3,11.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,LOSS,2389,8,22,1,9,5,8,3,7,3,1,0,3,5,10.9
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1643,5,8,1,4,2,2,0,2,3,1,0,1,3,10.9
bookede01,Devin Booker,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1815,9,20,2,7,7,8,0,1,3,1,0,8,2,10.8
okoboel01,Elie Okobo,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1666,4,9,3,5,1,1,1,6,1,1,0,0,2,10.7
greendr01,Draymond Green,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1988,3,6,1,2,0,0,2,13,7,0,1,3,5,9.9
