,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
18,Talen Horton-Tucker,SG,LAL@DEN,LAL,8.97,$1794,$6500,-$4706,12.07, , ,0.0,0.0
21,Troy Daniels,SG,LAL@DEN,DEN,10.24,$2047,$6000,-$3953,6.76, , ,0.0,0.0
19,Dion Waiters,SF,LAL@DEN,LAL,12.63,$2527,$6500,-$3973,18.38,GTD,Groin,0.0,0.0
12,Monte Morris,PG,LAL@DEN,DEN,16.36,$3271,$8000,-$4729,18.77, , ,0.0,0.0
25,Quinn Cook,PG,LAL@DEN,LAL,5.6,$1119,$6000,-$4881,8.36, , ,0.0,0.0
11,Jerami Grant,PF,LAL@DEN,DEN,21.63,$4327,$8500,-$4173,21.67, , ,0.0,0.0
24,Tyler Cook,PF,LAL@DEN,DEN,14.64,$2928,$6000,-$3072,3.64, , ,0.0,0.0
27,Bol Bol,C,LAL@DEN,DEN,13.04,$2607,$6000,-$3393,12.26, , ,0.0,0.0
