team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,43,100,15,40,19,24,19,31,27,11,5,17,25
BOSTON CELTICS,240,44,93,13,36,28,37,11,35,30,10,7,14,21
CLEVELAND CAVALIERS,240,40,86,15,38,21,22,6,27,20,1,0,6,20
DALLAS MAVERICKS,240,46,89,16,34,13,16,9,31,32,3,5,5,22
INDIANA PACERS,240,34,75,6,24,26,37,8,33,20,6,2,9,19
DENVER NUGGETS,240,39,82,11,38,13,20,9,30,27,6,5,10,22
PHOENIX SUNS,265,51,100,9,29,27,36,11,37,31,10,7,22,33
NEW ORLEANS PELICANS,265,47,102,15,30,27,41,18,39,34,11,4,22,30
GOLDEN STATE WARRIORS,240,39,83,15,35,17,22,8,45,25,10,6,16,22
OKLAHOMA CITY THUNDER,240,31,96,13,41,13,23,17,35,18,4,5,16,18
PORTLAND TRAIL BLAZERS,240,42,101,7,28,12,14,14,37,23,4,2,8,22
SAN ANTONIO SPURS,240,37,79,8,17,26,30,4,40,17,4,10,10,14
BROOKLYN NETS,240,33,95,12,36,20,22,8,36,20,9,5,7,24
UTAH JAZZ,240,39,91,13,36,23,31,15,50,24,3,7,15,21
MEMPHIS GRIZZLIES,240,48,90,12,33,20,26,7,33,35,5,3,8,27
WASHINGTON WIZARDS,240,41,81,17,35,36,43,9,36,26,6,7,11,21
