team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,42,81,9,24,25,25,8,31,20,4,2,10,20
CHARLOTTE HORNETS,240,43,82,14,32,25,29,9,27,25,6,2,6,21
DALLAS MAVERICKS,240,40,84,16,39,15,19,9,41,20,2,4,13,26
CLEVELAND CAVALIERS,240,34,85,4,23,26,33,11,33,20,7,2,6,22
LOS ANGELES CLIPPERS,240,40,82,10,20,21,34,11,36,22,5,4,12,24
DETROIT PISTONS,240,35,83,17,42,14,20,7,31,21,6,4,14,27
LOS ANGELES LAKERS,240,42,96,7,27,10,17,13,36,23,5,4,15,18
GOLDEN STATE WARRIORS,240,43,91,11,34,18,19,7,37,31,4,9,10,17
INDIANA PACERS,240,38,89,7,24,12,17,14,29,26,15,4,13,20
MIAMI HEAT,240,30,71,9,30,19,26,10,33,21,8,4,23,19
DENVER NUGGETS,240,42,89,13,33,10,14,15,33,29,3,7,10,16
MINNESOTA TIMBERWOLVES,240,42,89,11,34,11,16,8,33,27,6,4,8,15
BROOKLYN NETS,240,33,91,10,38,13,16,8,42,23,6,2,18,11
ORLANDO MAGIC,240,41,94,10,27,10,12,7,42,25,11,8,14,17
ATLANTA HAWKS,240,43,84,14,32,18,26,16,37,21,6,5,24,18
PHOENIX SUNS,240,45,96,12,32,10,18,10,27,31,15,5,10,23
PHILADELPHIA 76ERS,240,41,93,7,33,19,25,14,32,19,9,5,13,22
SACRAMENTO KINGS,240,42,92,11,30,20,24,12,38,22,9,2,16,19
NEW ORLEANS PELICANS,240,43,96,10,35,12,12,5,37,26,6,4,8,16
SAN ANTONIO SPURS,240,44,92,9,23,16,18,10,40,29,5,2,11,16
HOUSTON ROCKETS,240,40,87,15,39,30,37,8,40,17,15,8,14,29
UTAH JAZZ,240,31,86,11,41,25,36,14,37,19,8,9,20,21
MILWAUKEE BUCKS,240,45,91,17,39,24,24,6,40,30,10,4,11,19
WASHINGTON WIZARDS,240,43,93,10,33,19,26,12,34,28,6,6,12,19
