,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
59,Rodions Kurucs,PF,ORL@BKN,BKN,11.88,2375,4300,-1925,11.6,1932,9.05,9.27,6.27,15.0,,,0.0,0.0
60,Cameron Johnson,SF,PHO@WAS,PHO,10.43,2087,4300,-2213,10.27,1712,15.37,16.0,14.7,11.0,,,0.0,0.0
61,D.J. Augustin,PG,ORL@BKN,ORL,16.98,3395,4300,-905,19.63,3272,20.41,18.7,13.1,20.0,,,0.0,0.0
62,Dillon Brooks,SG,MEM@POR,MEM,23.59,4718,4300,418,24.22,4037,24.7,21.2,26.17,16.0,,,0.0,0.0
63,Gorgui Dieng,C,MEM@POR,MEM,24.62,4924,4300,624,23.03,3838,20.6,18.62,26.1,24.0,,,0.7411336481037255,0.0
64,Jakob Poeltl,C,SAC@SA,SA,18.28,3656,4200,-544,16.93,2822,19.45,17.96,20.67,3.0,,,0.0,0.0
65,Kyle Anderson,SF,MEM@POR,MEM,21.42,4284,4200,84,21.11,3518,17.24,22.48,24.37,29.0,,,0.0,0.0
66,Enes Kanter,C,BOS@MIL,BOS,15.99,3197,4200,-1003,15.84,2640,21.32,16.39,12.93,8.0,,,0.0,0.0
67,Harry Giles,PF,SAC@SA,SAC,25.73,5145,4200,945,27.77,4629,15.77,22.49,30.63,24.0,,,0.8366032630243845,0.0
68,Garrison Mathews,SG,PHO@WAS,WAS,17.35,3470,4100,-630,17.5,2917,8.93,9.02,4.73,27.0,GTD,Personal,0.0,0.0
69,Tyler Johnson,PG,ORL@BKN,BKN,9.78,1956,4100,-2144,9.12,1520,11.34,7.94,10.23,24.0,,,0.0,0.0
70,Tyus Jones,PG,MEM@POR,MEM,16.68,3335,4100,-765,16.66,2777,18.08,19.21,10.8,21.0,,,0.0,2.0265097513641743
71,Danuel House,SF,HOU@DAL,HOU,20.02,4005,4000,5,19.53,3255,21.45,24.07,15.57,16.0,,,0.0,1.6295647206734096
