slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
warretj01,T.J. Warren,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,2437,20,29,9,12,4,4,0,4,3,0,2,1,4,42.8
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,LOSS,2041,15,23,1,5,10,12,9,12,4,1,3,4,3,40.7
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,2102,8,16,5,9,12,15,1,13,6,1,0,4,4,28.0
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,1799,6,11,0,0,10,11,2,2,7,3,0,1,3,24.0
georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,WIN,1545,8,17,8,11,4,5,0,3,1,3,0,0,0,23.5
anunoog01,OG Anunoby,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,2003,8,9,3,3,4,4,1,3,1,2,0,0,4,22.6
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,WIN,1593,6,16,2,6,10,11,0,6,5,1,0,0,2,20.3
harrito02,Tobias Harris,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,LOSS,2192,12,29,3,8,3,3,4,4,0,1,1,0,2,19.4
paulch01,Chris Paul,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,1627,7,11,1,1,3,3,1,6,7,2,0,3,1,19.1
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,1698,7,12,0,0,8,10,3,6,6,0,0,4,3,18.5
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,1943,6,12,2,5,5,6,0,2,6,3,0,2,1,18.0
olynyke01,Kelly Olynyk,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,1421,8,11,4,6,0,0,1,4,3,1,1,2,5,17.2
holidaa01,Aaron Holiday,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,2061,5,10,1,3,4,5,0,5,10,0,0,1,2,16.3
davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,2107,2,7,1,3,9,9,1,5,3,1,3,0,3,16.1
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,WIN,1208,5,9,3,4,2,2,0,8,2,2,0,0,1,16.1
mccontj01,T.J. McConnell,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,1037,3,6,0,1,4,4,2,1,8,2,0,0,1,15.9
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,LOSS,2302,8,14,0,0,3,6,4,9,4,1,0,4,5,14.5
jamesle01,LeBron James,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,2076,7,15,2,5,4,7,1,9,5,0,1,4,1,14.3
alexani01,Nickeil Alexander-Walker,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,LOSS,720,6,7,2,3,1,2,0,1,2,2,0,0,4,14.2
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,2419,5,11,3,7,0,0,0,5,11,1,1,3,3,14.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,MIAMI HEAT,LOSS,2047,7,16,1,5,4,6,0,7,6,1,1,3,3,13.6
robindu01,Duncan Robinson,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,2011,5,9,3,7,4,4,0,2,1,0,0,0,1,13.6
dragigo01,Goran Dragić,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,1422,2,7,0,3,9,10,0,2,5,2,1,0,5,13.3
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,2216,5,17,2,4,3,3,2,7,3,2,2,0,2,13.3
favorde01,Derrick Favors,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,LOSS,1267,5,7,0,0,2,4,3,6,2,0,0,0,2,12.8
