slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,2342,18,30,4,12,4,4,3,11,11,1,2,5,3,39.5
randlju01,Julius Randle,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,2334,11,21,2,3,9,12,4,7,6,1,1,4,3,27.1
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,2328,12,27,3,8,5,5,0,5,7,2,3,2,1,26.0
noelne01,Nerlens Noel,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,1304,10,16,0,0,2,2,8,5,1,2,0,1,3,22.4
smithde03,Dennis Smith,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1910,7,10,2,3,3,8,0,2,7,1,0,1,2,17.5
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1537,7,13,1,2,2,3,2,9,4,1,1,2,2,16.1
georgpa01,Paul George,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,2456,11,29,3,17,3,3,0,7,6,1,1,3,3,15.9
dedmode01,Dewayne Dedmon,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1578,6,10,4,7,5,5,0,2,0,1,1,1,5,15.7
rosste01,Terrence Ross,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1309,8,15,3,8,2,3,0,1,2,0,1,0,0,15.7
isaacjo01,Jonathan Isaac,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1602,6,9,2,4,2,2,2,4,0,1,1,1,1,15.0
jordade01,DeAndre Jordan,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1732,4,4,0,0,2,2,3,10,0,1,3,1,4,14.4
zelleco01,Cody Zeller,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1781,4,10,0,1,5,6,4,3,3,2,0,0,2,14.2
mooreet01,E'Twaun Moore,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,1025,6,7,3,3,0,0,0,1,3,1,0,1,2,14.1
youngtr01,Trae Young,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1866,6,19,1,6,3,4,2,4,11,2,0,3,2,13.2
willike04,Kenrich Williams,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,2066,4,7,1,4,0,0,2,10,4,1,1,1,2,12.8
allenka01,Kadeem Allen,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1465,5,9,1,1,3,4,0,2,9,0,0,2,4,12.6
okafoja01,Jahlil Okafor,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,1368,5,6,0,0,2,3,4,4,2,0,0,2,1,12.4
augusdj01,D.J. Augustin,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1312,3,5,2,3,0,0,0,1,7,0,1,0,0,11.6
iwundwe01,Wesley Iwundu,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1235,2,2,2,2,5,6,0,3,1,0,1,1,0,11.3
fournev01,Evan Fournier,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1637,5,12,1,6,1,2,1,2,6,2,0,0,4,11.1
feltora01,Raymond Felton,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,1381,3,4,1,2,2,2,0,1,5,0,0,0,1,10.8
lambje01,Jeremy Lamb,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1068,6,10,1,2,1,2,2,2,2,0,0,1,2,10.6
davisan02,Anthony Davis,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,951,5,10,1,2,3,4,0,4,2,1,1,2,1,10.5
bazemke01,Kent Bazemore,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1619,7,14,0,3,2,3,1,5,1,0,0,0,4,9.9
birchkh01,Khem Birch,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1022,4,4,0,0,0,0,1,3,1,0,1,0,1,9.4
jenkijo01,John Jenkins,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1554,6,13,2,6,0,0,2,3,2,0,0,2,0,9.0
spellom01,Omari Spellman,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1027,2,5,2,3,0,0,2,7,2,0,1,0,0,8.9
milleda01,Darius Miller,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,2079,3,7,2,5,0,0,1,3,5,1,0,0,4,8.8
monkma01,Malik Monk,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1470,7,16,1,7,0,0,1,3,2,0,0,0,2,8.8
robinmi01,Mitchell Robinson,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1148,3,5,0,0,0,0,3,4,0,1,4,1,3,8.6
dotsoda01,Damyean Dotson,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1270,4,11,1,7,4,4,0,5,1,1,1,2,2,8.0
diallch01,Cheick Diallo,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,1070,3,4,0,0,0,0,2,4,1,0,1,1,0,7.4
briscis01,Isaiah Briscoe,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1568,2,5,2,2,0,0,0,8,5,0,0,1,4,6.6
grantje02,Jerian Grant,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,321,2,3,1,2,1,1,0,0,1,1,0,0,0,6.4
batumni01,Nicolas Batum,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1528,3,7,0,2,3,4,1,6,2,1,1,3,3,6.3
kornelu01,Luke Kornet,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1883,3,16,3,10,2,2,1,2,0,4,1,0,2,6.2
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,2131,2,5,0,0,0,0,4,1,2,2,1,2,1,6.1
martija01,Jarell Martin,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,321,2,3,2,3,0,0,0,1,1,0,0,0,0,5.7
lenal01,Alex Len,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1412,1,7,1,4,3,4,2,4,1,2,2,2,2,5.0
gordoaa01,Aaron Gordon,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1894,4,17,1,6,1,1,2,9,4,1,0,2,3,4.4
hernawi01,Willy Hernangómez,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,591,0,2,0,0,4,6,1,4,1,0,0,0,0,4.4
knoxke01,Kevin Knox,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1326,2,9,2,3,3,4,2,8,1,0,0,3,1,4.2
kaminfr01,Frank Kaminsky,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,321,2,3,1,2,0,0,0,0,1,0,0,0,1,4.0
trieral01,Allonzo Trier,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1115,2,2,1,1,1,2,0,1,0,0,0,1,2,3.5
cartevi01,Vince Carter,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,728,2,2,0,0,0,1,0,1,0,0,0,0,0,3.3
willima02,Marvin Williams,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1343,2,7,1,3,0,0,2,6,0,0,0,0,2,3.3
frazime01,Melvin Frazier,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,321,2,3,0,1,0,0,0,0,0,0,0,0,0,2.7
