Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14812805),LeBron James,14812805,PG/SF/F/G/UTIL,10700,LAC@LAL 07/30/2020 09:00PM ET,LAL,55.77
PF/C,Anthony Davis (14812810),Anthony Davis,14812810,PF/C/F/UTIL,10000,LAC@LAL 07/30/2020 09:00PM ET,LAL,51.07
SF,Kawhi Leonard (14812814),Kawhi Leonard,14812814,SF/F/UTIL,9200,LAC@LAL 07/30/2020 09:00PM ET,LAC,48.42
PG/SG,Jrue Holiday (14812817),Jrue Holiday,14812817,PG/SG/G/UTIL,8600,UTA@NO 07/30/2020 06:30PM ET,NO,40.84
SF/PF,Brandon Ingram (14812821),Brandon Ingram,14812821,SF/PF/F/UTIL,8300,UTA@NO 07/30/2020 06:30PM ET,NO,41.75
PF/C,Zion Williamson (14812825),Zion Williamson,14812825,PF/C/F/UTIL,7500,UTA@NO 07/30/2020 06:30PM ET,NO,36.91
PG,Lonzo Ball (14812829),Lonzo Ball,14812829,PG/G/UTIL,7400,UTA@NO 07/30/2020 06:30PM ET,NO,34.80
SF,Paul George (14812832),Paul George,14812832,SF/F/UTIL,7200,LAC@LAL 07/30/2020 09:00PM ET,LAC,37.95
C,Rudy Gobert (14812835),Rudy Gobert,14812835,C/UTIL,7100,UTA@NO 07/30/2020 06:30PM ET,UTA,40.09
PG/SG,Donovan Mitchell (14812837),Donovan Mitchell,14812837,PG/SG/G/UTIL,7000,UTA@NO 07/30/2020 06:30PM ET,UTA,38.38
PG,Mike Conley (14812841),Mike Conley,14812841,PG/G/UTIL,6200,UTA@NO 07/30/2020 06:30PM ET,UTA,26.15
C,Montrezl Harrell (14812844),Montrezl Harrell,14812844,C/UTIL,5900,LAC@LAL 07/30/2020 09:00PM ET,LAC,32.95
C,Derrick Favors (14812846),Derrick Favors,14812846,C/UTIL,5800,UTA@NO 07/30/2020 06:30PM ET,NO,27.13
SG/SF,Joe Ingles (14812848),Joe Ingles,14812848,SG/SF/F/G/UTIL,5700,UTA@NO 07/30/2020 06:30PM ET,UTA,24.61
PG/SG,Lou Williams (14812853),Lou Williams,14812853,PG/SG/G/UTIL,5100,LAC@LAL 07/30/2020 09:00PM ET,LAC,32.3
SF/PF,Royce O'Neale (14812857),Royce O'Neale,14812857,SF/PF/F/UTIL,4900,UTA@NO 07/30/2020 06:30PM ET,UTA,19.33
SF/PF,Marcus Morris Sr. (14812861),Marcus Morris Sr.,14812861,SF/PF/F/UTIL,4700,LAC@LAL 07/30/2020 09:00PM ET,LAC,28.85
PG,Reggie Jackson (14812865),Reggie Jackson,14812865,PG/G/UTIL,4600,LAC@LAL 07/30/2020 09:00PM ET,LAC,24.49
SF/PF,Kyle Kuzma (14812868),Kyle Kuzma,14812868,SF/PF/F/UTIL,4500,LAC@LAL 07/30/2020 09:00PM ET,LAL,21.47
C,Ivica Zubac (14812872),Ivica Zubac,14812872,C/UTIL,4500,LAC@LAL 07/30/2020 09:00PM ET,LAC,20.64
PG/SG,Jordan Clarkson (14812874),Jordan Clarkson,14812874,PG/SG/G/UTIL,4200,UTA@NO 07/30/2020 06:30PM ET,UTA,23.60
PG,Patrick Beverley (14812878),Patrick Beverley,14812878,PG/G/UTIL,4100,LAC@LAL 07/30/2020 09:00PM ET,LAC,23.74
PF/C,Nicolo Melli (14812886),Nicolo Melli,14812886,PF/C/F/UTIL,4000,UTA@NO 07/30/2020 06:30PM ET,NO,14.64
SG/SF,Kentavious Caldwell-Pope (14812881),Kentavious Caldwell-Pope,14812881,SG/SF/F/G/UTIL,4000,LAC@LAL 07/30/2020 09:00PM ET,LAL,17.01
SF,Josh Hart (14812890),Josh Hart,14812890,SF/F/UTIL,3900,UTA@NO 07/30/2020 06:30PM ET,NO,24.19
SG/SF,J.R. Smith (14812893),J.R. Smith,14812893,SG/SF/F/G/UTIL,3800,LAC@LAL 07/30/2020 09:00PM ET,LAL,0
C,Tony Bradley (14812902),Tony Bradley,14812902,C/UTIL,3700,UTA@NO 07/30/2020 06:30PM ET,UTA,11.83
PG/SG,Alex Caruso (14812898),Alex Caruso,14812898,PG/SG/G/UTIL,3700,LAC@LAL 07/30/2020 09:00PM ET,LAL,13.09
SG/SF,JJ Redick (14812906),JJ Redick,14812906,SG/SF/F/G/UTIL,3600,UTA@NO 07/30/2020 06:30PM ET,NO,23.03
C,JaVale McGee (14812904),JaVale McGee,14812904,C/UTIL,3600,LAC@LAL 07/30/2020 09:00PM ET,LAL,18.60
PF,JaMychal Green (14812911),JaMychal Green,14812911,PF/F/UTIL,3500,LAC@LAL 07/30/2020 09:00PM ET,LAC,17.64
SG/SF,Danny Green (14812914),Danny Green,14812914,SG/SF/F/G/UTIL,3500,LAC@LAL 07/30/2020 09:00PM ET,LAL,18.48
SF/PF,Georges Niang (14812919),Georges Niang,14812919,SF/PF/F/UTIL,3300,UTA@NO 07/30/2020 06:30PM ET,UTA,10.11
PF/C,Markieff Morris (14812923),Markieff Morris,14812923,PF/C/F/UTIL,3200,LAC@LAL 07/30/2020 09:00PM ET,LAL,18.74
C,Dwight Howard (14812927),Dwight Howard,14812927,C/UTIL,3200,LAC@LAL 07/30/2020 09:00PM ET,LAL,20.73
SG/SF,Landry Shamet (14812929),Landry Shamet,14812929,SG/SF/F/G/UTIL,3200,LAC@LAL 07/30/2020 09:00PM ET,LAC,16.76
SG/SF,Dion Waiters (14812934),Dion Waiters,14812934,SG/SF/F/G/UTIL,3100,LAC@LAL 07/30/2020 09:00PM ET,LAL,17.58
C,Joakim Noah (14812939),Joakim Noah,14812939,C/UTIL,3100,LAC@LAL 07/30/2020 09:00PM ET,LAC,0
SF,Bojan Bogdanovic (14812941),Bojan Bogdanovic,14812941,SF/F/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,30.04
SG/SF,E'Twaun Moore (14812947),E'Twaun Moore,14812947,SG/SF/F/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,15.44
SF,Darius Miller (14812952),Darius Miller,14812952,SF/F/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,0
PG,Josh Gray (14812955),Josh Gray,14812955,PG/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,2.5
SG,Sindarius Thornwell (14812958),Sindarius Thornwell,14812958,SG/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,0
C,Jahlil Okafor (14812961),Jahlil Okafor,14812961,C/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,16.22
PF,Kenrich Williams (14812963),Kenrich Williams,14812963,PF/F/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,15.09
SF/PF,Zylan Cheatham (14812966),Zylan Cheatham,14812966,SF/PF/F/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,5
PG,Frank Jackson (14812970),Frank Jackson,14812970,PG/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,9.24
PG/SG,Nickeil Alexander-Walker (14812973),Nickeil Alexander-Walker,14812973,PG/SG/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,11.17
C,Jaxson Hayes (14812977),Jaxson Hayes,14812977,C/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,NO,16.28
C,Ed Davis (14812998),Ed Davis,14812998,C/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,7.81
PG,Nigel Williams-Goss (14813000),Nigel Williams-Goss,14813000,PG/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,2.31
PG,Emmanuel Mudiay (14813003),Emmanuel Mudiay,14813003,PG/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,14.46
SG/SF,Rayjon Tucker (14813006),Rayjon Tucker,14813006,SG/SF/F/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,2.77
PF,Jarrell Brantley (14813011),Jarrell Brantley,14813011,PF/F/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,2.15
PG,Justin Wright-Foreman (14813014),Justin Wright-Foreman,14813014,PG/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,0
PF,Juwan Morgan (14813017),Juwan Morgan,14813017,PF/F/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,2.92
SG/SF,Miye Oni (14813020),Miye Oni,14813020,SG/SF/F/G/UTIL,3000,UTA@NO 07/30/2020 06:30PM ET,UTA,0.4
PG,Rajon Rondo (14812944),Rajon Rondo,14812944,PG/G/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAL,19.62
PG,Avery Bradley (14812979),Avery Bradley,14812979,PG/G/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAL,15.62
SF/PF,Jared Dudley (14812982),Jared Dudley,14812982,SF/PF/F/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAL,4.38
PG,Quinn Cook (14812986),Quinn Cook,14812986,PG/G/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAL,8.34
PF,Devontae Cacok (14812989),Devontae Cacok,14812989,PF/F/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAL,0
PF,Kostas Antetokounmpo (14812992),Kostas Antetokounmpo,14812992,PF/F/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAL,0.92
SG,Talen Horton-Tucker (14812995),Talen Horton-Tucker,14812995,SG/G/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAL,2.5
PF/C,Patrick Patterson (14813025),Patrick Patterson,14813025,PF/C/F/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAC,9.18
SG/SF,Rodney McGruder (14813029),Rodney McGruder,14813029,SG/SF/F/G/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAC,8.53
C,Johnathan Motley (14813034),Johnathan Motley,14813034,C/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAC,4.35
PG,Terance Mann (14813036),Terance Mann,14813036,PG/G/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAC,4.99
C,Mfiondu Kabengele (14813039),Mfiondu Kabengele,14813039,C/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAC,5.85
SF,Amir Coffey (14813041),Amir Coffey,14813041,SF/F/UTIL,3000,LAC@LAL 07/30/2020 09:00PM ET,LAC,4.77
