Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (16161953),Luka Doncic,16161953,PG/G/UTIL,11000,DAL@MIL 01/15/2021 07:30PM ET,DAL,56.61
PF/C,Giannis Antetokounmpo (16161956),Giannis Antetokounmpo,16161956,PF/C/F/UTIL,10800,DAL@MIL 01/15/2021 07:30PM ET,MIL,52.34
C,Karl-Anthony Towns (16161960),Karl-Anthony Towns,16161960,C/UTIL,9900,MEM@MIN 01/15/2021 08:00PM ET,MIN,51.5
PF/C,Anthony Davis (16161962),Anthony Davis,16161962,PF/C/F/UTIL,9800,NO@LAL 01/15/2021 10:00PM ET,LAL,43.09
PG/SF,LeBron James (16161966),LeBron James,16161966,PG/SF/F/G/UTIL,9700,NO@LAL 01/15/2021 10:00PM ET,LAL,48.17
SF,Kawhi Leonard (16161971),Kawhi Leonard,16161971,SF/F/UTIL,9600,LAC@SAC 01/15/2021 10:00PM ET,LAC,46
SG,Zach LaVine (16161974),Zach LaVine,16161974,SG/G/UTIL,9500,CHI@OKC 01/15/2021 08:00PM ET,CHI,44.46
SG,Paul George (16161977),Paul George,16161977,SG/G/UTIL,9400,LAC@SAC 01/15/2021 10:00PM ET,LAC,45.48
C,Andre Drummond (16161980),Andre Drummond,16161980,C/UTIL,9300,NY@CLE 01/15/2021 07:30PM ET,CLE,47.14
SF/PF,Jayson Tatum (16161982),Jayson Tatum,16161982,SF/PF/F/UTIL,9200,ORL@BOS 01/15/2021 07:30PM ET,BOS,46.08
PF/C,Julius Randle (16161986),Julius Randle,16161986,PF/C/F/UTIL,9100,NY@CLE 01/15/2021 07:30PM ET,NY,48.08
C,Nikola Vucevic (16161990),Nikola Vucevic,16161990,C/UTIL,9000,ORL@BOS 01/15/2021 07:30PM ET,ORL,46.5
SG/SF,Jaylen Brown (16161992),Jaylen Brown,16161992,SG/SF/F/G/UTIL,8900,ORL@BOS 01/15/2021 07:30PM ET,BOS,44.15
PG,Trae Young (16161997),Trae Young,16161997,PG/G/UTIL,8700,ATL@UTA 01/15/2021 09:00PM ET,ATL,42.92
SF/PF,Brandon Ingram (16162000),Brandon Ingram,16162000,SF/PF/F/UTIL,8600,NO@LAL 01/15/2021 10:00PM ET,NO,43.85
PG/SG,Donovan Mitchell (16162004),Donovan Mitchell,16162004,PG/SG/G/UTIL,8400,ATL@UTA 01/15/2021 09:00PM ET,UTA,37.34
PG/SG,D'Angelo Russell (16162008),D'Angelo Russell,16162008,PG/SG/G/UTIL,8300,MEM@MIN 01/15/2021 08:00PM ET,MIN,35.98
SF,Khris Middleton (16162012),Khris Middleton,16162012,SF/F/UTIL,8200,DAL@MIL 01/15/2021 07:30PM ET,MIL,40.75
PG,De'Aaron Fox (16162015),De'Aaron Fox,16162015,PG/G/UTIL,8100,LAC@SAC 01/15/2021 10:00PM ET,SAC,34.54
PF/C,Kristaps Porzingis (16162018),Kristaps Porzingis,16162018,PF/C/F/UTIL,8000,DAL@MIL 01/15/2021 07:30PM ET,DAL,27
