,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
30,Tyler Herro,SG,ATL@MIA,MIA,29.3,$5861,$6000,-$139,29.7, , ,0.0,0.0
155,Desmond Bane,SG,MEM@WAS,MEM,18.76,$3751,$3500,$251,16.65, , ,0.0,0.0
2,LeBron James,SF,PHO@LAL,LAL,51.96,$10392,$10800,-$408,48.34,GTD,Ankle,0.0,0.0
66,Justise Winslow,SF,MEM@WAS,MEM,23.08,$4616,$4400,$216,19.58, , ,0.0,0.0
34,Dennis Schroder,PG,PHO@LAL,LAL,26.95,$5390,$5800,-$410,26.28, , ,0.0,0.0
41,Goran Dragic,PG,ATL@MIA,MIA,26.09,$5219,$5400,-$181,25.11, , ,0.0,0.0
6,Julius Randle,PF,NY@SA,NY,43.73,$8745,$9500,-$755,44.6, , ,0.0,0.0
10,Bam Adebayo,PF,ATL@MIA,MIA,41.5,$8300,$8700,-$400,42.26, , ,0.0,0.0
32,Jakob Poeltl,C,NY@SA,SA,27.03,$5406,$5800,-$394,23.49, , ,0.0,0.0
