Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (16523887),LeBron James,16523887,PG/SF/F/G/UTIL,10800,GS@LAL 02/28/2021 08:00PM ET,LAL,51.29
PG,Russell Westbrook (16523892),Russell Westbrook,16523892,PG/G/UTIL,10300,WAS@BOS 02/28/2021 07:00PM ET,WAS,49.84
C,Karl-Anthony Towns (16523895),Karl-Anthony Towns,16523895,C/UTIL,10100,PHO@MIN 02/28/2021 09:00PM ET,MIN,48.32
PG,Stephen Curry (16523897),Stephen Curry,16523897,PG/G/UTIL,10000,GS@LAL 02/28/2021 08:00PM ET,GS,50
PG,Trae Young (16523900),Trae Young,16523900,PG/G/UTIL,9800,ATL@MIA 02/28/2021 08:00PM ET,ATL,48.12
SF,Jimmy Butler (16523903),Jimmy Butler,16523903,SF/F/UTIL,9700,ATL@MIA 02/28/2021 08:00PM ET,MIA,46.20
SG,Bradley Beal (16523906),Bradley Beal,16523906,SG/G/UTIL,9600,WAS@BOS 02/28/2021 07:00PM ET,WAS,49.98
PF/C,Julius Randle (16523909),Julius Randle,16523909,PF/C/F/UTIL,9500,NY@DET 02/28/2021 08:00PM ET,NY,47.63
SG,Zach LaVine (16523913),Zach LaVine,16523913,SG/G/UTIL,9300,Postponed,CHI,45.52
PF/C,Anthony Davis (16523916),Anthony Davis,16523916,PF/C/F/UTIL,9200,GS@LAL 02/28/2021 08:00PM ET,LAL,43.75
SF/PF,Jayson Tatum (16523920),Jayson Tatum,16523920,SF/PF/F/UTIL,9100,WAS@BOS 02/28/2021 07:00PM ET,BOS,44.32
C,Bam Adebayo (16523924),Bam Adebayo,16523924,C/UTIL,8900,ATL@MIA 02/28/2021 08:00PM ET,MIA,43.31
PG,LaMelo Ball (16523926),LaMelo Ball,16523926,PG/G/UTIL,8800,CHA@SAC 02/28/2021 10:00PM ET,CHA,35.56
SG/SF,Jaylen Brown (16523929),Jaylen Brown,16523929,SG/SF/F/G/UTIL,8700,WAS@BOS 02/28/2021 07:00PM ET,BOS,41.06
PG,De'Aaron Fox (16523934),De'Aaron Fox,16523934,PG/G/UTIL,8600,CHA@SAC 02/28/2021 10:00PM ET,SAC,40.84
PG/SG,Fred VanVleet (16523937),Fred VanVleet,16523937,PG/SG/G/UTIL,8500,Postponed,TOR,41.35
C,Clint Capela (16523941),Clint Capela,16523941,C/UTIL,8400,ATL@MIA 02/28/2021 08:00PM ET,ATL,40.2
PG,John Wall (16523943),John Wall,16523943,PG/G/UTIL,8300,MEM@HOU 02/28/2021 08:00PM ET,HOU,37.07
PG,Kyle Lowry (16523946),Kyle Lowry,16523946,PG/G/UTIL,8100,Postponed,TOR,38.36
PF/C,Christian Wood (16523949),Christian Wood,16523949,PF/C/F/UTIL,8000,MEM@HOU 02/28/2021 08:00PM ET,HOU,42.5
SG,Devin Booker (16523953),Devin Booker,16523953,SG/G/UTIL,8000,PHO@MIN 02/28/2021 09:00PM ET,PHO,37.38
PG/SG,Terry Rozier (16523956),Terry Rozier,16523956,PG/SG/G/UTIL,7900,CHA@SAC 02/28/2021 10:00PM ET,CHA,34.22
PG,Chris Paul (16523964),Chris Paul,16523964,PG/G/UTIL,7800,PHO@MIN 02/28/2021 09:00PM ET,PHO,38.78
PF/C,Pascal Siakam (16523960),Pascal Siakam,16523960,PF/C/F/UTIL,7800,Postponed,TOR,40.3
SF/PF,Jerami Grant (16523971),Jerami Grant,16523971,SF/PF/F/UTIL,7600,NY@DET 02/28/2021 08:00PM ET,DET,38.78
PG/SG,Victor Oladipo (16523967),Victor Oladipo,16523967,PG/SG/G/UTIL,7600,MEM@HOU 02/28/2021 08:00PM ET,HOU,36.51
PF/C,Draymond Green (16523975),Draymond Green,16523975,PF/C/F/UTIL,7500,GS@LAL 02/28/2021 08:00PM ET,GS,30
C,Jonas Valanciunas (16523979),Jonas Valanciunas,16523979,C/UTIL,7400,MEM@HOU 02/28/2021 08:00PM ET,MEM,36.19
SF/PF,Gordon Hayward (16523981),Gordon Hayward,16523981,SF/PF/F/UTIL,7400,CHA@SAC 02/28/2021 10:00PM ET,CHA,37.17
PG,Ja Morant (16523985),Ja Morant,16523985,PG/G/UTIL,7200,MEM@HOU 02/28/2021 08:00PM ET,MEM,36.39
SG/SF,Kelly Oubre Jr. (16523988),Kelly Oubre Jr.,16523988,SG/SF/F/G/UTIL,7200,GS@LAL 02/28/2021 08:00PM ET,GS,29.35
C,Deandre Ayton (16523993),Deandre Ayton,16523993,C/UTIL,7000,PHO@MIN 02/28/2021 09:00PM ET,PHO,34.28
SG,Malik Beasley (16523995),Malik Beasley,16523995,SG/G/UTIL,7000,PHO@MIN 02/28/2021 09:00PM ET,MIN,32.93
PF,Jaren Jackson Jr. (16524001),Jaren Jackson Jr.,16524001,PF/F/UTIL,6900,MEM@HOU 02/28/2021 08:00PM ET,MEM,0
PG/SG,Tyrese Haliburton (16524004),Tyrese Haliburton,16524004,PG/SG/G/UTIL,6900,CHA@SAC 02/28/2021 10:00PM ET,SAC,30.21
PG,Kemba Walker (16523998),Kemba Walker,16523998,PG/G/UTIL,6800,WAS@BOS 02/28/2021 07:00PM ET,BOS,32.07
C,Mason Plumlee (16524008),Mason Plumlee,16524008,C/UTIL,6800,NY@DET 02/28/2021 08:00PM ET,DET,30.06
SG/SF,Anthony Edwards (16524010),Anthony Edwards,16524010,SG/SF/F/G/UTIL,6800,PHO@MIN 02/28/2021 09:00PM ET,MIN,25.74
PF,Lauri Markkanen (16524015),Lauri Markkanen,16524015,PF/F/UTIL,6800,Postponed,CHI,30.70
PF/C,John Collins (16524023),John Collins,16524023,PF/C/F/UTIL,6700,ATL@MIA 02/28/2021 08:00PM ET,ATL,32.42
SG/SF,Norman Powell (16524018),Norman Powell,16524018,SG/SF/F/G/UTIL,6700,Postponed,TOR,26.91
SF/PF,Kyle Anderson (16524031),Kyle Anderson,16524031,SF/PF/F/UTIL,6600,MEM@HOU 02/28/2021 08:00PM ET,MEM,30.88
PG/SG,Coby White (16524027),Coby White,16524027,PG/SG/G/UTIL,6600,Postponed,CHI,30.95
PG/SG,D'Angelo Russell (16524037),D'Angelo Russell,16524037,PG/SG/G/UTIL,6500,PHO@MIN 02/28/2021 09:00PM ET,MIN,33.48
C,Richaun Holmes (16524035),Richaun Holmes,16524035,C/UTIL,6500,CHA@SAC 02/28/2021 10:00PM ET,SAC,29.98
SF/PF,Harrison Barnes (16524041),Harrison Barnes,16524041,SF/PF/F/UTIL,6500,CHA@SAC 02/28/2021 10:00PM ET,SAC,31.52
PG,Delon Wright (16524045),Delon Wright,16524045,PG/G/UTIL,6400,NY@DET 02/28/2021 08:00PM ET,DET,27.58
SG/SF,Andrew Wiggins (16524048),Andrew Wiggins,16524048,SG/SF/F/G/UTIL,6400,GS@LAL 02/28/2021 08:00PM ET,GS,30.43
C,Chris Boucher (16524053),Chris Boucher,16524053,C/UTIL,6400,Postponed,TOR,28.52
PG/SG,Tyler Herro (16524055),Tyler Herro,16524055,PG/SG/G/UTIL,6300,ATL@MIA 02/28/2021 08:00PM ET,MIA,31.98
PF/C,Thaddeus Young (16524059),Thaddeus Young,16524059,PF/C/F/UTIL,6300,Postponed,CHI,28.80
PG/SG,Marcus Smart (16524070),Marcus Smart,16524070,PG/SG/G/UTIL,6200,WAS@BOS 02/28/2021 07:00PM ET,BOS,30.43
SG/SF,Josh Jackson (16524074),Josh Jackson,16524074,SG/SF/F/G/UTIL,6200,NY@DET 02/28/2021 08:00PM ET,DET,25.20
PF/C,Marvin Bagley III (16524066),Marvin Bagley III,16524066,PF/C/F/UTIL,6200,CHA@SAC 02/28/2021 10:00PM ET,SAC,26.77
PF/C,Rui Hachimura (16524079),Rui Hachimura,16524079,PF/C/F/UTIL,6100,WAS@BOS 02/28/2021 07:00PM ET,WAS,24.56
PG,Ricky Rubio (16524063),Ricky Rubio,16524063,PG/G/UTIL,6100,PHO@MIN 02/28/2021 09:00PM ET,MIN,22.94
SG/SF,Buddy Hield (16524083),Buddy Hield,16524083,SG/SF/F/G/UTIL,6100,CHA@SAC 02/28/2021 10:00PM ET,SAC,28.82
PG/SG,Eric Gordon (16524092),Eric Gordon,16524092,PG/SG/G/UTIL,6000,MEM@HOU 02/28/2021 08:00PM ET,HOU,27.66
SF/PF,Kyle Kuzma (16524088),Kyle Kuzma,16524088,SF/PF/F/UTIL,6000,GS@LAL 02/28/2021 08:00PM ET,LAL,23.21
C,Montrezl Harrell (16524096),Montrezl Harrell,16524096,C/UTIL,6000,GS@LAL 02/28/2021 08:00PM ET,LAL,25.99
SF,RJ Barrett (16524106),RJ Barrett,16524106,SF/F/UTIL,5900,NY@DET 02/28/2021 08:00PM ET,NY,29.93
PG/SG,Dennis Schroder (16524102),Dennis Schroder,16524102,PG/SG/G/UTIL,5900,GS@LAL 02/28/2021 08:00PM ET,LAL,27.03
PF/C,PJ Washington (16524098),PJ Washington,16524098,PF/C/F/UTIL,5900,CHA@SAC 02/28/2021 10:00PM ET,CHA,28.18
C,Wendell Carter Jr. (16524113),Wendell Carter Jr.,16524113,C/UTIL,5800,Postponed,CHI,28.39
SF/PF,OG Anunoby (16524115),OG Anunoby,16524115,SF/PF/F/UTIL,5800,Postponed,TOR,28.44
PG/SG,Devonte' Graham (16524109),Devonte' Graham,16524109,PG/SG/G/UTIL,5800,CHA@SAC 02/28/2021 10:00PM ET,CHA,28.87
PG/SG,Derrick Rose (16524119),Derrick Rose,16524119,PG/SG/G/UTIL,5700,NY@DET 02/28/2021 08:00PM ET,NY,25.52
SF/PF,Saddiq Bey (16524123),Saddiq Bey,16524123,SF/PF/F/UTIL,5700,NY@DET 02/28/2021 08:00PM ET,DET,18.53
PF/C,Jae'Sean Tate (16524135),Jae'Sean Tate,16524135,PF/C/F/UTIL,5600,MEM@HOU 02/28/2021 08:00PM ET,HOU,21.64
PG,Kendrick Nunn (16524127),Kendrick Nunn,16524127,PG/G/UTIL,5600,ATL@MIA 02/28/2021 08:00PM ET,MIA,25.47
SG/SF,Kevin Huerter (16524130),Kevin Huerter,16524130,SG/SF/F/G/UTIL,5600,ATL@MIA 02/28/2021 08:00PM ET,ATL,25.20
C,Mitchell Robinson (16524143),Mitchell Robinson,16524143,C/UTIL,5500,NY@DET 02/28/2021 08:00PM ET,NY,24.91
SG/SF,Dillon Brooks (16524149),Dillon Brooks,16524149,SG/SF/F/G/UTIL,5500,MEM@HOU 02/28/2021 08:00PM ET,MEM,26.83
C,Blake Griffin (16524154),Blake Griffin,16524154,C/UTIL,5400,NY@DET 02/28/2021 08:00PM ET,DET,26.38
SF/PF,De'Andre Hunter (16524139),De'Andre Hunter,16524139,SF/PF/F/UTIL,5400,ATL@MIA 02/28/2021 08:00PM ET,ATL,30.40
PG/SG,Goran Dragic (16524145),Goran Dragic,16524145,PG/SG/G/UTIL,5400,ATL@MIA 02/28/2021 08:00PM ET,MIA,27.12
C,Thomas Bryant (16524162),Thomas Bryant,16524162,C/UTIL,5300,WAS@BOS 02/28/2021 07:00PM ET,WAS,26.62
SF/PF,Danuel House Jr. (16524164),Danuel House Jr.,16524164,SF/PF/F/UTIL,5300,MEM@HOU 02/28/2021 08:00PM ET,HOU,20.69
SF,Mikal Bridges (16524159),Mikal Bridges,16524159,SF/F/UTIL,5300,PHO@MIN 02/28/2021 09:00PM ET,PHO,27.34
SG,Malik Monk (16524156),Malik Monk,16524156,SG/G/UTIL,5300,CHA@SAC 02/28/2021 10:00PM ET,CHA,20.21
PF/C,Daniel Theis (16524171),Daniel Theis,16524171,PF/C/F/UTIL,5200,WAS@BOS 02/28/2021 07:00PM ET,BOS,20.92
PG,Elfrid Payton (16524175),Elfrid Payton,16524175,PG/G/UTIL,5200,NY@DET 02/28/2021 08:00PM ET,NY,23.48
SG,Duncan Robinson (16524168),Duncan Robinson,16524168,SG/G/UTIL,5200,ATL@MIA 02/28/2021 08:00PM ET,MIA,22.98
SF,Cam Reddish (16524178),Cam Reddish,16524178,SF/F/UTIL,5200,ATL@MIA 02/28/2021 08:00PM ET,ATL,21.46
PG,Immanuel Quickley (16524181),Immanuel Quickley,16524181,PG/G/UTIL,5100,NY@DET 02/28/2021 08:00PM ET,NY,20.59
C,Nerlens Noel (16524188),Nerlens Noel,16524188,C/UTIL,5100,NY@DET 02/28/2021 08:00PM ET,NY,17.44
SF/PF,Danilo Gallinari (16524184),Danilo Gallinari,16524184,SF/PF/F/UTIL,5100,ATL@MIA 02/28/2021 08:00PM ET,ATL,18.74
PG/SG,Raul Neto (16524205),Raul Neto,16524205,PG/SG/G/UTIL,5000,WAS@BOS 02/28/2021 07:00PM ET,WAS,16.57
SF/PF,Otto Porter Jr. (16524190),Otto Porter Jr.,16524190,SF/PF/F/UTIL,5000,Postponed,CHI,24.53
C,Hassan Whiteside (16524194),Hassan Whiteside,16524194,C/UTIL,5000,CHA@SAC 02/28/2021 10:00PM ET,SAC,18.89
SG/SF,Alec Burks (16524196),Alec Burks,16524196,SG/SF/F/G/UTIL,4900,NY@DET 02/28/2021 08:00PM ET,NY,22.24
PG,Dennis Smith Jr. (16524209),Dennis Smith Jr.,16524209,PG/G/UTIL,4900,NY@DET 02/28/2021 08:00PM ET,DET,15.69
PF/C,Brandon Clarke (16524201),Brandon Clarke,16524201,PF/C/F/UTIL,4900,MEM@HOU 02/28/2021 08:00PM ET,MEM,25.02
SF/PF,Davis Bertans (16524212),Davis Bertans,16524212,SF/PF/F/UTIL,4800,WAS@BOS 02/28/2021 07:00PM ET,WAS,19.64
PG,Ish Smith (16524227),Ish Smith,16524227,PG/G/UTIL,4800,WAS@BOS 02/28/2021 07:00PM ET,WAS,18.29
SF,Patrick Williams (16524216),Patrick Williams,16524216,SF/F/UTIL,4800,Postponed,CHI,20.59
C,Cody Zeller (16524219),Cody Zeller,16524219,C/UTIL,4800,CHA@SAC 02/28/2021 10:00PM ET,CHA,25
C,Robert Williams (16524225),Robert Williams,16524225,C/UTIL,4700,WAS@BOS 02/28/2021 07:00PM ET,BOS,19.59
SF/PF,Miles Bridges (16524221),Miles Bridges,16524221,SF/PF/F/UTIL,4700,CHA@SAC 02/28/2021 10:00PM ET,CHA,22.71
PG,Saben Lee (16524239),Saben Lee,16524239,PG/G/UTIL,4600,NY@DET 02/28/2021 08:00PM ET,DET,12.33
SG/SF,David Nwaba (16524234),David Nwaba,16524234,SG/SF/F/G/UTIL,4600,MEM@HOU 02/28/2021 08:00PM ET,HOU,19.16
PF/C,Jarred Vanderbilt (16524230),Jarred Vanderbilt,16524230,PF/C/F/UTIL,4600,PHO@MIN 02/28/2021 09:00PM ET,MIN,19.20
C,Tristan Thompson (16524249),Tristan Thompson,16524249,C/UTIL,4500,WAS@BOS 02/28/2021 07:00PM ET,BOS,20.71
PG/SG,De'Anthony Melton (16524242),De'Anthony Melton,16524242,PG/SG/G/UTIL,4500,MEM@HOU 02/28/2021 08:00PM ET,MEM,20.98
PF,Jae Crowder (16524246),Jae Crowder,16524246,PF/F/UTIL,4500,PHO@MIN 02/28/2021 09:00PM ET,PHO,22.87
PF/C,Kelly Olynyk (16524251),Kelly Olynyk,16524251,PF/C/F/UTIL,4400,ATL@MIA 02/28/2021 08:00PM ET,MIA,23.06
SG,Garrett Temple (16524257),Garrett Temple,16524257,SG/G/UTIL,4400,Postponed,CHI,19.06
SG,Grayson Allen (16524260),Grayson Allen,16524260,SG/G/UTIL,4300,MEM@HOU 02/28/2021 08:00PM ET,MEM,18.90
C,James Wiseman (16524255),James Wiseman,16524255,C/UTIL,4300,GS@LAL 02/28/2021 08:00PM ET,GS,23.10
C,Naz Reid (16524263),Naz Reid,16524263,C/UTIL,4200,PHO@MIN 02/28/2021 09:00PM ET,MIN,23.76
PG,Jordan McLaughlin (16524287),Jordan McLaughlin,16524287,PG/G/UTIL,4200,PHO@MIN 02/28/2021 09:00PM ET,MIN,17.18
SG/SF,Denzel Valentine (16524269),Denzel Valentine,16524269,SG/SF/F/G/UTIL,4200,Postponed,CHI,17.73
PF/C,Nemanja Bjelica (16524265),Nemanja Bjelica,16524265,PF/C/F/UTIL,4200,CHA@SAC 02/28/2021 10:00PM ET,SAC,16.94
C,Marc Gasol (16524278),Marc Gasol,16524278,C/UTIL,4100,GS@LAL 02/28/2021 08:00PM ET,LAL,16.32
SG,Tony Snell (16524302),Tony Snell,16524302,SG/G/UTIL,4100,ATL@MIA 02/28/2021 08:00PM ET,ATL,9.64
PF/C,Dario Saric (16524274),Dario Saric,16524274,PF/C/F/UTIL,4100,PHO@MIN 02/28/2021 09:00PM ET,PHO,19.52
PG,Tomas Satoransky (16524280),Tomas Satoransky,16524280,PG/G/UTIL,4100,Postponed,CHI,18.57
