team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,36,84,13,40,25,34,10,31,19,7,1,11,18
BOSTON CELTICS,240,45,88,16,39,12,15,10,37,32,8,2,16,22
MEMPHIS GRIZZLIES,240,43,89,11,31,13,17,6,26,33,9,5,8,19
CHICAGO BULLS,240,45,80,8,20,24,29,9,37,28,2,3,14,19
BROOKLYN NETS,315,52,113,18,45,26,34,16,44,31,4,13,18,23
CLEVELAND CAVALIERS,315,54,120,18,42,13,18,18,39,35,7,4,15,37
MIAMI HEAT,240,44,81,12,30,12,16,7,40,24,8,3,18,20
DALLAS MAVERICKS,240,34,88,15,52,18,22,10,28,24,10,0,12,17
SACRAMENTO KINGS,240,42,93,11,32,23,28,10,34,30,12,1,12,23
DENVER NUGGETS,240,45,99,8,31,22,25,14,39,26,7,1,13,19
MILWAUKEE BUCKS,240,38,86,9,31,21,29,10,42,22,7,3,10,14
INDIANA PACERS,240,37,88,10,27,13,15,4,39,22,6,4,11,23
PHOENIX SUNS,240,40,86,8,30,19,25,8,28,24,6,4,16,23
LOS ANGELES CLIPPERS,240,50,84,11,22,23,30,7,36,33,12,9,11,25
HOUSTON ROCKETS,240,40,98,19,53,12,13,13,24,23,5,2,9,18
MINNESOTA TIMBERWOLVES,240,49,90,10,20,13,17,13,34,31,4,5,10,13
PHILADELPHIA 76ERS,240,42,78,8,23,34,43,6,41,33,8,7,15,24
NEW YORK KNICKS,240,40,100,9,29,22,27,14,29,27,8,4,12,27
GOLDEN STATE WARRIORS,240,39,97,13,38,16,18,18,31,26,1,9,8,26
PORTLAND TRAIL BLAZERS,240,43,93,16,37,27,34,14,34,24,3,4,4,16
WASHINGTON WIZARDS,240,37,84,14,40,32,39,4,39,27,6,3,18,28
TORONTO RAPTORS,240,44,92,16,38,25,30,9,43,32,8,8,14,27
