,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
0,Russell Westbrook,HOUSTON ROCKETS,2020-01-24,AWAY,MINNESOTA TIMBERWOLVES,39.07546350064599,10.756909060974616,0.6129646550398145,5.486694868972633,9.589781247515836,8.511460109926526,0.3805810567201737,1.7761956030327117,4.032679599307126,58.858999999999995,55.551984997901634,67.2
1,Kemba Walker,BOSTON CELTICS,2020-01-24,AWAY,ORLANDO MAGIC,30.365540193213846,3.7699553653320734,2.5114251260117078,2.937596237544408,4.490797119122437,3.9031723406163614,0.5545059970267863,1.0364260050172067,1.6973613604084141,34.5435,32.33093204583871,61.4
2,Kawhi Leonard,LOS ANGELES CLIPPERS,2020-01-24,AWAY,MIAMI HEAT,40.19309119927257,8.739995556823118,2.344025603351353,6.426006635450113,7.315654976636617,4.852019066292297,0.9006045308911728,1.735335772358677,3.0240609620755174,57.2655,51.87864907822682,67.0
3,Nikola Jokić,DENVER NUGGETS,2020-01-24,AWAY,NEW ORLEANS PELICANS,35.02852185424509,7.176373444414038,0.915037605242544,4.0976639765444745,9.747779112321469,6.361912422853892,0.6895457130324845,1.214151573795203,3.0619009303808085,45.89275000000001,45.08491818026904,64.9
4,T.J. Warren,INDIANA PACERS,2020-01-24,AWAY,GOLDEN STATE WARRIORS,27.1766495826484,5.624209916580057,0.6866804001871951,2.813983123417442,4.368023965742392,2.084810302124364,0.5830074799191891,1.1107630658574026,1.276547030742905,28.99725,28.296052975803427,56.0
5,Giannis Antetokounmpo,MILWAUKEE BUCKS,2020-01-24,AWAY,CHARLOTTE HORNETS,34.55561584871994,9.422656833092123,1.345817349817543,6.125788312936454,12.344192541655248,6.761832599564023,0.8078744170529064,1.309995813972995,3.5363322924666276,53.494749999999996,56.781612378516726,58.2
6,D'Angelo Russell,GOLDEN STATE WARRIORS,2020-01-24,HOME,INDIANA PACERS,37.447672081555304,4.894073050773468,3.4797106287659028,4.049858273110621,4.1771966742927695,6.726453570858491,0.02563730841881018,1.0308924598630704,3.121828164965418,39.954,39.42721376627455,44.3
7,Kyle Lowry,TORONTO RAPTORS,2020-01-24,AWAY,NEW YORK KNICKS,30.516114091210902,3.4761720519021537,2.356033527184627,3.2448293133618424,3.8464147764347345,6.1762098678633395,0.27830501328720825,1.1669075117691374,2.424375214166516,33.42875000000001,33.056548893239246,52.7
8,DeMar DeRozan,SAN ANTONIO SPURS,2020-01-24,HOME,PHOENIX SUNS,32.91383487879842,7.314751175677344,0.3334272678007557,5.694515728964951,7.308641521364432,6.259577278732835,0.3777045034800137,1.2031245931486803,3.011575325371716,44.599000000000004,41.21494759197284,45.6
9,Malik Monk,CHARLOTTE HORNETS,2020-01-24,HOME,MILWAUKEE BUCKS,22.101366237182127,1.9363961480984138,0.8035090847853863,0.8479624992845247,2.4405718568069616,1.4272779508312965,0.3096950460378989,0.509292556118365,0.8145016729615024,10.392249999999999,13.8433463377601,47.5
10,Devin Booker,PHOENIX SUNS,2020-01-24,AWAY,SAN ANTONIO SPURS,34.9832038282862,6.813459151037771,1.6971531242703124,6.814851927709523,5.600060216780511,5.757894933991689,0.38245803785023513,1.0331203873831423,3.19196971655425,42.76774999999999,41.94490982286603,51.8
11,Trae Young,ATLANTA HAWKS,2020-01-24,AWAY,OKLAHOMA CITY THUNDER,37.60784814529197,6.266687653624285,2.5679853906513,7.255317977659686,6.063680670604791,8.87660028276478,0.33937323120883534,1.1021021780712679,4.221191260858752,53.153,48.18720165271663,54.4
