team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS PELICANS,240,45,101,18,41,8,8,5,37,29,6,9,8,17
ATLANTA HAWKS,240,48,98,17,37,15,18,10,46,30,4,5,9,12
HOUSTON ROCKETS,240,32,88,16,52,14,22,13,28,18,6,4,12,20
DALLAS MAVERICKS,240,31,75,9,32,22,27,10,41,24,6,9,16,20
CHICAGO BULLS,240,41,82,9,18,17,26,6,31,18,4,5,10,18
DETROIT PISTONS,240,49,91,19,35,14,22,10,34,34,5,1,7,24
PHOENIX SUNS,240,42,86,10,25,21,27,9,39,26,10,4,14,18
GOLDEN STATE WARRIORS,240,42,95,10,43,17,22,15,34,34,10,6,17,24
ORLANDO MAGIC,240,31,87,12,38,23,27,15,38,23,6,4,13,23
MEMPHIS GRIZZLIES,240,34,82,9,31,28,31,6,39,23,6,6,10,22
TORONTO RAPTORS,240,42,74,21,40,20,26,6,38,32,8,8,19,23
MIAMI HEAT,240,42,92,8,27,12,21,9,27,27,13,0,13,22
NEW YORK KNICKS,240,37,86,10,25,8,14,10,33,20,5,8,17,14
MINNESOTA TIMBERWOLVES,240,42,94,9,30,10,13,9,31,22,13,10,11,16
INDIANA PACERS,240,31,83,5,16,22,37,12,32,18,8,4,14,27
PHILADELPHIA 76ERS,240,38,87,7,23,23,30,13,39,24,10,3,13,26
MILWAUKEE BUCKS,240,41,87,14,36,18,25,6,39,22,3,2,10,17
SAN ANTONIO SPURS,240,49,100,12,29,11,15,8,38,24,6,3,4,18
