slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,2319,9,20,1,4,11,12,1,5,9,4,0,2,4,28.1
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,2358,11,23,2,4,7,7,2,7,2,1,2,1,4,24.0
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,2185,10,20,3,8,3,4,2,9,4,0,2,6,2,17.1
murraja01,Jamal Murray,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,2654,8,19,2,9,7,8,0,6,4,2,2,5,1,17.1
portemi01,Michael Porter,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1197,6,9,2,4,1,2,2,2,0,0,0,2,5,8.7
carusal01,Alex Caruso,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1730,3,6,1,4,2,2,0,2,2,2,1,1,3,8.5
greenda02,Danny Green,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1697,4,14,3,10,0,0,3,2,1,3,1,1,1,8.5
morrimo01,Monte Morris,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,778,3,4,1,1,2,2,0,1,0,1,0,1,0,7.7
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1883,3,6,3,5,2,2,0,2,1,1,1,2,4,7.4
grantje01,Jerami Grant,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1476,3,4,1,1,0,0,0,0,1,3,0,3,4,4.5
rondora01,Rajon Rondo,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1266,1,3,1,2,0,0,1,3,9,1,0,5,3,4.0
craigto01,Torrey Craig,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1399,1,2,0,1,1,1,0,2,1,1,1,0,3,3.8
doziepj01,PJ Dozier,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,846,1,2,0,0,1,5,0,1,1,1,1,0,1,2.7
millspa01,Paul Millsap,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1686,2,6,0,1,2,3,3,5,1,0,0,3,2,2.7
plumlma01,Mason Plumlee,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,563,1,2,0,0,0,0,1,0,4,0,0,1,2,2.7
mcgeeja01,JaVale McGee,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,705,1,3,0,0,1,1,3,2,2,0,0,2,2,2.6
howardw01,Dwight Howard,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,766,1,1,0,0,1,1,0,2,0,1,0,0,5,2.3
kuzmaky01,Kyle Kuzma,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1257,3,7,0,3,2,2,1,2,1,0,0,4,4,0.7
morrima02,Markieff Morris,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,553,0,0,0,0,0,0,1,0,1,0,0,1,2,-0.4
harriga01,Gary Harris,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1482,1,6,1,3,0,0,0,2,1,0,0,2,0,-1.5
