"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"53791-40199","PF","Giannis","Giannis Antetokounmpo","Antetokounmpo","50.76154033954327","13","11300","LAL@MIL","MIL","LAL","","","","",""
"53791-15755","PF","Anthony","Anthony Davis","Davis","44.95384803185096","13","10000","LAL@MIL","LAL","MIL","GTD","Ankle","","",""
"53791-9524","PG","Stephen","Stephen Curry","Curry","44.84285627092634","14","9800","NY@GS","GS","NY","","","","",""
"53791-9488","SF","LeBron","LeBron James","James","44.27333170572917","15","9500","LAL@MIL","LAL","MIL","GTD","Ankle","","",""
"53791-42669","PF","Julius","Julius Randle","Randle","44.4","15","9000","NY@GS","NY","GS","","","","",""
"53791-40203","C","Rudy","Rudy Gobert","Gobert","38.692858014787944","14","8500","NO@UTA","UTA","NO","","","","",""
"53791-66048","SF","Brandon","Brandon Ingram","Ingram","39.79230675330529","13","8200","NO@UTA","NO","UTA","","","","",""
"53791-66113","SG","Donovan","Donovan Mitchell","Mitchell","35.77857099260603","14","8200","NO@UTA","UTA","NO","","","","",""
"53791-16261","SF","Khris","Khris Middleton","Middleton","39.399998256138396","14","8000","LAL@MIL","MIL","LAL","","","","",""
"53791-110310","PF","Zion","Zion Williamson","Williamson","37.39166768391927","12","8000","NO@UTA","NO","UTA","","","","",""
"53791-9663","PG","Jrue","Jrue Holiday","Holiday","34.949999128069194","14","7600","LAL@MIL","MIL","LAL","","","","",""
"53791-9575","PG","Mike","Mike Conley","Conley","32.442858014787944","14","7400","NO@UTA","UTA","NO","","","","",""
"53791-49116","SG","Andrew","Andrew Wiggins","Wiggins","31.08571515764509","14","7000","NY@GS","GS","NY","","","","",""
"53791-110357","SF","RJ","RJ Barrett","Barrett","32.88666585286458","15","6700","NY@GS","NY","GS","","","","",""
"53791-40201","PG","Dennis","Dennis Schroder","Schroder","28.440000406901042","15","6600","LAL@MIL","LAL","MIL","","","","",""
"53791-20640","SG","Jordan","Jordan Clarkson","Clarkson","28.050000871930802","14","6300","NO@UTA","UTA","NO","","","","",""
"53791-23776","C","Montrezl","Montrezl Harrell","Harrell","26.613334147135415","15","6000","LAL@MIL","LAL","MIL","","","","",""
"53791-14510","SG","Alec","Alec Burks","Burks","33.23333231608073","3","5800","NY@GS","NY","GS","GTD","Ankle","","",""
"53791-58153","SF","Kelly","Kelly Oubre","Oubre","25.485713413783483","14","5600","NY@GS","GS","NY","","","","",""
"53791-84709","C","Mitchell","Mitchell Robinson","Robinson","27.95333251953125","15","5600","NY@GS","NY","GS","","","","",""
"53791-80806","PG","Lonzo","Lonzo Ball","Ball","26.4","10","5500","NO@UTA","NO","UTA","","","","",""
"53791-15860","PF","Draymond","Draymond Green","Green","22.780000305175783","10","5400","NY@GS","GS","NY","","","","",""
"53791-9621","C","Brook","Brook Lopez","Lopez","23.65714372907366","14","5300","LAL@MIL","MIL","LAL","","","","",""
"53791-19138","PG","Elfrid","Elfrid Payton","Payton","24.526666259765626","15","5300","NY@GS","NY","GS","","","","",""
"53791-23169","C","Steven","Steven Adams","Adams","28.26153799203726","13","5200","NO@UTA","NO","UTA","","","","",""
