,Name,Position,Game,Team,Projected Draftkings Points,Projected Draftkings Value,Draftkings Salary,Value above Draftkings Value,FPPG,Hot,Cold,Injury Indicator,Injury Details
111,Hamidou Diallo,SG/SF,OKC@DAL,OKC,27.54,$5163,$4600,$563,24.26,0.0,0.0,O,Groin
88,Bojan Bogdanovic,SF/PF,UTA@PHI,UTA,29.34,$5502,$5400,$102,25.24,0.6584036328791294,0.0, , 
18,Fred VanVleet,PG/SG,DET@TOR,TOR,42.08,$7890,$8600,-$710,41.35,0.5918163212032184,0.0,O,Covid-19
7,Stephen Curry,PG,GS@POR ,GS,46.43,$8706,$9900,-$1194,49.62,0.0,0.0, , 
51,Mike Conley,PG,UTA@PHI,UTA,29.93,$5612,$6500,-$888,32.85,0.0,0.0, , 
81,Darius Bazley,PF/C,OKC@DAL,OKC,27.32,$5122,$5500,-$378,25.97,0.0,0.0, , 
57,Al Horford,C,OKC@DAL,OKC,32.83,$6156,$6300,-$144,32.11,0.0,0.0, , 
