team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,49,92,11,30,24,33,8,31,28,13,4,14,25
ATLANTA HAWKS,240,39,96,12,38,24,30,18,36,19,3,5,24,30
GOLDEN STATE WARRIORS,240,45,99,19,45,10,12,16,33,26,9,8,10,22
DALLAS MAVERICKS,240,38,91,16,38,22,29,18,33,21,5,4,12,14
PORTLAND TRAIL BLAZERS,240,40,88,12,34,21,22,8,31,25,5,1,9,22
DENVER NUGGETS,240,45,81,9,22,17,20,4,31,21,5,0,11,20
CLEVELAND CAVALIERS,240,38,89,8,21,17,23,10,42,18,5,2,10,21
LOS ANGELES LAKERS,240,36,91,7,34,16,27,13,38,21,4,5,11,22
PHILADELPHIA 76ERS,240,40,87,6,20,22,30,12,44,22,4,9,16,21
NEW YORK KNICKS,240,37,86,10,31,21,30,7,27,24,8,5,10,21
HOUSTON ROCKETS,240,38,86,10,42,23,27,9,29,20,7,1,10,21
ORLANDO MAGIC,240,41,85,9,24,25,28,12,33,25,6,2,11,21
TORONTO RAPTORS,290,49,104,13,36,29,36,17,42,24,16,8,21,27
WASHINGTON WIZARDS,290,54,118,19,44,11,18,17,34,36,11,7,20,28
