,Name,Position,Game,Team,Projected Draftkings Points,Projected Draftkings Value,Draftkings Salary,Value above Draftkings Value,FPPG,Hot,Cold,Injury Indicator,Injury Details
16,Andrew Wiggins,SG/SF,GS@PHO ,GS,38.44,$7208,$6900,$308,31.65,0.0,0.0, , 
46,Josh Jackson,SG/SF,LAL@DET,DET,37.49,$7029,$4800,$2229,20.95,0.0,0.0, , 
50,Kyle Kuzma,SF/PF,LAL@DET,LAL,26.14,$4900,$4300,$600,20.13,0.0,0.3331746744690814, , 
3,Stephen Curry,PG,GS@PHO ,GS,40.96,$7680,$9700,-$2020,47.26,0.0,0.0, , 
9,Chris Paul,PG,GS@PHO ,PHO,35.5,$6655,$8000,-$1345,36.16,0.0,0.0, , 
31,Carmelo Anthony,PF,POR@HOU,POR,26.75,$5016,$5600,-$584,22.6,0.0,0.0, , 
13,DeMarcus Cousins,C,POR@HOU,HOU,37.85,$7097,$7200,-$103,26.08,0.0,0.0, , 
65,Marc Gasol,C,LAL@DET,LAL,19.42,$3641,$3300,$341,15.93,0.0,0.0, , 
