"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"54200-9646","SF","Kevin","Kevin Durant","Durant","51.42499923706055","16","11200","LAC@BKN","BKN","LAC","","","","",""
"54200-15595","SG","Bradley","Bradley Beal","Beal","50.72666829427083","15","10800","POR@WAS","WAS","POR","","","","",""
"54200-9644","SG","James","James Harden","Harden","49.568748474121094","16","10500","LAC@BKN","BKN","LAC","","","","",""
"54200-20848","PG","Damian","Damian Lillard","Lillard","45.85789409436678","19","10200","POR@WAS","POR","WAS","","","","",""
"54200-9642","PG","Russell","Russell Westbrook","Westbrook","45.600000554865055","11","10000","POR@WAS","WAS","POR","","","","",""
"54200-14513","SF","Kawhi","Kawhi Leonard","Leonard","46.10588163488052","17","9600","LAC@BKN","LAC","BKN","","","","",""
"54200-14498","PG","Kyrie","Kyrie Irving","Irving","45.100001743861604","14","9500","LAC@BKN","BKN","LAC","","","","",""
"54200-80808","PF","Jayson","Jayson Tatum","Tatum","43.93846247746394","13","9500","BOS@GS","BOS","GS","","","","",""
"54200-9524","PG","Stephen","Stephen Curry","Curry","43.70499877929687","20","9400","BOS@GS","GS","BOS","","","","",""
"54200-40203","C","Rudy","Rudy Gobert","Gobert","39.975","20","9100","DET@UTA","UTA","DET","","","","",""
"54200-59358","PF","Domantas","Domantas Sabonis","Sabonis","43.4","20","9100","MEM@IND","IND","MEM","","","","",""
"54200-14514","C","Nikola","Nikola Vucevic","Vucevic","44.05237978980655","21","8800","TOR@ORL","ORL","TOR","","","","",""
"54200-24247","SG","Fred","Fred VanVleet","VanVleet","38.754998779296876","20","8800","TOR@ORL","TOR","ORL","","","","",""
"54200-19067","SG","CJ","CJ McCollum","McCollum","42.74615478515625","13","8700","POR@WAS","POR","WAS","O","Foot","","",""
"54200-67026","SF","Jaylen","Jaylen Brown","Brown","42.49444580078125","18","8700","BOS@GS","BOS","GS","","","","",""
"54200-12341","SG","Paul","Paul George","George","40.76111178927951","18","8400","LAC@BKN","LAC","BKN","","","","",""
"54200-16359","PG","Malcolm","Malcolm Brogdon","Brogdon","41.460000610351564","20","8400","MEM@IND","IND","MEM","","","","",""
"54200-60021","SF","Pascal","Pascal Siakam","Siakam","37.611766142003674","17","8300","TOR@ORL","TOR","ORL","","","","",""
"54200-66113","SG","Donovan","Donovan Mitchell","Mitchell","35.05555555555556","18","7800","DET@UTA","UTA","DET","","","","",""
"54200-110344","PG","Ja","Ja Morant","Morant","35.857142857142854","7","7800","MEM@IND","MEM","IND","","","","",""
"54200-9535","PG","Kyle","Kyle Lowry","Lowry","35.28823673023897","17","7500","TOR@ORL","TOR","ORL","","","","",""
"54200-58253","C","Myles","Myles Turner","Turner","37.844445122612846","18","7400","MEM@IND","IND","MEM","","","","",""
"54200-14516","C","Enes","Enes Kanter","Kanter","27.98421116879112","19","7000","POR@WAS","POR","WAS","","","","",""
"54200-9575","PG","Mike","Mike Conley","Conley","33.125","20","7000","DET@UTA","UTA","DET","","","","",""
"54200-14503","C","Jonas","Jonas Valanciunas","Valanciunas","32.541666666666664","12","6800","MEM@IND","MEM","IND","O","Covid-19","","",""
"54200-23831","SF","Jerami","Jerami Grant","Grant","39.345001220703125","20","6800","DET@UTA","DET","UTA","","","","",""
"54200-49116","SG","Andrew","Andrew Wiggins","Wiggins","31.354998779296874","20","6800","BOS@GS","GS","BOS","","","","",""
"54200-23096","SF","Evan","Evan Fournier","Fournier","28.241666158040363","12","6400","TOR@ORL","ORL","TOR","","","","",""
"54200-9957","PF","Serge","Serge Ibaka","Ibaka","26.014999389648438","20","6400","LAC@BKN","LAC","BKN","","","","",""
"54200-67312","C","Thomas","Thomas Bryant","Bryant","26.370001220703124","10","6400","POR@WAS","WAS","POR","O","Knee","","",""
"54200-110353","PF","Brandon","Brandon Clarke","Clarke","28.413334147135416","15","6400","MEM@IND","MEM","IND","","","","",""
"54200-16293","SG","Norman","Norman Powell","Powell","21.572221544053818","18","6400","TOR@ORL","TOR","ORL","GTD","Quadriceps","","",""
"54200-68090","SF","OG","OG Anunoby","Anunoby","30.017646340762866","17","6200","TOR@ORL","TOR","ORL","O","Calf","","",""
"54200-23670","SG","Marcus","Marcus Smart","Smart","30.758824965533087","17","6000","BOS@GS","BOS","GS","O","Calf","","",""
"54200-55057","C","Jusuf","Jusuf Nurkic","Nurkic","26.741666158040363","12","6000","POR@WAS","POR","WAS","O","Wrist","","",""
"54200-20640","SG","Jordan","Jordan Clarkson","Clarkson","28.195001220703126","20","5800","DET@UTA","UTA","DET","","","","",""
"54200-23716","SF","Kyle","Kyle Anderson","Anderson","29.99333292643229","15","5800","MEM@IND","MEM","IND","","","","",""
"54200-84695","SG","Gary","Gary Trent","Trent","17.770588594324447","17","5800","POR@WAS","POR","WAS","","","","",""
"54200-41594","PF","Aaron","Aaron Gordon","Gordon","30.705264442845394","19","5700","TOR@ORL","ORL","TOR","O","Ankle","","",""
"54200-14507","PG","Kemba","Kemba Walker","Walker","27.883333841959637","6","5700","BOS@GS","BOS","GS","","","","",""
"54200-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","21.710000610351564","20","5700","DET@UTA","UTA","DET","","","","",""
"54200-14523","PG","Reggie","Reggie Jackson","Jackson","16.622222900390625","18","5500","LAC@BKN","LAC","BKN","","","","",""
"54200-58153","SF","Kelly","Kelly Oubre","Oubre","25.44499969482422","20","5500","BOS@GS","GS","BOS","","","","",""
"54200-15590","C","Mason","Mason Plumlee","Plumlee","26.2","20","5400","DET@UTA","DET","UTA","","","","",""
"54200-145336","PF","Xavier","Xavier Tillman","Tillman","22.769999694824218","10","5400","MEM@IND","MEM","IND","","","","",""
"54200-15559","SG","Jeremy","Jeremy Lamb","Lamb","25.442858014787948","7","5300","MEM@IND","IND","MEM","","","","",""
"54200-9560","PF","Blake","Blake Griffin","Griffin","26.080000813802084","15","5300","DET@UTA","DET","UTA","","","","",""
"54200-40830","PG","Delon","Delon Wright","Wright","25.575","20","5300","DET@UTA","DET","UTA","","","","",""
"54200-15771","C","Gorgui","Gorgui Dieng","Dieng","21.916666666666668","12","5300","MEM@IND","MEM","IND","","","","",""
"54200-9809","SF","Nicolas","Nicolas Batum","Batum","23.26000061035156","20","5200","LAC@BKN","LAC","BKN","GTD","Groin","","",""
"54200-68203","PF","Chris","Chris Boucher","Boucher","29.129998779296876","20","5200","TOR@ORL","TOR","ORL","","","","",""
"54200-60233","SG","Dillon","Dillon Brooks","Brooks","26.686665852864582","15","5100","MEM@IND","MEM","IND","","","","",""
"54200-9561","C","DeAndre","DeAndre Jordan","Jordan","20.761904761904763","21","5100","LAC@BKN","BKN","LAC","","","","",""
"54200-9648","PF","Jeff","Jeff Green","Green","17.6045448996804","22","5100","LAC@BKN","BKN","LAC","","","","",""
"54200-12474","PG","Patrick","Patrick Beverley","Beverley","21.075000762939453","16","5000","LAC@BKN","LAC","BKN","O","Knee","","",""
"54200-84711","SG","Grayson","Grayson Allen","Allen","17.083333333333332","12","5000","MEM@IND","MEM","IND","O","Covid-19","","",""
"54200-9475","SG","Derrick","Derrick Rose","Rose","25.286665852864584","15","5000","DET@UTA","DET","UTA","","","","",""
"54200-145327","PG","Cole","Cole Anthony","Anthony","22.83809552873884","21","5000","TOR@ORL","ORL","TOR","","","","",""
"54200-9662","PG","Lou","Lou Williams","Williams","17.25263093647204","19","5000","LAC@BKN","LAC","BKN","","","","",""
"54200-16363","SF","Joe","Joe Harris","Harris","24.327273282137785","22","5000","LAC@BKN","BKN","LAC","","","","",""
"54200-66046","SG","Luke","Luke Kennard","Kennard","15.55714343843006","21","5000","LAC@BKN","LAC","BKN","","","","",""
"54200-20491","PF","Robert","Robert Covington","Covington","21.15294153550092","17","4900","POR@WAS","POR","WAS","","","","",""
"54200-9508","SF","Carmelo","Carmelo Anthony","Anthony","21.516665988498264","18","4900","POR@WAS","POR","WAS","","","","",""
"54200-66968","SF","Derrick","Derrick Jones","Jones","18.770588594324447","17","4900","POR@WAS","POR","WAS","O","Foot","","",""
"54200-145347","C","James","James Wiseman","Wiseman","24.019999694824218","20","4900","BOS@GS","GS","BOS","O","Wrist","","",""
"54200-15860","PF","Draymond","Draymond Green","Green","21.862499237060547","16","4900","BOS@GS","GS","BOS","GTD","Thigh","","",""
"54200-70827","C","Ivica","Ivica Zubac","Zubac","19.36666724795387","21","4800","LAC@BKN","LAC","BKN","","","","",""
"54200-84703","PG","De'Anthony","De'Anthony Melton","Melton","23.511111789279514","9","4800","MEM@IND","MEM","IND","","","","",""
"54200-84714","PF","Moritz","Moritz Wagner","Wagner","14.257143293108259","7","4800","POR@WAS","WAS","POR","","","","",""
"54200-18338","PF","Royce","Royce O'Neale","O'Neale","22.11999969482422","20","4800","DET@UTA","UTA","DET","","","","",""
"54200-16405","SG","Terrence","Terrence Ross","Ross","23.689999389648438","20","4700","TOR@ORL","ORL","TOR","","","","",""
