,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
0,OG Anunoby,TORONTO RAPTORS,2020-02-10,HOME,MINNESOTA TIMBERWOLVES,27.0545,2.93203,1.1619000000000002,1.8678620000000001,5.126949,2.38768,0.44092,1.5873,1.1352799999999998,17.701999999999998,25.900860800000004,54.9
1,Tim Hardaway,DALLAS MAVERICKS,2020-02-10,HOME,UTAH JAZZ,30.678833333333333,3.451258,2.0414399999999997,2.418207,4.963131,4.18268,0.37778,1.14744,1.7800699999999998,25.702999999999996,30.4704102,44.1
2,Domantas Sabonis,INDIANA PACERS,2020-02-10,HOME,BROOKLYN NETS,36.818999999999996,5.953950000000001,1.0827200000000001,3.687221,7.719633,5.35384,0.47021999999999997,0.99942,2.3097399999999997,41.104,38.2367806,54.5
3,Pascal Siakam,TORONTO RAPTORS,2020-02-10,HOME,MINNESOTA TIMBERWOLVES,33.87266666666667,6.257218,1.70332,3.996093,6.07455,3.70632,0.55954,1.25508,1.58662,36.99,38.326668999999995,54.7
4,Nikola Vučević,ORLANDO MAGIC,2020-02-10,HOME,ATLANTA HAWKS,33.725833333333334,4.711096000000001,1.8788,2.1347180000000003,8.038854,4.18328,1.1687,1.01346,1.79614,40.752,37.865194800000005,51.3
5,Eric Bledsoe,MILWAUKEE BUCKS,2020-02-10,HOME,SACRAMENTO KINGS,31.919666666666668,5.298274,1.6113,2.8613589999999998,5.6503380000000005,5.63816,0.49924,1.2981,2.3791800000000003,35.644000000000005,36.5422926,50.6
6,Khris Middleton,MILWAUKEE BUCKS,2020-02-10,HOME,SACRAMENTO KINGS,33.89966666666667,3.909738000000001,2.2533000000000003,2.355049,6.221157,5.18516,0.13128,1.2133500000000002,1.9870899999999998,44.231,34.2243534,53.2
7,Paul Millsap,DENVER NUGGETS,2020-02-10,HOME,SAN ANTONIO SPURS,22.134166666666665,3.527557999999999,1.30314,3.119473,6.841569,3.13464,0.49222000000000005,1.13565,1.4080599999999994,20.791999999999998,30.471401799999995,43.9
8,Jimmy Butler,MIAMI HEAT,2020-02-10,AWAY,GOLDEN STATE WARRIORS,30.4415,5.8805520000000016,1.1191,6.342523,5.967312,4.64036,0.57248,1.2636,1.6957300000000002,39.381,39.39475140000001,53.5
9,LaMarcus Aldridge,SAN ANTONIO SPURS,2020-02-10,AWAY,DENVER NUGGETS,33.51016666666666,5.292062,1.39302,2.656091,6.677784,3.04652,0.9699599999999999,1.2013800000000001,1.4358699999999995,32.346999999999994,35.0805458,47.7
10,Nikola Jokić,DENVER NUGGETS,2020-02-10,HOME,SAN ANTONIO SPURS,35.66166666666666,7.423113999999999,1.4593600000000002,3.1218610000000004,9.020589,6.492159999999999,1.208,1.5240300000000002,2.6311999999999998,60.69200000000001,48.4740058,46.1
11,Kyle Lowry,TORONTO RAPTORS,2020-02-10,HOME,MINNESOTA TIMBERWOLVES,32.54683333333333,3.1344220000000007,2.07996,2.81883,5.418507,6.43876,0.4715,1.3324500000000001,2.3920900000000005,37.271,34.507662399999994,52.9
12,Anthony Davis,LOS ANGELES LAKERS,2020-02-10,HOME,PHOENIX SUNS,34.60966666666666,7.063418,1.0977000000000001,5.298673000000001,7.344647999999999,3.80512,1.0280799999999999,1.5732000000000002,1.8239999999999998,52.13399999999999,43.2197066,47.5
13,Aaron Gordon,ORLANDO MAGIC,2020-02-10,HOME,ATLANTA HAWKS,33.556666666666665,4.07536,1.85954,3.376622,6.649541999999999,4.17796,0.40722,1.35924,1.5613700000000001,34.121,35.090362400000004,43.8
14,Rajon Rondo,LOS ANGELES LAKERS,2020-02-10,HOME,PHOENIX SUNS,19.43616666666667,2.8130619999999995,1.4935999999999998,0.992761,4.234806000000001,4.83704,0.25578,0.94266,2.10654,15.558000000000002,24.9257922,38.8
15,Jae Crowder,MIAMI HEAT,2020-02-10,AWAY,GOLDEN STATE WARRIORS,27.540833333333335,2.2505880000000005,1.8381399999999999,2.7683590000000002,6.099822,3.241,0.34886,1.32177,1.4070100000000005,25.861,28.570121399999998,39.6
16,Trae Young,ATLANTA HAWKS,2020-02-10,AWAY,ORLANDO MAGIC,37.637166666666666,3.7036360000000004,3.06008,8.49325,4.755144,7.725800000000001,0.27922,1.3102200000000002,3.2972100000000006,53.547000000000004,43.84674480000001,39.7
17,Jordan Clarkson,UTAH JAZZ,2020-02-10,AWAY,DALLAS MAVERICKS,25.139666666666667,3.8334600000000005,2.07782,2.142942,4.596849,2.63008,0.3698,0.94482,1.2678799999999995,25.772000000000002,28.180640800000006,44.0
18,Kristaps Porziņģis,DALLAS MAVERICKS,2020-02-10,HOME,UTAH JAZZ,27.77283333333333,3.019172,2.4566,4.60672,7.0596570000000005,2.72084,0.55768,1.3755899999999999,1.4498900000000003,41.20099999999999,34.917632399999995,43.5
19,John Collins,ATLANTA HAWKS,2020-02-10,AWAY,ORLANDO MAGIC,40.37,6.550460000000002,1.44224,4.424214,9.614607,2.88828,1.0222200000000001,0.9741299999999999,1.3949099999999999,47.681000000000004,42.3159424,36.6
20,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,2020-02-10,AWAY,TORONTO RAPTORS,36.10166666666667,4.626818,2.11848,4.796239,8.410242,4.55636,1.0524,1.30788,2.09917,49.321000000000005,42.3138154,46.5
21,Spencer Dinwiddie,BROOKLYN NETS,2020-02-10,AWAY,INDIANA PACERS,30.6925,4.303034,1.8873600000000001,4.246526,5.580735,5.54436,0.54038,1.1201400000000001,2.08649,33.535,36.423165999999995,45.7
